TwCty11CD,Age65plus,Age75plus,Age85plus,MeanAge,MedianAge
E35000125,0.160301982,0.075778547,0.022050959,39.3,39
E35000131,0.12305901,0.054892646,0.014326301,36.9,36
E35000148,0.215661657,0.11644978,0.040377566,42.7,43
E35000157,0.18293175,0.087157021,0.024296749,40.4,41
E35000158,0.17820324,0.115812023,0.027312893,39.6,38
E35000166,0.180411654,0.069883875,0.017071136,40.9,42
E35000170,0.199440796,0.091240009,0.021761494,41.6,43
E35000173,0.145244811,0.073368551,0.022108311,38.2,37
E35000181,0.150350913,0.072943544,0.02247394,38.6,38
E35000191,0.119771229,0.054333148,0.015060767,34.8,33
E35000194,0.141677619,0.065379301,0.01910828,38.7,38
E35000198,0.142016379,0.063970736,0.017684841,37.8,37
E35000207,0.138120292,0.061177046,0.016657636,37.9,37
E35000218,0.160581765,0.074443414,0.020043732,39.1,39
E35000225,0.134646011,0.068807007,0.018314753,36.5,35
E35000243,0.165455274,0.080943933,0.024971861,39.7,40
E35000247,0.153640547,0.071897415,0.019285424,37.3,36
E35000251,0.174331622,0.09259915,0.030408994,38.9,37
E35000254,0.18545544,0.084938919,0.021426034,40.6,41
E35000255,0.235121526,0.116529876,0.031204155,43.9,45
E35000258,0.177303576,0.077460193,0.021991647,40.2,40
E35000260,0.122925555,0.063765781,0.021680453,37.1,35
E35000267,0.166821406,0.072158057,0.019422884,40,41
E35000277,0.153378944,0.075491017,0.018221167,39.1,39
E35000278,0.174394764,0.08031701,0.020384828,39.9,40
E35000279,0.12339595,0.054842645,0.015223225,37.8,38
E35000280,0.221505196,0.113643983,0.038426081,42.9,44
E35000284,0.152256894,0.072437294,0.020622583,37.4,36
E35000298,0.207248152,0.101173774,0.020590444,41.5,42
E35000316,0.121681459,0.058978111,0.017663593,35.6,31
E35000317,0.146436109,0.068940477,0.01978805,37.6,37
E35000326,0.170168256,0.085353098,0.026896985,40.1,41
E35000338,0.211839787,0.107777302,0.027718245,42.4,44
E35000339,0.164862121,0.079301303,0.022246659,38.2,38
E35000357,0.213873743,0.091671424,0.022755458,42.5,43
E35000362,0.155116851,0.073536502,0.021137304,38.6,39
E35000363,0.130558293,0.067656096,0.023798481,37.2,36
E35000380,0.119696504,0.059530401,0.016774326,34.3,32
E35000381,0.169211307,0.073525563,0.020567964,39.7,40
E35000387,0.181621214,0.080212896,0.022043239,41.6,43
E35000390,0.17784411,0.090084137,0.029120407,40.2,40
E35000397,0.140534521,0.058256443,0.014094814,37.9,38
E35000398,0.164736912,0.079772411,0.022095415,39.7,40
E35000404,0.195550269,0.097320367,0.03158889,42.4,43
E35000405,0.179035534,0.089570862,0.024981085,40.9,42
E35000419,0.171853741,0.089167676,0.026906718,39.4,37
E35000427,0.202044298,0.096669721,0.027820784,41.8,43
E35000429,0.132263948,0.054339716,0.014507171,38.7,40
E35000431,0.250551689,0.130835172,0.046002377,45,47
E35000436,0.148524415,0.056858304,0.016188129,38.8,40
E35000439,0.179771533,0.084716084,0.020470274,41.2,42
E35000450,0.155074406,0.067473889,0.017700342,39,39
E35000453,0.204256802,0.102619327,0.027935261,41.6,41
E35000455,0.123255027,0.052961246,0.013569122,36.6,36
E35000458,0.156009374,0.069108996,0.020565307,39.3,40
E35000462,0.191219254,0.096799788,0.028652032,40.8,40
E35000467,0.141393519,0.065741119,0.021047552,37,36
E35000473,0.243333333,0.120218069,0.038286604,44.6,46
E35000476,0.190040423,0.089825406,0.024769932,41.3,42
E35000481,0.174097589,0.083963476,0.022114424,40.4,41
E35000483,0.210182085,0.104490208,0.02878503,42.7,44
E35000486,0.09692489,0.045821211,0.01235252,33.4,30
E35000498,0.160715162,0.07480257,0.022109678,39.1,39
E35000502,0.10706017,0.05918514,0.018921149,33.5,27
E35000507,0.257449089,0.128531618,0.042829582,45.3,47
E35000510,0.178233228,0.088560886,0.025919175,41.2,42
E35000514,0.184717449,0.090680201,0.026876349,41.9,44
E35000528,0.179942187,0.086759274,0.024088646,41.1,42
E35000538,0.157255711,0.074308285,0.016869674,38.7,39
E35000565,0.249703791,0.127750508,0.042907921,44.8,47
E35000572,0.155093393,0.072120374,0.019759599,39.8,40
E35000574,0.158347928,0.068388792,0.017746643,38.1,38
E35000575,0.186487465,0.088017015,0.022219205,41.2,42
E35000580,0.174304928,0.083662975,0.019298146,40.2,41
E35000588,0.230342346,0.110280516,0.027139346,43.4,44
E35000590,0.176472668,0.0838444,0.025379544,41.1,42
E35000591,0.16,0.081633307,0.024659728,38.9,38
E35000595,0.173775597,0.07662546,0.020713409,40.8,42
E35000605,0.164948454,0.070140468,0.020151369,39.5,40
E35000608,0.14392422,0.066474712,0.016983809,36.8,35
E35000618,0.142209803,0.061589004,0.018163281,38.7,39
E35000624,0.188577822,0.092938973,0.029917544,40.8,40
E35000631,0.161403181,0.082287634,0.027849046,39.5,40
E35000633,0.118999116,0.053388169,0.015797363,37.2,38
E35000639,0.227054998,0.123148784,0.041580803,43,43
E35000640,0.150701474,0.069152904,0.018256082,38.8,39
E35000648,0.14461738,0.069894798,0.022721814,38,37
E35000652,0.165431096,0.078947903,0.022463695,40,40
E35000660,0.174101288,0.092233717,0.028642201,40.7,41
E35000669,0.158858951,0.071468667,0.019621351,39.2,39
E35000674,0.149051587,0.068214856,0.019180996,38.7,39
E35000688,0.125992351,0.067419092,0.019141038,36.8,35
E35000690,0.262341579,0.135120095,0.045165691,45.2,46
E35000692,0.171504085,0.0855358,0.02566074,39.7,39
E35000700,0.218864501,0.122308685,0.038315246,42,40
E35000708,0.188412241,0.093877472,0.029655692,41.5,43
E35000719,0.129335851,0.066386768,0.021978641,36.9,36
E35000726,0.184654796,0.078741811,0.02355955,41.6,43
E35000731,0.144037081,0.074336098,0.023314979,38.1,37
E35000734,0.15695699,0.06869976,0.016947046,39.5,40
E35000745,0.138764105,0.065298227,0.019043525,37.1,36
E35000753,0.172880092,0.094082559,0.032772995,39.5,40
E35000757,0.126336224,0.058696371,0.015937201,35.6,34
E35000772,0.189238719,0.08784474,0.026167157,42,43
E35000775,0.130163256,0.0636052,0.017717137,35.1,32
E35000776,0.171632896,0.079856973,0.021263409,39.6,40
E35000778,0.198062168,0.102891993,0.033395633,41.6,41
E35000779,0.190425757,0.091691379,0.025312434,41.5,43
E35000785,0.188776269,0.100877991,0.032986657,40.7,40
E35000787,0.143081552,0.063277136,0.018938891,37.9,37
E35000801,0.203408782,0.104958699,0.032530152,42.1,42
E35000811,0.162875835,0.076743161,0.022372123,39.4,40
E35000817,0.21065979,0.097562015,0.02401756,43,45
E35000833,0.198580332,0.093273892,0.020992036,40.8,41
E35000835,0.321047777,0.175262867,0.058716104,48.6,51
E35000841,0.169968105,0.081088076,0.022340664,39.9,40
E35000842,0.193943623,0.097153224,0.026430366,41.8,43
E35000843,0.177163828,0.082288786,0.023828599,39.4,39
E35000848,0.057660222,0.019383649,0.002748062,32.8,34
E35000872,0.121508172,0.058098068,0.016084695,36.8,36
E35000880,0.195096888,0.089792523,0.024466628,40.9,41
E35000888,0.162286298,0.068668311,0.018924896,39.4,40
E35000899,0.142658864,0.070597944,0.020819266,38.4,38
E35000901,0.14616889,0.078248259,0.023336043,38.7,38
E35000902,0.163388479,0.073018268,0.019534408,38.6,38
E35000904,0.169371639,0.087883339,0.024950342,40.5,41
E35000908,0.157984795,0.067393883,0.01679986,38.8,39
E35000923,0.174478588,0.080784894,0.024657534,39.4,39
E35000930,0.152577737,0.073431257,0.021009863,37.6,35
E35000932,0.200681389,0.095107134,0.023068714,42.3,44
E35000933,0.139732888,0.058931553,0.015525876,37.8,38
E35000934,0.167809111,0.077049892,0.022241504,40,40
E35000940,0.136203929,0.061876577,0.016152994,36.5,35
E35000950,0.269499915,0.125618706,0.037463731,45.8,48
E35000961,0.17102424,0.076234707,0.01957348,40.2,41
E35000963,0.119373379,0.056441381,0.013961217,34.9,32
E35000964,0.176623687,0.083315882,0.025368714,40.6,41
E35000975,0.183660433,0.096036751,0.031939763,41.2,41
E35000976,0.171360571,0.083829168,0.026664904,39.7,39
E35000985,0.206467141,0.096431561,0.026458072,42.4,43
E35000992,0.160195975,0.072669492,0.019306144,39.6,40
E35000997,0.273717785,0.148674132,0.045375178,46.6,49
E35001011,0.203012277,0.096595368,0.027414251,41.9,43
E35001012,0.169786377,0.085088484,0.025493495,40.1,40
E35001013,0.168301465,0.083405761,0.023528681,40.1,40
E35001027,0.176215663,0.082033783,0.022726497,40.5,41
E35001028,0.131279603,0.066087346,0.018162831,37.3,37
E35001040,0.153077159,0.069434762,0.019129416,38.4,38
E35001042,0.149674581,0.072890187,0.019759497,37.8,37
E35001055,0.196000939,0.100133041,0.03349507,41.6,42
E35001056,0.224365877,0.112287629,0.034996411,42.8,44
E35001085,0.141099923,0.068703006,0.020888414,36.7,35
E35001094,0.167822715,0.085207756,0.022116343,39,39
E35001095,0.171639012,0.069143874,0.017585964,40.3,41
E35001097,0.170775877,0.082736952,0.020553325,39.8,40
E35001116,0.167317618,0.083589064,0.022632166,40.2,41
E35001146,0.175511858,0.095475806,0.033146136,40,38
E35001149,0.132152589,0.060493425,0.017933302,36.7,36
E35001153,0.159714758,0.085262505,0.023790823,39,39
E35001159,0.158535586,0.078712263,0.022166568,39.1,39
E35001161,0.166417197,0.078858815,0.019481177,39.6,40
E35001162,0.185361046,0.087738159,0.023741265,41.1,41
E35001164,0.177396098,0.086174724,0.027862595,40.8,43
E35001165,0.157744296,0.075245185,0.021139286,39.6,40
E35001166,0.127487314,0.062091895,0.017199142,35.1,32
E35001167,0.158307545,0.075658948,0.023156547,39,39
E35001179,0.135695207,0.067924078,0.01929017,36.7,33
E35001180,0.165370108,0.082567185,0.026854471,40.1,41
E35001182,0.135148157,0.061940589,0.016974594,36.4,35
E35001183,0.136099141,0.067282643,0.020828768,37.7,37
E35001190,0.123833819,0.064978134,0.021683673,34.2,25
E35001191,0.159450204,0.072805742,0.022564151,39.7,40
E35001192,0.166624462,0.083838167,0.028010986,39.4,39
E35001194,0.159229142,0.069615232,0.019635065,39.3,39
E35001195,0.206135987,0.098554845,0.027315802,42.4,43
E35001196,0.174844795,0.085681007,0.020322918,40.4,41
E35001198,0.190126543,0.100804562,0.034018122,40.9,41
E35001199,0.149776764,0.069097632,0.019166894,37.7,37
E35001200,0.131954268,0.068339022,0.021879907,37,34
E35001201,0.134779921,0.064255274,0.01938905,37.2,36
E35001202,0.169435345,0.073350491,0.021603494,40,40
E35001203,0.198648128,0.071130879,0.018141701,42,43
E35001205,0.153729549,0.073597826,0.023025456,38.9,38
E35001210,0.141722658,0.065510245,0.017770423,37.5,36
E35001211,0.114454988,0.055398056,0.014744208,34.3,32
E35001213,0.181164902,0.089121166,0.029603906,41.3,42
E35001214,0.174888333,0.073921367,0.019192068,40.1,41
E35001216,0.151136254,0.070789361,0.018741615,38.3,38
E35001217,0.169948294,0.075973747,0.020697216,40.6,41
E35001218,0.193907358,0.10193351,0.031826401,42,43
E35001219,0.151266482,0.072058198,0.020922251,38.5,38
E35001221,0.179958939,0.087057802,0.026058117,40.3,41
E35001222,0.161604718,0.078278327,0.019425887,39.4,39
E35001224,0.165812629,0.077173913,0.023447205,39.5,40
E35001225,0.151171204,0.067468572,0.017861988,38.3,38
E35001228,0.199540504,0.0929629,0.030760722,42.2,43
E35001230,0.19134749,0.091893358,0.027892364,42,43
E35001232,0.194724864,0.092489934,0.024158254,41.9,43
E35001236,0.175082314,0.081853975,0.022196127,41,42
E35001237,0.133782244,0.066197255,0.020271948,36.6,33
E35001238,0.146190682,0.060440452,0.015434771,38.6,39
E35001239,0.16023425,0.081290955,0.025772664,39.4,39
E35001241,0.222391316,0.106474266,0.031775427,43.6,45
E35001242,0.117013565,0.054481205,0.014976183,36.9,37
E35001246,0.354945593,0.195225724,0.063104786,50.8,55
E35001248,0.154202573,0.067568764,0.018681384,39.2,40
E35001249,0.155005885,0.080921554,0.02639687,38.8,38
E35001250,0.110342643,0.052775678,0.014057169,34.7,31
E35001251,0.105535705,0.049992232,0.015338408,33.1,30
E35001253,0.163297947,0.074640042,0.019717353,39,39
E35001256,0.145109431,0.068733078,0.018191561,37,36
E35001257,0.14848727,0.078308026,0.023495833,37.7,36
E35001258,0.169638693,0.073445517,0.013347207,39.7,41
E35001260,0.15028148,0.07794233,0.025055723,37.8,34
E35001261,0.14039936,0.070249129,0.021527989,37.2,35
E35001263,0.130027127,0.055801336,0.013071895,36.9,36
E35001264,0.172173756,0.094743028,0.032228902,39.9,40
E35001266,0.22702864,0.097454256,0.02615354,43.8,45
E35001268,0.171647282,0.082808913,0.02684151,40.3,41
E35001270,0.147868301,0.071299042,0.020334725,38.9,39
E35001272,0.162938211,0.075168488,0.022866285,39.1,39
E35001278,0.119871626,0.056059575,0.015768926,36.3,35
E35001279,0.208382378,0.107235341,0.032219309,42.5,44
E35001281,0.148678574,0.076181212,0.022744676,38.1,37
E35001284,0.141967645,0.069294176,0.018166033,37.5,37
E35001286,0.162099474,0.074079388,0.020875179,39.8,41
E35001288,0.155944872,0.076746269,0.023265494,39,38
E35001292,0.151457101,0.069825914,0.021024401,38.6,39
E35001298,0.150227301,0.075042471,0.022578227,38.9,39
E35001299,0.164832707,0.078412954,0.020710324,39.4,40
E35001301,0.163715816,0.074936566,0.019594023,39.6,40
E35001305,0.135250611,0.057809642,0.01409636,38.2,38
E35001306,0.14812327,0.06765999,0.019357596,38,38
E35001307,0.135822537,0.05657112,0.014342468,37.4,37
E35001308,0.162689554,0.06654607,0.016472943,39.4,40
E35001311,0.131174027,0.071857209,0.021734113,36.1,32
E35001312,0.14327047,0.070245279,0.021970546,37.3,35
E35001313,0.157555903,0.078195503,0.023050699,38.4,37
E35001314,0.179320796,0.087698166,0.026849549,41.1,41
E35001315,0.210025665,0.105837781,0.037092109,42.7,43
E35001316,0.110642549,0.053674201,0.015813979,34.4,30
E35001318,0.241235833,0.120990529,0.039170936,44.5,46
E35001320,0.154720488,0.075008783,0.020658862,38.5,38
E35001322,0.197092335,0.099114071,0.033488361,41.3,41
E35001323,0.184871501,0.09398007,0.027098428,41.1,41
E35001324,0.150071782,0.070282342,0.020577445,38.9,39
E35001325,0.113085133,0.049382301,0.013043113,35.8,34
E35001326,0.168404603,0.078177941,0.02205281,39.5,39
E35001329,0.171044115,0.079714835,0.021669964,39.6,40
E35001332,0.160288623,0.069836361,0.018786239,39.6,40
E35001333,0.124989466,0.062956143,0.017582043,35.7,32
E35001334,0.165387938,0.077781073,0.021057111,39.8,40
E35001335,0.14884233,0.072724139,0.019164958,38.2,37
E35001337,0.140377778,0.060955556,0.016733333,38.3,38
E35001340,0.153570408,0.071342174,0.019814827,39.7,40
E35001346,0.171411081,0.079614325,0.022620141,40.9,42
E35001347,0.135343662,0.066049704,0.01946553,37,34
E35001348,0.150355232,0.078053596,0.019632216,38.2,37
E35001349,0.168086501,0.076975286,0.022748549,40.6,42
E35001350,0.190316814,0.076522268,0.017343019,42,43
E35001352,0.16717493,0.079446869,0.021609969,39.8,40
E35001353,0.102821672,0.04961429,0.013773519,34.4,33
E35001354,0.181578519,0.090818881,0.025074423,41.2,41
E35001356,0.174493696,0.080876862,0.023942363,41.1,42
E35001357,0.138922146,0.067824281,0.02008523,37.3,35
E35001358,0.149619803,0.07434787,0.020709179,37.6,36
E35001361,0.193133047,0.092795533,0.029709571,41.4,42
E35001362,0.159845392,0.062854459,0.018784091,40.8,42
E35001363,0.16184104,0.078075146,0.024715463,39.4,39
E35001365,0.173281952,0.076514665,0.021237422,40.2,41
E35001366,0.196884081,0.089199225,0.022656334,42,43
