LSOA21CD,Higher_manager_administrative_professional,Lower_supervisory&technical_occupations,Semi-routine_occupations,Routine_occupations,NeverWorked&Long-term_unemployed,Full-time_students,Lower_manager_administrative_professional,Intermediate_occupations,Small_employers&ownaccount_workers
E01000001,45.6425,0.8124,2.4372,1.1817,2.7326,6.2038,27.2526,5.2437,8.4934
E01000002,48.5758,0.5389,1.1547,0.7698,3.0793,6.7744,27.5597,4.234,7.3133
E01000003,33.5989,2.1248,4.6481,4.6481,4.7809,4.5153,28.3533,8.8313,8.4993
E01000005,14.9688,4.3659,10.6029,10.7069,15.6965,16.9439,14.553,6.237,5.9252
E01000006,8.246,4.8917,11.3208,11.3906,12.928,10.9015,14.8148,8.9448,16.5618
E01000007,11.3373,3.4243,11.4299,10.0416,14.4378,13.5123,17.168,8.7922,9.8565
E01000008,5.0079,4.69,12.4801,14.3084,16.1367,17.1701,10.4928,8.4261,11.2878
E01000009,8.8778,4.9006,10.2273,13.4233,17.7557,10.0852,10.5114,8.5938,15.625
E01000011,5.6103,3.1084,10.6141,13.95,16.3002,13.2676,12.6611,7.1266,17.3616
E01000012,5.8228,4.4304,11.2658,14.3038,16.3291,12.5316,12.6582,8.6709,13.9873
E01000013,4.9215,6.5621,14.194,15.9058,12.3395,8.6305,14.8359,8.9158,13.6947
E01000014,5.3071,5.3071,12.5853,14.4807,13.0402,8.9462,14.9356,11.5997,13.7983
E01000015,6.2284,5.3633,13.5525,15.2249,12.0531,10.9573,13.3218,9.9769,13.3218
E01000016,5.5,5.0714,13.1429,13,12.2857,10.5,15.2143,11.5714,13.7143
E01000017,5.6025,4.7583,12.2026,12.8933,13.891,9.7467,16.7306,11.6654,12.5096
E01000018,5.1661,5.7565,13.5793,14.4649,11.3653,9.5203,15.941,10.7011,13.5055
E01000019,5.6973,4.6769,12.0748,12.9252,14.3707,10.3741,14.2857,10.2041,15.3912
E01000020,5.8567,5.296,10.2181,15.0156,15.6386,10.2804,12.9595,9.4704,15.2648
E01000021,5.2632,6.3158,14.17,13.4413,16.5992,10.1215,13.1984,9.1498,11.7409
E01000022,6.947,4.479,13.1627,13.6197,12.0658,10.9689,14.8995,10.8775,12.9799
E01000024,5.625,5,10.3571,15.9821,14.7321,9.7321,15.8036,8.5714,14.1964
E01000025,6.4872,4.4859,12.8364,14.6308,13.1125,9.6618,14.9068,11.3182,12.5604
E01000027,5.0539,5.9973,12.6685,11.9272,14.5553,10.7143,14.69,9.9057,14.4879
E01000028,5.0408,5.1149,12.4537,12.8243,15.1964,14.0104,13.5656,9.5626,12.2313
E01000029,9.9861,5.0624,10.8183,10.1942,11.3037,9.2233,18.2386,11.7892,13.3842
E01000030,6.6472,4.9563,13.3528,13.3528,13.8776,11.2536,14.8688,9.6793,12.0117
E01000031,10.952,4.0802,10.2362,9.4488,11.0236,9.4488,18.9692,13.7437,12.0974
E01000032,7.6293,4.2875,13.7453,10.5296,13.1148,8.4489,17.087,11.2232,13.9344
E01000033,4.9327,5.4709,14.4395,17.2197,13.9013,8.8789,13.9013,10.4036,10.852
E01000034,5.5292,5.8452,12.4013,13.981,13.5071,10.1106,14.6919,11.9273,12.0063
E01000035,6.8729,5.7045,11.2715,12.7835,13.1959,11.9588,15.4639,9.3471,13.4021
E01000036,5.1724,5.2586,11.3793,13.7069,10.2586,10.2586,18.1897,10.1724,15.6034
E01000037,9.9073,6.7712,11.4754,9.9073,9.551,7.4127,19.6721,13.0435,12.2594
E01000038,9.4017,6.7599,10.4118,12.3543,8.9355,6.9153,19.425,13.6752,12.1212
E01000039,9.5729,5.1546,11.4875,10.3093,10.6038,7.1429,21.3549,12.813,11.5611
E01000040,6.752,5.828,12.2957,12.5089,16.9865,13.1485,12.4378,7.4627,12.58
E01000041,5.3207,5.6122,13.1195,13.7026,11.1516,11.2974,13.5569,10.6414,15.5977
E01000042,6.4297,4.0847,11.5734,12.0272,16.2632,11.1952,13.6914,10.6657,14.0696
E01000043,5.0987,4.852,9.6217,12.2533,15.1316,13.2401,15.4605,11.1842,13.1579
E01000044,7.3187,6.4538,11.9095,13.7725,11.2442,12.3752,11.9095,9.5808,15.4358
E01000045,5.4432,6.2208,13.297,12.5194,12.5194,11.2753,14.3079,10.0311,14.3857
E01000046,5.1511,5.4945,13.4615,15.3846,11.8819,10.5082,14.7665,10.4396,12.9121
E01000049,3.9794,3.9794,14.591,11.2012,14.8121,19.5284,10.3169,8.4746,13.1172
E01000050,9.8829,4.4656,12.1523,12.5183,12.7379,12.2255,15.2269,8.0527,12.7379
E01000051,11.4796,3.8265,8.6735,10.7143,7.9082,13.2653,24.1071,11.7347,8.2908
E01000052,6.933,4.4066,11.9859,11.8684,14.2186,9.9295,13.7485,10.5758,16.3337
E01000053,4.4702,5.2152,13.7417,15.0662,13.4934,7.4503,13.6589,12.3344,14.5695
E01000054,5.0439,5.9942,13.3041,16.0819,10.2339,10.1608,15.8626,11.9883,11.3304
E01000055,4.9104,4.4427,12.0811,16.1341,12.9384,10.2884,15.1988,11.2237,12.7825
E01000056,5.5994,5.836,12.224,15.3785,18.5331,8.4385,14.1167,8.5174,11.3565
E01000057,5.4926,5.4926,15.17,13.6007,12.9904,11.2467,12.4673,10.0262,13.5135
E01000058,4.8397,4.3369,10.8737,12.6964,14.0163,14.3935,15.7134,9.6166,13.5135
E01000059,4.8536,6.3945,13.2512,14.6379,11.7103,9.9384,14.7149,10.7858,13.7134
E01000060,5.0323,5.4194,13.1613,14.9032,12,11.4839,14.4516,11.6774,11.871
E01000061,6.6618,4.9964,14.4823,14.9891,15.9305,11.2962,14.0478,9.4859,8.1101
E01000062,6.7736,4.8723,12.0618,13.369,9.9228,10.9329,16.7558,11.1111,14.2008
E01000063,5.7143,6.7669,14.1353,13.9098,11.203,9.3233,14.1353,11.6541,13.1579
E01000064,5.9366,6.0519,13.2565,12.7378,11.585,10.951,15.8501,10.8934,12.7378
E01000065,5.0781,4.5573,12.8255,15.7552,13.9974,10.0911,11.7187,10.6771,15.2995
E01000066,7.7244,4.3319,9.1336,8.4029,15.3967,17.8497,14.8225,11.5866,10.7516
E01000067,9.4699,4.2883,9.053,9.053,15.2472,12.3288,17.57,11.7927,11.1971
E01000068,11.0961,3.7212,8.8633,7.9838,15.6292,12.5846,14.4114,11.8403,13.8701
E01000069,11.8716,3.6947,9.6911,8.2374,12.4167,9.8728,20.4119,12.5379,11.2659
E01000070,10.6742,2.9963,8.6767,8.427,14.7316,9.5506,18.1648,12.422,14.3571
E01000071,9.7793,3.6108,8.9268,8.4253,13.4905,12.0863,16.9509,11.0832,15.6469
E01000072,5.189,5.0609,12.492,14.542,14.3498,10.5701,13.3889,10.5061,13.9013
E01000073,7.2006,4.335,13.9603,13.299,12.1969,10.1396,15.0625,10.9478,12.8582
E01000074,5.5296,6.5421,11.838,13.8629,12.1495,11.4486,15.0312,9.7352,13.8629
E01000075,5.5087,5.8328,13.545,13.8043,10.6935,9.2677,16.0078,11.7952,13.545
E01000076,4.551,4.7355,12.7921,16.6667,16.8512,9.7786,12.6076,9.0406,12.9766
E01000077,6.3467,6.4241,15.2477,14.4737,13.2353,9.3653,12.3839,9.1331,13.3901
E01000078,5.4074,6.0741,14,13.9259,13.6296,10,13.7037,10.3704,12.8889
E01000079,5.6031,3.9689,14.7082,14.3191,12.1401,9.4163,14.9416,10.1946,14.7082
E01000080,5.0112,5.3852,11.8923,16.1556,11.0696,8.9005,15.3328,12.9394,13.3134
E01000081,5.1231,5.1896,13.1737,14.5709,13.2402,11.5103,13.9055,9.1816,14.1051
E01000082,5.2632,6.0942,12.9501,13.0194,12.4654,9.9723,15.5817,10.4571,14.1967
E01000083,6.8791,5.7205,12.5996,15.6408,14.6271,9.9928,12.2375,9.6307,12.672
E01000084,5.0738,6.2731,12.2694,17.0664,13.0074,9.4096,14.1144,9.0406,13.7454
E01000085,4.1868,5.5556,14.2512,16.3446,12.963,10.789,12.6409,9.4203,13.8486
E01000086,6.4161,4.9496,12.6489,17.1402,11.4574,11.824,13.5655,10.0825,11.9157
E01000087,6.1275,5.3105,12.8268,14.4608,11.7647,12.5817,11.4379,10.9477,14.5425
E01000088,4.5328,5.2301,13.1102,13.1102,14.9233,9.3445,16.4575,11.9247,11.3668
E01000089,5.5643,5.5643,13.1661,15.2821,11.3636,11.7555,14.0282,10.815,12.4608
E01000090,4.5789,5.1513,12.1014,13.982,11.2837,13.2461,17.0074,9.5666,13.0826
E01000091,5.0847,6.8475,13.0847,13.1525,18.1017,12.4746,12.1356,9.4237,9.6949
E01000093,3.7622,4.2137,10.9105,15.4251,16.3281,12.4153,13.6193,10.158,13.1678
E01000094,7.4118,3.3529,10,12.8824,10.2941,13.5294,19.7059,11.6471,11.1765
E01000095,11.1995,5.3678,10.8019,11.5308,11.7296,9.5427,18.224,10.9344,10.6693
E01000096,4.5208,4.9729,14.0145,12.7486,13.1103,17.7215,14.8282,8.9512,9.132
E01000097,5.854,4.7521,11.9835,14.0496,16.3912,10.5372,12.9477,11.0882,12.3967
E01000098,5.4961,5.7102,12.1342,13.2762,14.4897,11.7773,14.4897,10.7066,11.9201
E01000099,8.5106,6.284,11.331,11.43,10.9847,10.5393,17.615,11.7269,11.5784
E01000100,5.949,5.17,12.1813,15.6516,14.4476,9.2068,16.2181,10.0567,11.119
E01000101,4.549,6.091,13.8011,15.0347,13.8011,9.175,13.8011,10.1773,13.5698
E01000102,6.0278,4.5595,14.1422,15.2241,13.8331,9.9691,14.1422,9.9691,12.1329
E01000103,7.2188,5.1672,12.0821,14.2097,12.31,11.1702,15.4255,10.3343,12.0821
E01000104,6.0562,6.2004,13.4102,13.4823,13.5544,10.5263,15.6453,8.8681,12.2567
E01000105,5.2692,5.1546,15.063,15.8648,13.6312,8.4765,15.0057,9.9656,11.5693
E01000106,5.2632,4.8193,14.8383,14.9017,13.5701,9.8922,13.0628,10.5263,13.1262
E01000107,6.7007,5.1712,12.1631,13.2556,10.925,9.7597,14.858,11.5805,15.5863
E01000108,5.5983,5.0385,13.6459,12.0364,10.9867,9.2372,16.515,12.3863,14.5556
E01000110,10.4661,5.1513,10.7114,9.6484,10.3843,9.8119,15.8626,13.0826,14.8814
E01000111,6.7492,3.839,11.8885,13.3746,13.1269,10.8359,14.4272,10.6502,15.1084
E01000112,9.6946,3.4529,10.9562,11.4874,10.6906,10.2258,15.9363,10.8898,16.6667
E01000113,8.5583,4.0158,10.5991,11.6524,11.3232,11.8499,18.499,10.8624,12.6399
E01000114,7.6381,5.0529,13.3373,12.2797,10.7521,11.3984,16.4512,11.6334,11.4571
E01000115,21.453,2.1368,4.9573,4.5299,7.6923,7.5214,21.7949,14.6154,15.2991
E01000116,18.0749,2.939,7.7884,6.7597,7.6414,8.5966,21.014,12.7847,14.4012
E01000117,16.7262,3.7884,6.7906,7.2194,7.9342,5.7184,23.0879,14.01,14.7248
E01000118,15.5109,4.3796,7.9684,7.2993,8.6375,7.9075,23.3577,11.0097,13.9294
E01000119,20.2869,3.0055,6.4208,8.0601,7.9918,7.7186,20.3552,10.6557,15.5055
E01000120,21.2887,3.2626,5.3018,4.4861,9.217,7.6672,22.2675,12.0718,14.4372
E01000121,9.0834,4.7069,12.2213,8.0099,18.4145,10.322,16.185,9.9917,11.0652
E01000122,18.7864,3.4913,7.2319,5.1538,7.98,8.3126,22.8595,10.5569,15.6276
E01000123,16.129,3.2258,9.467,7.5736,6.8724,4.6283,23.5624,12.0617,16.4797
E01000124,12.4147,4.2292,9.618,8.0491,12.1419,8.5266,19.5771,10.7776,14.6658
E01000126,10.0882,4.2999,10.1985,10.4741,14.333,12.6792,16.2073,9.151,12.5689
E01000127,7.9365,5.4302,11.6124,12.1972,14.2022,9.2732,14.6199,9.4403,15.2882
E01000128,8.7741,4.2315,10.7654,10.3298,12.4456,11.9477,13.5657,10.2676,17.6727
E01000129,4.7506,4.8298,12.9058,12.4307,15.9937,10.293,13.6975,8.7886,16.3104
E01000130,7.376,4.2428,13.3159,10.5091,13.6423,8.1593,17.6893,11.8146,13.2507
E01000131,10.6051,5.864,8.4841,10.1684,11.1666,8.8584,17.7168,10.917,16.2196
E01000132,7.947,6.9536,10.0166,10.4305,14.4868,10.2649,15.4801,10.5132,13.9073
E01000133,7.5235,4.4671,11.0502,12.7743,14.185,9.5611,15.2821,11.0502,14.1066
E01000134,6.9866,4.446,11.9266,11.1503,11.9266,13.9732,13.832,9.1743,16.5843
E01000135,25.072,2.0893,4.611,4.9712,10.5187,8.5735,22.2622,7.4207,14.4813
E01000136,28.3518,1.5371,5.2092,3.0743,10.4184,7.7711,21.9471,6.5756,15.1153
E01000137,13.4615,3.2051,10.2564,7.6923,15.8654,8.9744,17.2276,9.5353,13.7821
E01000138,12.3401,3.3108,9.3303,7.374,14.5222,8.2017,18.9616,8.8036,17.1558
E01000139,24.0385,2.7972,4.8077,5.5944,9.0035,8.1294,20.1049,10.0524,15.472
E01000140,23.7538,3.8154,5.5385,5.6,8.7385,10.1538,23.1385,8.0615,11.2
E01000141,11.8471,4.7134,10.7643,12.9299,11.8471,9.2994,17.707,6.9427,13.949
E01000142,15.6613,4.2612,8.7991,8.1904,12.9496,8.5224,17.9856,8.7991,14.8312
E01000143,13.1759,4.722,8.7586,12.262,12.1858,14.8515,15.9177,9.2155,8.9109
E01000144,22.0163,3.0393,6.3751,5.4114,14.0845,11.4159,18.3099,7.4129,11.9348
E01000145,19.4068,1.6102,5.5085,4.9153,12.3729,12.1186,20.1695,10.7627,13.1356
E01000146,23.7885,2.7061,6.2303,5.9157,9.5028,9.5028,22.404,7.8666,12.0831
E01000147,10.4839,4.4045,10.8561,9.4293,9.7395,10.0496,15.6328,8.1886,21.2159
E01000150,14.4134,4.581,9.6648,9.4972,9.162,9.7765,16.9832,9.6648,16.257
E01000151,4.7264,5.8043,11.8574,9.0381,18.2421,17.6617,11.0282,8.5406,13.1012
E01000152,15.3535,4.0404,9.596,10.3535,10.3535,11.4141,19.4949,9.4949,9.899
E01000153,9.207,3.8978,12.9032,11.6263,13.0376,11.8952,15.0538,10.1478,12.2312
E01000154,12.4183,4.0523,11.4379,9.3464,16.0784,10.915,14.5098,8.9542,12.2876
E01000156,20.4308,3.5248,6.8538,6.1358,6.7885,8.4856,25.8486,6.4621,15.47
E01000157,17.9129,4.2728,6.9844,6.6557,6.7379,6.6557,23.0074,11.0107,16.7625
E01000158,16.2651,3.7005,7.6592,8.3477,8.864,7.0568,22.6334,11.1015,14.3718
E01000159,17.6551,2.454,7.4301,5.9986,8.8616,8.8616,22.8357,10.3613,15.5419
E01000160,22.3701,3.0418,5.1965,5.5133,8.6819,8.8086,22.6236,8.1749,15.5894
E01000161,17.2096,2.8888,8.7892,6.6994,13.0301,8.236,19.1149,9.5882,14.4438
E01000162,12.7019,2.79,9.0308,7.4156,14.7577,8.37,18.7959,10.9398,15.1982
E01000163,10.1427,4.0571,11.3449,8.7153,15.0263,8.2645,16.7543,10.8941,14.8009
E01000164,11.8392,3.6485,10.4989,10.0521,12.3604,10.7223,18.5406,8.3395,13.9985
E01000165,18.4049,2.7948,8.1118,7.1575,9.3388,9.8841,18.2686,11.3156,14.7239
E01000166,17.3313,4.3712,7.9755,6.2117,10.6595,5.9049,21.2423,12.6534,13.6503
E01000167,12.135,5.4745,10.4927,9.5803,9.9453,7.4818,19.2518,11.9526,13.6861
E01000168,24.9609,2.6604,6.5728,4.5383,7.0423,7.0423,21.518,12.1283,13.5368
E01000169,18.1957,3.1346,6.5749,5.2752,8.4098,5.5046,27.9052,10.474,14.526
E01000170,14.3519,3.4392,8.4656,8.4656,10.7143,10.0529,18.7831,12.2354,13.4921
E01000171,12.5289,4.6767,7.7367,9.1224,12.5866,7.1594,21.1316,9.5843,15.4734
E01000172,19.7885,2.4169,5.2115,3.9275,5.6647,11.4048,24.6224,13.2931,13.6707
E01000173,19.216,3.1514,8.5319,5.6879,6.226,9.2237,23.6741,12.6057,11.6833
E01000174,13.9754,3.5482,9.6307,9.1962,9.7755,7.3135,21.4337,11.7306,13.3961
E01000175,19.8013,2.9801,7.7483,6.8874,6.0927,5.3642,22.649,13.245,15.2318
E01000176,11.8323,3.7863,10.2772,8.3164,13.7255,9.3306,19.3374,11.5619,11.8323
E01000177,28.426,2.1143,5.2467,4.5419,4.8551,6.0298,28.0345,8.4573,12.2944
E01000178,26.6209,2.5172,5.0343,5.2632,7.9329,8.0092,24.6377,9.0008,10.984
E01000179,24.1429,3.7857,7.2143,4.7143,4.7143,6.9286,28,9.3571,11.1429
E01000180,19.9693,3.4562,7.8341,6.2212,9.2934,7.9109,23.9631,10.3687,10.9831
E01000181,30.2641,3.1406,4.9964,4.6395,4.7109,5.4247,28.3369,8.2084,10.2784
E01000182,29.0775,1.6974,4.5018,3.3948,5.0185,7.4539,29.3727,7.0849,12.3985
E01000183,27.847,2.1613,5.4032,4.2394,10.4738,6.0682,25.6858,7.6475,10.4738
E01000184,11.0377,3.3708,8.3278,10.7733,11.5664,15.8625,19.2333,8.1956,11.6325
E01000185,10.2668,3.557,12.692,8.3266,15.1981,9.8626,19.5635,9.5392,10.9943
E01000186,22.2477,1.1468,5.1988,3.0581,4.5107,8.4098,23.5474,14.2966,17.5841
E01000187,16.5204,1.5962,6.9433,6.1453,9.8962,7.6616,22.905,14.8444,13.4876
E01000188,25.1244,1.5755,5.8872,2.2388,6.3847,8.8723,21.8905,11.3599,16.6667
E01000189,20.4953,3.53,9.3256,6.8493,12.4341,8.3246,21.0748,8.1138,9.8525
E01000190,21.3066,2.5984,6.0876,4.4543,8.3148,8.389,21.3066,11.804,15.7387
E01000191,21.6555,1.9231,6.5217,3.01,9.1973,9.1973,20.4849,13.1271,14.8829
E01000192,17.0006,3.7492,7.8216,6.2702,8.2741,7.1105,19.3924,11.7001,18.6813
E01000193,16.6667,2.8931,7.673,6.3522,10.3774,9.1824,16.7296,9.8113,20.3145
E01000194,10.8966,3.3793,9.6552,8.4828,12.4828,9.4483,17.1034,12.1379,16.4138
E01000195,8.3663,4.0184,9.4862,10.0132,14.1634,10.6719,16.469,9.025,17.7866
E01000196,19.8683,3.348,5.8727,7.1899,13.0077,5.3787,21.6795,7.4094,16.2459
E01000197,21.8876,4.5515,5.8902,6.158,8.166,5.8233,23.0924,9.7055,14.7256
E01000198,21.0526,2.6006,5.6966,3.7152,9.5356,8.7926,22.9102,8.9783,16.7183
E01000199,29.8913,1.3199,6.3665,2.795,7.0652,7.9193,22.5932,8.8509,13.1988
E01000200,25.4635,2.7194,5.9333,3.0902,11.2485,6.7367,20.581,10.136,14.0915
E01000201,26.4658,1.0586,5.0489,2.0358,9.2834,8.4691,20.4397,8.3876,18.8111
E01000202,27.6627,2.7367,5.6953,4.4379,6.8047,7.7663,21.3757,7.8402,15.6805
E01000203,18.2745,2.8533,6.7255,8.4239,13.9946,9.2391,16.712,8.7636,15.0136
E01000204,28.3249,2.0848,5.6794,3.307,8.1237,7.3329,23.3645,10.496,11.2868
E01000205,33.4764,0.6009,3.4335,1.9742,6.1803,6.0944,25.5794,9.0129,13.6481
E01000206,28.363,2.0259,5.9968,4.1329,8.4279,9.4814,21.1507,6.8071,13.6143
E01000207,31.8471,1.8312,5.0955,2.707,7.5637,6.6083,22.6911,8.2803,13.3758
E01000208,33.6141,1.7611,3.6753,2.6799,6.5084,6.8913,22.1286,7.657,15.0842
E01000209,33.3065,1.2097,5.5645,2.0968,4.5161,5.0806,26.4516,8.7903,12.9839
E01000210,31.9113,2.3891,3.6689,1.8771,6.3993,7.8498,24.3174,7.5939,13.9932
E01000211,18.6883,3.3082,7.7771,7.1387,12.188,9.3442,18.6883,8.9959,13.8712
E01000212,29.9015,2.2381,6.8039,4.2972,5.9087,7.0725,21.3071,8.5944,13.8765
E01000213,33.559,1.1605,2.9981,3.5783,5.2224,11.1219,20.0193,7.2534,15.087
E01000214,30.9798,2.2334,4.1066,3.6744,5.4755,9.2939,25.072,6.0519,13.1124
E01000215,18.7282,3.0748,6.2893,3.0748,11.9497,10.5521,20.4053,14.4654,11.4605
E01000216,23.4014,1.7687,4.8299,4.2177,9.1156,13.2653,21.4286,10.8844,11.0884
E01000217,21.0611,1.8489,5.7074,4.1801,9.7267,7.7974,21.9453,13.2637,14.4695
E01000218,16.2433,2.6944,6.5435,4.465,10.1617,10.4696,20.7082,14.0108,14.7036
E01000219,13.1973,4.8299,9.5918,8.0272,9.7959,7.9592,21.1565,12.517,12.9252
E01000220,14.1194,4.0029,9.1703,5.4585,12.6638,7.6419,19.7234,12.4454,14.7744
E01000221,6.0287,3.5407,9.8565,10.9091,20.0957,11.9617,13.7799,10.9091,12.9187
E01000222,13.218,3.8913,7.7208,9.3267,14.021,12.0445,15.6269,8.5855,15.5652
E01000223,8.8889,4.6405,8.8889,9.6078,15.9477,10.0654,17.9085,9.0196,15.0327
E01000224,12.8862,2.8636,7.7619,6.5561,15.1469,10.8515,17.1816,8.8922,17.8598
E01000225,17.5,2.0968,6.371,2.3387,9.4355,11.8548,21.371,12.0968,16.9355
E01000226,7.5182,5.4015,10.146,11.3869,13.7226,11.4599,14.9635,10.292,15.1095
E01000227,16.5669,2.8609,8.0506,6.3872,8.1171,8.2502,21.69,12.5083,15.5689
E01000228,18.6067,2.9101,7.3192,5.2028,8.5538,9.3474,21.2522,9.8765,16.9312
E01000229,11.9969,3.87,9.8297,8.9009,10.5263,7.8947,18.3437,12.6935,15.9443
E01000230,18.0294,2.4458,7.8267,4.9616,9.2243,6.2893,22.5716,13.4871,15.1642
E01000231,15.0499,3.4237,8.1312,5.9201,9.8431,9.5578,20.3994,12.5535,15.1213
E01000232,20.323,2.4226,7.6716,3.9031,10.1615,7.0659,22.5437,10.1615,15.747
E01000233,18.2654,3.4823,8.0158,5.9133,7.4901,7.1616,23.3903,10.0526,16.2286
E01000234,25.6975,1.909,5.3598,5.1395,5.2863,6.0206,24.3025,10.6461,15.6388
E01000235,12.4667,3.4667,9.6,10.5333,9.8667,13.1333,17.4667,9.8,13.6667
E01000236,17.4161,1.9986,6.3526,4.4254,10.8494,11.8487,21.9843,10.3498,14.7752
E01000237,16.5054,4.2322,7.1947,6.4692,8.162,14.7521,18.4401,7.7388,16.5054
E01000238,13.4476,2.7686,6.3283,7.8444,7.7785,15.557,18.3256,10.6131,17.3368
E01000239,14.3948,4.1128,8.4019,6.933,12.3384,12.691,18.3314,8.2256,14.5711
E01000240,14.7917,3.75,7.8472,7.4306,10.2778,9.9306,17.1528,8.6111,20.2083
E01000241,21.7179,2.095,5.7961,4.9581,7.4721,11.5922,21.4385,7.8212,17.1089
E01000242,22.2405,2.2241,7.0016,3.9539,9.3081,10.7084,20.4283,9.5552,14.5799
E01000243,13.3985,3.9103,7.188,8.7982,7.188,14.6061,19.379,9.7757,15.7562
E01000244,12.3823,3.1861,7.3135,10.21,8.1825,19.9855,16.2201,7.748,14.7719
E01000245,9.7923,4.273,10.6231,11.2166,14.7181,12.7003,14.2433,8.4866,13.9466
E01000246,25.4414,3.3708,5.8587,4.0128,4.7352,4.8957,27.6083,12.0385,12.0385
E01000247,21.6374,3.4357,6.1404,5.1901,6.0673,6.1404,27.8509,11.038,12.5
E01000248,25.4128,3.3022,7.107,6.3173,4.5944,5.743,27.4228,7.8966,12.2039
E01000249,27.8714,2.6799,6.2021,3.6753,4.8239,4.9005,25.804,11.7917,12.2511
E01000250,18.8306,3.0847,7.5967,6.2615,9.7145,7.7808,25.2302,10.221,11.2799
E01000251,15.1302,3.9588,8.3514,5.9653,11.7679,10.2495,20.5531,11.3883,12.6356
E01000252,19.6341,5.1372,6.2632,5.4891,8.6559,5.6298,24.6305,11.4004,13.1597
E01000253,26.7252,0.8156,3.5759,1.4429,8.1556,6.9636,25.6587,10.3513,16.3112
E01000254,25.4947,2.3592,5.6317,2.6636,4.4901,6.2405,30.6697,10.274,12.1766
E01000255,17.1533,3.7956,7.0073,7.7372,11.0219,11.6788,20,9.0511,12.5547
E01000256,20.4811,2.0619,6.6667,6.5292,7.7663,8.3849,22.1306,9.0722,16.9072
E01000257,18.5163,3.2569,8.8661,7.9011,10.1327,6.7551,21.9542,10.3136,12.304
E01000258,22.6837,2.3642,6.0064,6.7732,7.2204,6.0064,23.8339,9.9042,15.2077
E01000259,21.2613,2.4367,5.8767,4.8734,9.2212,9.0779,22.0736,11.5146,13.6646
E01000260,17.3325,2.6439,9.9295,6.698,8.9894,9.0482,18.4489,9.6945,17.215
E01000261,23.1246,2.2712,4.9553,3.0282,6.4694,14.797,22.3675,9.4976,13.4893
E01000263,31.0433,1.2723,4.0712,1.9508,4.8346,7.6336,23.9186,9.6692,15.6064
E01000264,18.394,2.4708,7.7557,6.383,8.3047,8.7165,22.7179,7.8243,17.4331
E01000265,13.6576,4.1972,9.9933,8.5943,10.1266,7.7282,19.1872,11.6589,14.8568
E01000266,28.9228,2.0356,3.8168,2.6293,6.3613,7.464,22.8159,10.2629,15.6913
E01000267,22.506,3.751,8.8587,4.5491,5.6664,6.7837,24.0223,10.1357,13.7271
E01000268,19.6731,3.0872,8.3535,6.6586,10.9564,7.3245,22.8208,9.9879,11.138
E01000269,20.0351,3.1634,8.0844,5.536,6.8541,6.3269,25.3076,11.6872,13.0053
E01000270,21.1401,2.3753,6.3341,4.3547,6.5717,7.5218,26.6825,10.3721,14.6477
E01000271,24.1176,2.2794,6.3971,5.2941,7.2794,6.9118,21.5441,10.3676,15.8088
E01000272,29.3277,1.3445,4.3697,2.8571,10,6.3866,22.2689,10.5882,12.8571
E01000273,21.6466,3.1938,7.5231,6.6004,11.0717,5.11,23.4209,10.149,11.2846
E01000274,16.4375,4.3222,9.0373,7.5966,8.6444,9.6922,18.926,11.5259,13.8179
E01000275,25.4861,2.0833,5.9722,4.9306,10.6944,6.1111,23.2639,10.1389,11.3194
E01000276,29.4425,1.5679,3.8328,2.7003,7.23,8.3624,24.3031,10.1916,12.3693
E01000277,21.6063,2.4165,7.9602,6.823,10.8742,10.0924,19.9716,9.5238,10.7321
E01000278,33.4234,1.7117,3.8739,2.973,7.2072,5.8559,23.6036,10.3604,10.991
E01000279,29.765,1.0444,3.2202,2.9591,6.6144,8.3551,20.1044,10.2698,17.6675
E01000280,31.81,1.5233,3.5842,1.9713,5.2867,6.1828,23.5663,10.7527,15.3226
E01000281,31.1429,2.7143,4.9286,4.3571,6.7857,4.8571,26.8571,8.5714,9.7857
E01000282,25.224,2.0675,5.3756,4.4797,7.7188,7.7188,23.7078,11.8539,11.8539
E01000283,33.2721,1.6544,4.3199,2.5735,5.9743,6.0662,20.4963,9.6507,15.9926
E01000284,17.3218,3.5976,8.7275,8.7941,10.9927,6.3957,20.8528,8.994,14.3238
E01000285,17.7593,3.9004,9.7925,7.6349,9.4606,5.6432,23.2365,11.4523,11.1203
E01000286,13.547,5.0255,10.7065,9.614,12.236,8.0117,20.6118,9.2498,10.9978
E01000287,12.6826,3.9969,9.2237,10.4535,11.837,9.3005,18.2936,11.4527,12.7594
E01000288,19.1847,3.1974,7.514,7.4341,6.5548,9.1926,23.9808,12.47,10.4716
E01000289,8.7903,4.9194,13.4677,13.0645,13.3871,12.0161,13.5484,10,10.8065
E01000290,16.8148,4.6667,9.7778,7.5556,9.3333,6.6667,20.2222,10.4444,14.5185
E01000291,13.4677,3.5484,11.7742,9.9194,11.6129,8.7097,19.1935,9.0323,12.7419
E01000292,21.5856,2.9827,7.2998,5.102,7.9278,5.9655,24.7253,11.9309,12.4804
E01000293,24.7275,2.9973,6.5395,4.7003,4.0872,7.1526,26.9755,11.5123,11.3079
E01000294,18.3893,3.8926,7.9866,5.7047,7.9866,6.3758,25.7718,10.5369,13.3557
E01000295,25.0374,2.1674,5.9791,4.9327,8.1465,5.7549,25.8595,9.9402,12.1824
