LSOA21CD,Higher_manager_administrative_professional,Lower_supervisory&technical_occupations,Semi-routine_occupations,Routine_occupations,NeverWorked&Long-term_unemployed,Full-time_students,Lower_manager_administrative_professional,Intermediate_occupations,Small_employers&ownaccount_workers
E01005620,12.0163,6.11,10.7943,12.1181,7.0265,4.9389,22.9124,15.224,8.8595
E01005621,8.3212,8.0292,14.8905,16.1314,8.1022,4.3066,16.4964,14.8175,8.9051
E01005622,12.9226,3.9068,12.021,11.7205,6.5364,9.3914,22.84,13.9745,6.6867
E01005623,16.5406,3.8752,8.2231,10.4915,6.5217,9.0737,24.7637,11.5312,8.9792
E01005624,6.1047,5.6686,13.6628,21.2209,14.8983,7.1948,13.0087,9.7384,8.5029
E01005625,10.2452,5.6042,11.5587,11.6462,8.1436,3.6778,23.2925,17.5131,8.3187
E01005626,11.3912,4.8553,10.7376,10.9244,9.1503,4.0149,22.5023,16.8067,9.6172
E01005627,11.4551,5.16,11.3519,10.9391,6.2951,4.644,23.0134,16.8215,10.3199
E01005628,9.8996,4.3759,11.7647,10.9039,7.891,12.6973,21.5925,13.2712,7.604
E01005629,14.9194,3.3871,11.371,10.6452,9.5161,4.7581,24.5968,12.5,8.3065
E01005630,12.3377,5.1948,8.6039,12.6623,8.7662,5.8442,22.8896,17.0455,6.6558
E01005631,8.4734,5.6723,14.0056,16.8067,20.3081,3.4314,13.9356,9.1737,8.1933
E01005632,14.2213,4.7071,10.2153,10.6159,9.1137,6.7101,23.5854,13.4702,7.361
E01005633,7.6361,6.0926,11.3729,15.1909,14.1348,7.2299,16.4907,13.4037,8.4484
E01005634,24.6501,3.8103,6.8429,5.4432,4.3546,4.4323,30.7154,11.2753,8.4759
E01005635,17.4436,4.2105,9.1729,9.0226,10.6015,4.0602,24.8872,9.7744,10.8271
E01005636,23.2012,3.5242,6.0206,7.1219,8.0764,4.0382,27.0925,12.2614,8.6637
E01005637,19.0204,4.5714,7.9184,10.2857,8.4898,8.4898,22.8571,11.102,7.2653
E01005638,8.5003,5.8473,11.0449,15.1597,19.2745,6.118,15.5387,10.0704,8.4461
E01005639,2.284,5.6604,19.2651,21.2512,14.8957,9.7319,10.5263,10.6256,5.7597
E01005640,4.8123,7.8922,15.2069,21.9442,12.7045,5.1011,11.2608,13.667,7.411
E01005641,6.3773,7.7059,17.0948,18.9548,9.6546,3.9858,14.8804,12.1346,9.2117
E01005642,9.3306,7.7079,12.9817,12.1704,5.6795,5.3753,20.3854,16.43,9.9391
E01005643,8.6884,7.0175,13.3668,15.6224,10.6099,3.5088,18.0451,14.787,8.3542
E01005644,10.6383,8.6743,12.3568,12.766,5.7283,4.91,19.8036,16.9394,8.1833
E01005645,11.7399,8.1081,12.9223,12.3311,6.5878,4.5608,20.4392,15.8784,7.4324
E01005646,11.9126,1.7207,6.3534,7.5447,9.9272,12.1112,21.906,17.6042,10.9199
E01005647,14.3108,2.8973,7.7261,5.619,7.4627,12.0281,22.7392,14.4864,12.7305
E01005648,15.6148,4.5702,8.9227,8.8683,8.3243,6.7465,20.9467,13.3841,12.6224
E01005649,16.4082,1.6327,7.9184,4.4082,8.6531,8,22.2041,15.2653,15.5102
E01005650,10.7084,3.4596,8.0725,10.0494,14.4975,10.8731,17.8748,13.4267,11.0379
E01005651,10.766,2.8986,9.3168,8.1435,12.4224,14.2167,19.5307,13.8026,8.9027
E01005652,7.3657,5.5459,11.6118,16.0312,15.078,7.6256,15.4246,12.0451,9.2721
E01005653,3.9768,4.7225,13.0903,18.8898,17.2328,13.0075,11.1019,9.942,8.0365
E01005654,13.4901,4.0223,10.396,13.0569,8.354,11.6337,21.4109,12.0668,5.5693
E01005656,6.5327,3.9483,11.5578,16.0086,11.8449,18.3058,13.9268,11.4142,6.4609
E01005657,6.1346,4.9472,12.3351,18.4697,13.9182,15.4354,14.1821,8.5752,6.0026
E01005659,4.5119,6.3167,14.6021,18.8679,15.0943,6.3987,12.4692,13.6177,8.1214
E01005660,3.3308,4.9574,17.3509,19.907,18.2029,8.5205,8.5205,11.3091,7.9009
E01005661,6.7432,5.3085,14.6341,16.1406,14.0603,7.604,16.3558,10.4735,8.6801
E01005662,3.4996,6.3867,14.6982,22.4847,20.2975,9.2738,8.7489,7.9615,6.6492
E01005663,7.4229,6.0884,11.0926,15.2627,11.2594,6.7556,20.0167,13.0942,9.0075
E01005664,2.698,4.6997,14.0122,20.2785,17.8416,12.1845,12.0104,8.5292,7.7459
E01005665,2.4766,4.6185,15.5288,19.0763,19.0763,13.6546,9.7724,10.6426,5.1539
E01005667,9.7354,4.709,9.6296,17.037,15.291,10.0529,15.6085,11.6931,6.2434
E01005670,6.4148,6.5574,14.7541,17.32,12.2594,6.985,15.4669,12.8297,7.4127
E01005671,8.6583,6.3963,14.0406,16.3027,13.2605,4.6022,16.6927,11.9345,8.1123
E01005672,9.3897,6.7606,13.4272,15.9624,7.3239,3.5681,21.0329,14.0845,8.4507
E01005673,9.1896,6.7669,12.1136,14.5363,9.2732,4.2607,17.9616,16.4578,9.4403
E01005674,10.5347,5.6664,12.0511,11.5722,14.8444,5.1875,18.8348,12.8492,8.4597
E01005676,11.7864,6.1694,11.7864,10.4052,8.8398,4.0516,22.2836,15.1934,9.4843
E01005677,8.828,6.5449,13.0898,13.4703,11.2633,6.7732,18.4932,12.7093,8.828
E01005678,3.4687,5.3299,15.2284,18.6971,13.5364,9.3063,14.044,13.0288,7.3604
E01005679,5.1878,6.2612,15.2952,18.068,15.1163,7.0662,12.4329,12.7907,7.7818
E01005680,4.1758,4.7619,14.2125,17.2894,21.6117,9.7436,11.2821,9.304,7.619
E01005681,2.6296,3.0804,6.9872,12.1713,15.8527,42.8249,7.7385,5.2592,3.456
E01005682,5.7024,4.242,12.9346,19.6106,20.7928,11.6134,9.5271,9.0403,6.5369
E01005683,5.0963,4.6613,11.995,19.5152,16.2834,17.2778,10.317,8.266,6.5879
E01005686,9.75,5,14.6667,15.9167,10.25,7,14.8333,13.6667,8.9167
E01005687,8.4022,5.5785,12.6722,14.0496,7.3691,5.7163,20.6612,16.3223,9.2287
E01005688,8.4395,6.2898,13.8535,16.4809,8.2006,7.1656,16.0828,16.0032,7.4841
E01005689,4.6443,5.7312,14.6245,17.9842,15.8103,10.9684,12.0553,12.9447,5.2372
E01005690,10.3964,6.0583,12.1167,12.1167,10.92,4.7868,22.1391,13.1638,8.3022
E01005691,10.8173,7.3718,13.3814,14.1827,8.1731,3.2051,19.5513,14.4231,8.8942
E01005692,5.7018,7.193,13.3333,18.9474,15.9649,6.2281,14.1228,12.193,6.3158
E01005693,7.1306,7.0447,12.457,14.0893,6.701,5.5842,22.079,17.5258,7.3883
E01005694,14.3369,6.0215,11.1111,9.4624,5.8065,6.9534,22.2939,16.8459,7.1685
E01005695,23.5388,3.8431,5.3643,6.0849,4.6437,6.1649,27.6221,12.0897,10.6485
E01005696,16.5945,4.329,9.2352,9.9567,6.8543,6.2049,26.5512,12.8427,7.4315
E01005697,18.0114,5.379,8.639,6.9275,4.89,4.4825,26.0799,16.8704,8.7205
E01005698,5.4504,5.9803,15.0643,16.5783,16.0484,6.5859,13.9288,11.9606,8.4027
E01005699,10.989,6.5247,11.2637,10.989,7.0742,5.4258,23.6951,15.7967,8.2418
E01005700,11.1203,4.7776,11.3674,13.5091,8.9786,5.1071,19.3575,14.9918,10.7908
E01005701,13.9721,4.5908,9.3147,10.2462,9.6474,4.5908,23.819,13.7059,10.1131
E01005702,9.8646,5.2708,14.4101,13.1528,10.3965,5.9478,19.7292,13.4913,7.7369
E01005703,3.8491,6.7744,16.2433,18.4758,19.3995,8.2371,9.5458,10.0847,7.3903
E01005704,5.6066,6.1581,17.739,18.6581,11.7647,5.3309,14.9816,10.7537,9.0074
E01005706,5.678,6.6102,16.1017,19.4068,14.0678,6.2712,12.2034,10.678,8.9831
E01005707,5.2752,6.0398,16.208,20.4128,11.9266,5.6575,13.6086,13.9908,6.8807
E01005708,6.0965,7.4513,13.8865,18.5436,11.6003,4.0644,16.3421,13.9712,8.044
E01005709,4.302,6.0579,17.0325,21.6857,17.0325,6.4969,10.36,10.2722,6.7603
E01005710,17.6193,4.5374,11.0784,10.0177,7.6016,4.3017,23.8067,12.3748,8.6623
E01005711,11.545,6.1969,11.7997,11.2903,7.6401,4.584,21.1375,14.8557,10.9508
E01005712,10.0604,6.2374,12.0724,12.0054,8.3836,5.0973,21.6633,15.1576,9.3226
E01005713,17.1072,3.8913,9.0308,7.6358,6.1674,3.9648,27.3128,15.5653,9.3245
E01005714,11.236,5.618,11.9101,13.8577,9.7378,6.0674,20.2996,11.9101,9.3633
