MSOA21CD,JobAccess
E02001170,1647523.012
E02001171,1270847.874
E02001173,1042996.94
E02001174,1096362.01
E02001175,1299586.321
E02001176,1235235.791
E02001177,1085953.622
E02001179,1103169.032
E02001180,928562.6618
E02001181,1415521.59
E02001182,1312247.885
E02001183,1424873.58
E02001185,1332363.796
E02001186,1352323.134
E02001187,1279187.09
E02001188,1182282.438
E02001189,1269066.837
E02001190,1147942.854
E02001191,1269121.616
E02001192,1232664.665
E02001193,1293853.841
E02001194,1224596.931
E02001195,1384931.327
E02001196,1091920.986
E02001197,1336540.234
E02001198,1299272.725
E02001199,1253785.968
E02001200,1171028.777
E02001201,1247987.126
E02001202,1212587.059
E02001203,953861.4278
E02001204,1391696.162
E02001205,1171097.948
E02001206,1013092.408
E02001207,1196988.895
E02001208,1408572.462
E02001209,1046262.231
E02001210,1013300.502
E02001211,1448749.672
E02001212,1049415.14
E02001213,1044210.49
E02001214,1435717.191
E02001215,970756.9317
E02001216,1217717.011
E02001217,1033637.612
E02001218,1081867.748
E02001219,1025028.837
E02001220,1202617.753
E02001221,1130138.279
E02001222,1270958.952
E02001223,1023025.625
E02001224,1084807.106
E02001225,1156987.606
E02001226,1359646.538
E02001227,1119253.467
E02001228,1118101.295
E02001229,1097133.924
E02001230,1298286.28
E02001231,1053497.023
E02001232,1206967.781
E02001233,1304631.949
E02001234,1175174.613
E02001235,1306437.977
E02001236,1142883.259
E02001237,1103196.644
E02001238,1187815.806
E02001239,1089877.363
E02001240,1109040.759
E02001241,1219326.75
E02001242,1363613.049
E02001243,1204396.422
E02001244,1130088.973
E02001245,1236968.94
E02001246,1172111.978
E02001247,1362727.822
E02001248,1222473.235
E02001249,1344191.389
E02001250,1286612.733
E02001251,1296534.806
E02001252,1368905.101
E02001253,1364446.682
E02001254,1347457.21
E02001255,1063783.011
E02001256,1274039.798
E02001257,1257040.829
E02001258,1263276.41
E02001259,1021922.886
E02001260,1578394.895
E02001261,1305974.534
E02001262,1074072.104
E02001263,1370430.706
E02001264,1350053.842
E02001265,1243482.801
E02001266,1432676.097
E02001267,1339343.302
E02001268,1393627.835
E02001269,1280125.403
E02001270,1467299.699
E02001271,1414311.754
E02001272,1454375.06
E02001273,1318384.81
E02001274,1410687.834
E02001275,1271760.878
E02001276,1363442.84
E02001277,1210484.353
E02001278,1338259.292
E02001279,1188017.715
E02001280,1232607.023
E02001281,1248639.576
E02001282,1246890.539
E02001283,1369324.189
E02001284,1277371.708
E02001285,1351537.586
E02001286,1410155.397
E02001287,1100865.524
E02001288,1024804.064
E02001289,941406.1222
E02001290,1094431.849
E02001291,887093.4259
E02001292,903958.0228
E02001293,998533.9969
E02001294,877532.2538
E02001295,866833.1752
E02001296,870974.9464
E02001297,1003803.071
E02001298,860644.4418
E02001299,996626.546
E02001300,1060292.05
E02001301,983087.9408
E02001302,898073.5243
E02001303,1001142.513
E02001304,997023.6349
E02001305,955076.4127
E02001306,1069202.607
E02001307,1018120.261
E02001308,1038391.047
E02001309,1028093.351
E02001310,930739.6272
E02001311,1058225.804
E02001312,963689.7082
E02001313,889810.9596
E02001314,1116311.453
E02001315,1309316.931
E02001316,923452.0892
E02001317,851950.2216
E02001318,1082024.069
E02001319,899709.4083
E02001320,1067486.514
E02001321,1132883.25
E02001322,1247149.301
E02001323,1072350.584
E02001324,1219432.097
E02001325,1068903.942
