BUA22CD,ResPop65plus,ResPop75plus,ResPop85plus
E63000879,24.3,10.9,2.7
E63000887,20.8,10.1,3.3
E63000891,17.7,8.7,2.4
E63000893,19.7,8.8,2.3
E63000900,16.3,7.4,2.1
E63000904,19.3,8.5,2.2
E63000906,19.5,8.7,2.3
E63000910,15.9,6.9,1.7
E63000916,14.4,6,1.5
E63000918,28.4,13.9,3.8
E63000926,20.1,8.5,2.5
E63000927,15,6.9,2
E63000930,17.9,8.3,2.5
E63000932,20,8.6,2.1
E63000934,18.6,8.2,2.1
E63000936,19.3,8,2.2
E63000937,22.5,10.5,2.8
E63000939,17.4,7.9,2.3
E63000945,18.2,7.6,2
E63000947,20.4,8.9,2.3
E63000948,17.2,6.8,1.4
E63000949,25.7,11.7,2.7
E63000956,22.4,9.6,2.6
E63000957,18.8,8.7,2.3
E63000959,20.6,9.4,2.6
E63000967,19.8,9,2.4
E63000970,12.8,5.6,1.6
E63000971,17.2,7.6,2
E63000975,18.6,8.7,2
E63000979,22.7,10,2.4
E63000980,24.2,11.9,3.1
E63000984,15.1,6.6,1.7
E63000998,21.2,9,1.6
E63001000,22.1,10.2,3
E63001007,20.5,9.1,2.2
E63001008,19.5,8.8,2.2
E63001017,16.1,7.5,2.2
E63001020,22.1,9.2,2.1
E63001022,22.5,9.9,2.5
E63001024,17.6,7.7,1.8
E63001029,25.8,12.9,4.1
E63001033,15.4,6.5,1.4
E63001037,22.9,10.4,2.5
E63001040,21.6,10,2.8
E63001053,18.5,8.2,2.1
E63001055,17.1,7.5,1.9
E63001057,21,9.8,2.3
E63001060,23.3,10.9,2.5
E63001061,16.6,6.9,1.5
E63001062,14.2,5.8,1.2
E63001063,20.9,9.7,2.7
E63001069,14.6,6.3,1.7
E63001073,22.4,10.4,2.3
E63001077,21.6,9.1,1.8
E63001082,21.6,9.7,2.5
E63001085,18.9,8.3,2.2
E63001086,17.2,7.4,1.9
E63001088,19.7,9.6,2.5
E63001095,19.1,8.3,2.1
E63001096,17.4,7.3,1.9
E63001098,18.5,8.4,2.1
E63001101,22.8,10.8,3
E63001106,25,12.5,3.2
E63001109,15.9,7.2,2
E63001110,23.1,10.8,2.8
E63001112,18.4,8.7,2.6
E63001114,20.8,9.5,2.4
E63001116,18.4,8.2,2
E63001117,24.3,11,2.8
E63001118,16.8,6.7,1.6
E63001124,24.9,10.9,2.3
E63001126,23.1,10.9,2.4
E63001128,17.8,7.9,2.3
E63001129,22.1,10.6,2.9
E63001130,14.4,6,1.5
E63001134,18.4,8,2.2
E63001136,28.2,13.7,3.8
E63001142,22.8,10.2,2.2
E63001148,21.6,9.4,2.4
E63001149,22.4,10.3,2.9
E63001151,17.1,7.4,1.9
E63001152,21.8,11.2,3.2
E63001153,23.4,9.4,1.7
E63001154,27.2,12.9,4.3
E63001155,31.4,17,4.8
E63001157,25.6,11.4,3.1
E63001160,17.8,7.9,2
E63001167,15.6,6.6,1.4
E63001168,16.6,6.9,1.9
E63001172,14.1,6.3,1.6
E63001173,18.5,8.7,2.4
E63001177,18.5,8.2,1.9
E63001178,17.8,8.1,2.3
E63001179,19.9,8,1.9
E63001180,28.5,14.9,3.9
E63001181,23.4,10.5,2.9
E63001182,26.7,12.2,2.9
E63001184,20,9.7,2.8
E63001187,17.2,7.3,1.6
E63001190,14.6,6.4,1.6
E63001191,21.2,9.5,2.6
E63001192,10.3,4.2,1.1
E63001194,21.8,10,2.5
E63001195,14.1,5.8,1.4
E63001197,23.4,10.1,2.5
E63001198,20.9,9.6,2
E63001199,22.3,10.8,2.7
E63001203,16.6,7.2,1.9
E63001204,20.8,10.1,3.2
E63001205,14.8,6.7,1.5
E63001207,13.5,5.7,1.5
E63001209,26.9,13.8,4
E63001210,15,6.7,2
E63001213,19.8,9.3,2.2
E63001214,31.6,15.7,4.8
E63001218,20.7,8.4,2.3
E63001219,16.2,7,1.8
E63001221,16.8,6.4,1.5
E63001222,18,8.2,2.1
E63001224,16.9,6.7,1.4
E63001226,16.8,6.4,1.5
E63001227,17,7.6,2
E63001228,24,12.2,3.4
E63001229,16.8,7.4,2.2
E63001232,26.6,13.5,4.3
E63001237,17.8,6.7,1.4
E63001241,17.4,8.1,2.2
E63001250,33,17.2,4.9
E63001254,19.5,10,2.3
E63001256,22.7,10.7,3
E63001258,17.9,8.2,2.4
E63001259,21.7,10,2.7
E63001260,18.1,8.3,1.8
E63001263,17.8,8,2
E63001268,15.9,6.8,1.6
E63001269,24.1,11,2.4
E63001273,21.9,10,2.8
E63001274,9.3,4,1.1
E63001278,17.8,7.4,1.9
E63001279,13.2,5.1,1.2
E63001280,21.5,9.5,2.4
E63001281,13.8,6.4,1.8
E63001282,26.8,13.8,4.9
E63001283,19.6,8.6,2.5
E63001284,15.2,5.2,1.5
E63001285,17,7.5,1.8
E63001286,18.3,8.5,2.4
E63001290,25.2,12.7,3.4
E63001291,17.6,7.5,1.8
