OA21CD,MortgageDebt
E00000358,71446.72
E00000360,48197
E00000361,49292.38
E00000362,47366.02
E00000363,37291.11
E00000364,47781.22
E00000365,59314.13
E00000366,59246.19
E00000367,59535.3
E00000368,56276.91
E00000369,57716.04
E00000370,60134.41
E00000371,59172.26
E00000372,59140.72
E00000373,61637.78
E00000374,48607.28
E00000375,59810.24
E00000376,48962.03
E00000377,58702.64
E00000378,55159.9
E00000379,50603.85
E00000380,58783.36
E00000381,61013.77
E00000382,59157.7
E00000383,48197
E00000384,58702.64
E00000385,67728.31
E00000386,48956.01
E00000387,43046.17
E00000388,37074.61
E00000389,46086.18
E00000390,48710.16
E00000391,51930.65
E00000392,54068.88
E00000393,44692.81
E00000394,46674.75
E00000395,50500.98
E00000396,51671.18
E00000397,59906.36
E00000398,51807.74
E00000399,53194.17
E00000400,51406.13
E00000401,55326.94
E00000402,50970.49
E00000403,51051.61
E00000404,49916.1
E00000405,39330.86
E00000406,53566.05
E00000407,54239.54
E00000408,54619.59
E00000409,53051.13
E00000410,52315.97
E00000411,52385.29
E00000412,45656.76
E00000413,51853.14
E00000414,43226.86
E00000415,51112.84
E00000416,49355.28
E00000417,49068.33
E00000418,49418.81
E00000419,51220.45
E00000420,43248.32
E00000421,45956.46
E00000422,45875.22
E00000423,48345.23
E00000424,45580
E00000425,43093.3
E00000426,43020.03
E00000427,47510.43
E00000428,46038.53
E00000429,46473.07
E00000430,46296.88
E00000431,44610.02
E00000432,48701.92
E00000433,54809.75
E00000434,47674.72
E00000435,45642.9
E00000436,45732.29
E00000437,48910.81
E00000438,46633.89
E00000439,46842.15
E00000440,52003.48
E00000441,47641.97
E00000442,60611.57
E00000443,49558.29
E00000444,46955.85
E00000445,46373.79
E00000446,47447.29
E00000447,48250.97
E00000448,47996.59
E00000449,51486.57
E00000450,57842.35
E00000451,56607.06
E00000453,71854.76
E00000454,74711.26
E00000455,47924.85
E00000456,65350.87
E00000457,42849.65
E00000461,42526.76
E00000462,67577.9
E00000463,55690.4
E00000464,39283.46
E00000465,79169.6
E00000466,71180.7
E00000467,78050.46
E00000468,52531.36
E00000469,54232.46
E00000470,70697.88
E00000471,72442.77
E00000472,62914.97
E00000475,77667.33
E00000476,89101.86
E00000477,23520.07
E00000478,74229.09
E00000479,23993.63
E00000480,74017.61
E00000481,49789.92
E00000482,63393.84
E00000483,64424.24
E00000484,67018.51
E00000485,61952.08
E00000487,64526.61
E00000488,63738.88
E00000489,58838.2
E00000490,54289.03
E00000491,50566.6
E00000492,59927.62
E00000493,48196.37
E00000494,50379.41
E00000495,51258.88
E00000496,51404.91
E00000497,54165.47
E00000498,49921.69
E00000499,53773.98
E00000500,52312.51
E00000501,49549.39
E00000502,49886.13
E00000503,49498.75
E00000504,49068.33
E00000505,47953.14
E00000506,39552.04
E00000507,50150.72
E00000508,48641.65
E00000509,50626.05
E00000510,68412.04
E00000511,36443.59
E00000512,46446.59
E00000513,51257.02
E00000514,54073.33
E00000515,58384.7
E00000516,58005.94
E00000517,57899.08
E00000518,54405.48
E00000519,53713.65
E00000520,53796.58
E00000521,51591.5
E00000522,62332.33
E00000523,50789.61
E00000524,41622.44
