BUA22CD,BUSA22NM,ResPop65plus,ResPop75plus,ResPop85plus
E63006457,Marchwood,18.1,7,1.9
E63006461,Lewes,21.7,10.3,3.1
E63006463,Bursledon,15,6.7,1.6
E63006464,Hailsham,24.8,12.7,3.9
E63006465,Whiteley,10.6,4.2,0.9
E63006470,Crewkerne,28.4,13.8,3.7
E63006474,Waterlooville,22.4,11.1,3.2
E63006478,Chard,24,11.8,3.7
E63006482,Verwood,27.6,14.1,3.9
E63006483,Netley,25.3,12.4,4
E63006492,Bexhill-on-Sea,34.5,17.8,5.7
E63006505,Cullompton,19.2,9.2,3.1
E63006507,Havant,18.1,8.3,2.6
E63006508,Hythe and Dibden Purlieu,27.3,14.1,4.2
E63006509,Locks Heath,22.2,10.6,3.2
E63006511,Blandford Forum,24.7,11.8,3.6
E63006516,Emsworth,33.2,17.7,5.9
E63006520,Brighton and Hove,14,6.4,2
E63006525,Bude,29.8,14.5,4.4
E63006527,Fareham,24.3,12.6,4
E63006530,Ringwood,25.4,13.5,4.1
E63006535,Southwick (Adur),20.6,10.6,3.1
E63006538,Shoreham-by-Sea,23.4,11.3,3.4
E63006540,Barnham (Arun),24.1,11.3,3.6
E63006541,Chichester,23.5,12.4,4.2
E63006542,Lancing and Sompting,25.4,12.9,3.7
E63006546,Polegate,27.4,14.4,4.8
E63006549,Worthing,22.6,11.3,3.6
E63006550,Stone Cross,16.1,7.4,1.7
E63006559,Holbury,25.5,11.4,2.8
E63006564,Wick (Arun),15.9,6.8,1.7
E63006566,Ashley Heath,42.5,20.7,5.9
E63006568,Rustington,37.4,20,6.2
E63006570,Lower Willingdon,35.1,18.5,5.3
E63006572,Yapton,21.8,9.1,2.4
E63006574,Portsmouth,15.7,7.3,2.2
E63006577,West Moors,38.2,20.7,6.5
E63006581,Lee-on-the-Solent,31.1,15.5,4.4
E63006586,Littlehampton,24.2,11.6,3.4
E63006598,Blackfield and Langley,27.3,12.4,3.5
E63006602,Eastbourne,24.2,12.3,4
E63006603,Peacehaven,24.4,12.1,3.3
E63006607,Newhaven,19.7,9,2.4
E63006611,Wimborne Minster,27.9,14.2,4.3
E63006612,Ferndown,40.3,22.6,8.2
E63006613,Gosport,20.4,9.5,2.8
E63006615,Honiton,29.2,15.7,4.8
E63006618,Bognor Regis,27.7,14.1,4.3
E63006619,Crediton,24.2,11.9,3.7
E63006624,South Hayling,37.1,19.4,5.7
E63006626,Seaford,35,17.9,5.8
E63006638,Axminster,26.7,13.7,3.9
E63006650,Merley,29.5,14.8,3.9
E63006662,East Wittering,33.5,18.1,5.4
E63006669,Corfe Mullen,24.2,11,2.9
E63006671,Lymington,32.1,17,6
E63006672,Ashley (New Forest),30,14.8,3.9
E63006673,Ottery St Mary,24.4,11.8,3.5
E63006674,Okehampton,22.8,11.7,3.4
E63006678,New Milton,32.5,18,6
E63006679,East Cowes,23.8,10.3,2.2
E63006681,Cowes,25.3,12.3,3.4
E63006696,"Christchurch (Bournemouth, Christchurch and Poole)",31.7,16.9,5.5
E63006697,Barton on Sea,50.8,27.6,9.1
E63006699,Bournemouth,18,8.8,2.9
E63006700,Selsey,37.1,18.8,5.6
E63006709,Upton (Dorset),23.2,11,3.1
E63006712,Bridport,34.8,16.7,5.1
E63006718,Exeter,15.9,7.7,2.3
E63006720,Poole,22.7,11.3,3.5
E63006721,Ryde,24.3,11,3
E63006732,Seaton (East Devon),44,24.6,8.5
E63006736,Dorchester (Dorset),27.8,14.9,5
E63006744,Newport (Isle of Wight),20.1,9.5,2.6
E63006750,Sidmouth,43.2,24.4,8.8
E63006753,Wool,17.5,8.8,2.8
E63006755,Wareham,31.6,16,4.7
E63006762,Freshwater and Totland,39.9,19.9,5.9
E63006785,Launceston,21.5,10.9,3.5
E63006791,Sandown,29.7,14.8,4.2
E63006799,Budleigh Salterton,45.5,24.8,8.1
E63006801,Exmouth,28.8,14.5,4.6
E63006804,Weymouth,27.2,12.9,3.9
E63006806,Shanklin,33.2,15.1,4.3
E63006818,Swanage,34.9,17.8,5.7
E63006824,Bovey Tracey,34.7,19.6,6.3
E63006825,Ventnor,33.7,15.2,4.7
E63006826,Dawlish,30.3,14.4,3.9
E63006842,Teignmouth,30.1,14.3,4.4
E63006844,Tavistock,30.1,15.1,4.5
E63006849,Kingsteignton,22.4,10.9,3.2
E63006852,Wadebridge,29.8,15.7,4.9
E63006857,Weston (Dorset),24.5,10.1,2.4
E63006861,Newton Abbot,20.9,9.7,2.8
E63006889,Bodmin,19.7,9.3,2.5
E63006890,Torquay,24.4,11.8,3.6
E63006895,Liskeard,22.6,10.8,3.5
E63006905,Newquay,20.1,9.2,2.7
E63006907,Totnes,26.8,12.6,3.7
E63006916,Paignton,26.4,12.7,3.7
E63006918,Saltash,26.4,12.1,3.1
E63006926,Plymouth,18.6,8.7,2.5
E63006932,Ivybridge,21.1,9.5,2.4
E63006936,Brixham,33.8,16.4,4.4
E63006937,Torpoint,24.8,11.3,3.2
E63006948,St Blazey,21.6,9.9,2.8
E63006950,Looe,33.8,16.1,6.2
E63006956,St Austell,22.7,10.8,3.1
E63006970,Dartmouth,32.5,15.4,4.6
E63006998,Truro,22.5,11.7,3.6
E63007004,Kingsbridge,29.6,15.5,5.7
E63007009,Pool and Illogan,21.8,10.1,2.4
E63007015,Redruth,20.1,9.7,2.7
E63007021,St Ives (Cornwall),27.7,12.2,3.1
E63007022,Camborne,21.2,10,2.9
E63007038,Hayle,24.6,11.6,3.1
E63007051,Penryn,15.1,7,1.9
E63007057,Falmouth,21.2,9.9,3
E63007065,Penzance,26.6,12.8,3.7
E63007077,Helston,20.8,10.2,2.9
