LSOA11CD,IMD2019OverallScore,IMD2019IncomeScore,IMD2019EmploymentScore,IMD2019EducationScore,IMD2019HealthScore,IMD2019CrimeScore,IMD2019HousingServicesBarriersScore,IMD2019LivingEnvironmentScore,IMD2019IDACIScore,IMD2019IDAOPIScore,IMD2019ChildrenScore,IMD2019AdultScore,IMD2019GeographicalBarriersScore,IMD2019WiderBarriersScore,IMD2019IndoorsScore,IMD2019OutdoorsScore
E01000001,6.208,0.007,0.01,0.024,-1.654,-2.012,29.472,31.873,0.006,0.012,-2.107,0.032,-0.43,3.587,0.006,1.503
E01000002,5.143,0.034,0.027,0.063,-1.115,-2.343,24.412,23.084,0.037,0.03,-1.907,0.034,-1.06,3.231,-0.41,1.196
E01000003,19.402,0.086,0.086,5.804,-0.102,-1.032,40.103,40.535,0.052,0.128,-0.292,0.142,-0.691,5.173,-0.054,2.207
E01000005,28.652,0.211,0.136,22.26,-0.121,-1.317,39.9,28.979,0.209,0.322,0.338,0.321,-1.167,5.361,-0.604,1.769
E01000006,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,0.155,0.162,-0.366,0.325,-0.4,5.59,0.11,0.969
E01000007,31.576,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,0.253,0.371,-0.133,0.251,-0.951,6.897,-0.28,1.324
E01000008,37.596,0.265,0.151,25.506,0.25,0.353,45.413,30.233,0.298,0.468,0.129,0.384,-0.498,5.736,-0.587,1.84
E01000009,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,0.194,0.383,0.101,0.277,-1.424,6.643,-0.107,1.37
E01000010,32.437,0.169,0.073,11.762,-0.002,1.214,50.58,47.932,0.22,0.519,0.022,0.228,-1.162,7.211,0.931,1.271
E01000011,30.679,0.167,0.081,22.519,-0.137,0.526,52.948,39.857,0.189,0.362,0.273,0.334,-0.337,6.689,0.652,1.195
E01000012,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,0.299,0.331,0.378,0.283,-0.12,6.974,0.433,1.331
E01000013,38.997,0.213,0.145,24.003,0.67,1.199,45.252,30.424,0.243,0.265,-0.257,0.41,-0.733,5.916,0.345,0.931
E01000014,35.67,0.201,0.135,31.501,0.35,0.825,46.135,25.122,0.203,0.28,0.142,0.438,-0.465,5.82,-0.041,1.004
E01000015,33.632,0.216,0.123,26.013,0.025,0.372,50.4,25.696,0.25,0.31,0.11,0.391,-0.591,6.581,0.196,0.715
E01000016,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95,0.251,0.267,-0.18,0.448,-0.7,5.68,0.103,0.799
E01000017,39.004,0.25,0.169,22.899,0.694,0.317,45.929,27.688,0.318,0.293,-0.3,0.403,-0.761,6.045,0.28,0.773
E01000018,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,0.284,0.236,-0.126,0.419,-0.946,5.803,0.149,0.797
E01000019,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826,0.196,0.289,-0.049,0.41,-1.027,5.506,0.102,0.973
E01000020,36.035,0.216,0.131,24.184,0.76,0.651,43.518,30.078,0.231,0.338,-0.046,0.391,-0.91,5.783,0.343,0.899
E01000021,38.888,0.23,0.136,31.637,0.418,0.559,45.544,44.214,0.291,0.352,0.451,0.401,-1.36,6.238,0.895,1.042
E01000022,34.413,0.195,0.139,27.111,0.427,0.506,44.277,30.435,0.248,0.231,0.122,0.401,-0.623,5.695,0.397,0.84
E01000023,36.877,0.228,0.108,22.994,0.033,1.286,45.846,39.968,0.322,0.321,0.246,0.343,-0.788,6.047,0.832,0.809
E01000024,29.339,0.155,0.1,29.298,0.263,0.244,45.704,29.869,0.156,0.269,0.329,0.395,-0.575,5.852,0.37,0.836
E01000025,36.702,0.219,0.138,25.691,0.395,0.837,47.029,28.042,0.278,0.286,-0.258,0.424,-0.448,5.916,0.227,0.894
E01000027,37.347,0.216,0.146,38.122,0.148,1.042,44.976,20.329,0.276,0.231,0.592,0.44,-0.478,5.66,-0.08,0.597
E01000028,40.078,0.26,0.155,27.699,1.138,-0.111,48.625,16.282,0.269,0.431,0.165,0.401,-0.427,6.135,-0.402,0.551
E01000029,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974,0.126,0.145,-0.189,0.337,0.44,4.609,-0.021,0.684
E01000030,38.415,0.264,0.162,38.753,0.016,0.499,44.592,20.993,0.344,0.253,0.698,0.429,-1.396,6.084,-0.05,0.624
E01000031,22.672,0.126,0.075,12.953,0.046,0.919,34.14,27.703,0.168,0.197,-0.446,0.311,-1.156,4.694,0.137,1
E01000032,29.958,0.146,0.106,23.035,0.095,0.913,39.922,38.369,0.169,0.191,-0.176,0.393,-0.649,5.126,0.789,0.763
E01000033,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763,0.345,0.252,0.08,0.449,0.569,5.286,-0.02,0.661
E01000034,35.895,0.216,0.147,33.858,0.661,0.302,45.083,18.01,0.249,0.313,0.39,0.429,0.098,4.909,-0.235,0.553
E01000035,26.175,0.15,0.092,25.536,0.397,0.242,39.025,23.071,0.221,0.189,0.239,0.371,-0.574,4.963,0.055,0.68
E01000036,19.27,0.112,0.073,15.969,-0.185,0.386,31.724,27.612,0.169,0.116,-0.78,0.364,-1.142,4.387,0.359,0.626
E01000037,17.988,0.096,0.101,20.288,-0.504,-0.067,29.715,19.057,0.128,0.107,-0.025,0.35,-0.341,3.504,-0.195,0.62
E01000038,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,0.204,0.164,-0.46,0.374,-1.163,3.881,0.051,1.051
E01000039,22.288,0.127,0.074,19.753,0.173,0.092,42.779,17.527,0.165,0.196,-0.022,0.344,0.477,3.899,-0.277,0.547
E01000040,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,0.262,0.317,0.382,0.408,-1.724,6.313,0.038,1.27
E01000041,33.173,0.172,0.105,33.867,0.349,0.432,48.606,33.127,0.198,0.225,0.142,0.458,-0.112,5.698,0.5,0.897
E01000042,41.573,0.263,0.164,31.45,0.526,0.263,57.015,24.75,0.286,0.365,0.335,0.414,0.213,6.32,-0.097,1.039
E01000043,28.075,0.147,0.085,28.946,0.044,0.574,42.921,33.853,0.165,0.247,0.071,0.423,-1.015,5.735,0.101,1.548
E01000044,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13,0.171,0.178,0.18,0.344,-1.632,5.838,0.762,1.326
E01000045,35.688,0.188,0.125,24.013,0.279,1.214,44.514,35.245,0.217,0.267,0.053,0.378,-1.148,6.012,0.165,1.577
E01000046,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,0.208,0.249,-0.104,0.434,-0.439,5.667,0.405,0.81
E01000048,44.704,0.341,0.182,26.49,0.495,0.246,49.012,20.578,0.389,0.517,0.03,0.405,-0.203,5.895,-0.587,1.107
E01000049,41.172,0.29,0.143,27.852,0.409,0.376,55.298,26.588,0.335,0.393,0.089,0.411,-0.05,6.587,-0.678,1.633
E01000050,34.701,0.176,0.114,22.642,0.61,0.74,48.003,36.588,0.152,0.325,0.138,0.354,-0.747,6.349,0.341,1.44
E01000051,36.941,0.234,0.13,28.197,0.391,0.859,45.996,27.521,0.322,0.309,0.048,0.418,-0.538,5.86,-0.108,1.283
E01000052,33.284,0.188,0.111,27.403,-0.153,0.335,51.774,38.532,0.212,0.294,0.433,0.362,-0.105,6.145,0.272,1.677
E01000053,40.044,0.229,0.126,27.703,0.701,1.217,49.479,26.503,0.279,0.331,0.221,0.394,-0.382,6.228,-0.032,1.114
E01000054,29.788,0.18,0.096,26.697,0.198,0.514,42.507,31.481,0.244,0.222,-0.079,0.418,-0.95,5.655,0.418,0.899
E01000055,30.898,0.211,0.114,27.143,0.126,0.047,43.185,29.369,0.295,0.277,0.102,0.403,-0.94,5.74,0.186,1.069
E01000056,35.903,0.197,0.144,25.304,0.455,0.485,51.736,23.506,0.225,0.245,-0.32,0.426,-0.044,6.043,-0.084,0.912
E01000057,32.887,0.196,0.118,31.462,0.097,0.644,43.725,30.046,0.254,0.212,0.61,0.375,-1.757,5.983,0.076,1.281
E01000058,31.763,0.199,0.117,25.845,0.147,0.358,46.251,27.809,0.25,0.32,0.117,0.388,-0.597,5.954,0.194,0.919
E01000059,32.331,0.176,0.129,28.14,0.136,0.414,45.241,32.699,0.194,0.256,0.113,0.411,-0.655,5.86,0.557,0.741
E01000060,36.154,0.202,0.129,25.54,0.282,1.109,48.53,24.729,0.244,0.265,0.047,0.394,-0.3,5.959,-0.393,1.316
E01000061,46.283,0.303,0.186,39.776,1.013,0.145,49.627,15.967,0.359,0.47,0.267,0.49,0.008,5.64,-0.551,0.651
E01000062,26.669,0.143,0.088,30.73,-0.143,0.558,45.088,20.153,0.181,0.208,0.444,0.393,-0.381,5.563,-0.236,0.776
E01000063,33.371,0.181,0.124,37.624,0.286,0.342,41.886,35.452,0.217,0.2,0.661,0.424,-1.005,5.579,0.525,1.056
E01000064,35.283,0.208,0.13,24.438,0.39,0.212,50.054,34.175,0.257,0.236,-0.184,0.407,-0.014,5.738,0.577,0.845
E01000065,39.89,0.228,0.173,26.185,0.817,0.324,47.453,29.31,0.245,0.311,0.076,0.397,-1.241,6.489,0.188,1.061
E01000066,25.763,0.147,0.097,18.294,0.054,-0.273,50.656,17.916,0.143,0.263,-0.527,0.374,0.145,5.535,-0.359,0.682
E01000067,20.973,0.132,0.066,15.99,-0.388,0.381,42.456,21.711,0.162,0.242,-0.715,0.361,-0.579,5.391,-0.487,1.136
E01000068,25.603,0.123,0.075,16.187,0.167,0.946,41.502,31.382,0.128,0.261,-0.472,0.348,-0.316,5.026,0.181,1.248
E01000069,16.375,0.087,0.07,16.481,-0.626,0.032,31.781,28.36,0.089,0.182,-0.699,0.366,-1.295,4.444,0.193,0.974
E01000070,21.038,0.11,0.077,14.434,-0.442,0.84,35.596,27.639,0.121,0.178,-0.699,0.344,-1.096,4.835,-0.082,1.271
E01000071,18.848,0.13,0.058,14.114,-0.261,-0.155,40.981,22.064,0.158,0.247,-0.558,0.332,-0.873,5.389,-0.173,0.886
E01000072,41.016,0.241,0.138,34.242,0.478,1.197,46.957,30.082,0.29,0.308,0.315,0.442,-1.006,6.336,0.114,1.235
E01000073,38.757,0.209,0.135,35.14,0.57,1.346,43.442,23.636,0.237,0.325,0.367,0.444,-0.946,5.788,0.074,0.71
E01000074,35.044,0.234,0.128,32.398,0.461,0.005,47.408,22.806,0.287,0.277,0.418,0.412,-0.53,6.065,-0.074,0.837
E01000075,36.999,0.196,0.118,36.347,0.136,1.057,44.869,39.815,0.279,0.225,0.472,0.44,-0.45,5.597,0.549,1.375
E01000076,36.246,0.208,0.148,36.193,0.097,0.287,49.87,27.02,0.211,0.269,0.181,0.472,-0.193,6.01,0.169,0.892
E01000077,41.032,0.251,0.159,33.494,0.725,0.487,44.143,35.02,0.294,0.318,0.058,0.463,-1.411,6.019,0.487,1.091
E01000078,35.033,0.228,0.128,33.668,0.035,0.467,44.311,33.091,0.322,0.238,0.359,0.431,-1.582,6.066,0.399,1.073
E01000079,34.522,0.227,0.141,24.526,0.045,0.253,48.007,29.325,0.252,0.332,-0.246,0.413,-0.354,5.952,0.275,0.94
E01000080,33.185,0.19,0.146,26.379,0.445,0.145,45.385,24.492,0.221,0.247,-0.177,0.424,-0.713,5.922,-0.068,0.984
E01000081,30.608,0.162,0.116,30.952,0.225,0.192,43.718,32.758,0.207,0.217,0.104,0.437,-0.787,5.731,0.419,1.009
E01000082,27.895,0.158,0.113,31.053,-0.111,-0.221,43.176,30.006,0.171,0.224,0.174,0.43,-1.197,5.841,0.248,1.037
E01000083,34.377,0.196,0.134,27.072,0.361,0.434,44.245,35.395,0.249,0.237,0.064,0.407,-0.899,5.871,0.49,1.118
E01000084,39.815,0.229,0.141,36.839,0.338,1.309,43.432,28.534,0.266,0.269,0.545,0.435,-1.011,5.82,0.127,1.086
E01000085,35.154,0.189,0.124,36.259,-0.227,1.036,46.139,32.465,0.197,0.305,0.347,0.455,-1.424,6.327,0.311,1.156
E01000086,38.156,0.218,0.142,28.503,0.89,0.868,42.757,26.281,0.236,0.391,0.144,0.411,-0.868,5.644,0.192,0.78
E01000087,34.357,0.226,0.131,27.171,0.046,0.135,48.565,31.357,0.263,0.274,-0.19,0.432,-0.209,5.846,0.372,0.968
E01000088,28.849,0.147,0.1,20.313,0.264,0.552,44.005,34.525,0.177,0.181,-0.311,0.378,-0.913,5.848,0.353,1.268
E01000089,28.968,0.156,0.092,25.246,-0.154,0.189,47.254,40.955,0.216,0.187,-0.1,0.407,-0.138,5.547,0.746,1.104
E01000090,28.317,0.169,0.091,22.024,-0.187,0.7,45.475,29.464,0.25,0.161,-0.161,0.382,-0.458,5.7,0.19,1.071
E01000091,42.183,0.256,0.175,32.562,0.324,0.994,48.266,23.563,0.27,0.305,0.119,0.45,-0.918,6.49,-0.327,1.17
E01000092,33.768,0.215,0.106,18.788,-0.008,0.657,61.059,29.993,0.263,0.375,-0.083,0.341,0.611,5.95,0.36,0.862
E01000093,46.922,0.26,0.169,27.955,0.842,1.073,49.657,43.57,0.32,0.33,0.263,0.391,-1.069,6.797,0.601,1.582
E01000094,28.182,0.167,0.094,10.866,-0.036,0.524,64.961,20.692,0.191,0.3,-0.239,0.26,0.685,6.369,-0.09,0.648
E01000095,32.254,0.196,0.095,22.314,-0.111,0.944,63.151,18.657,0.262,0.278,0.161,0.348,0.802,5.773,-0.518,0.888
E01000096,40.926,0.259,0.135,34.307,0.008,1.284,48.317,29.982,0.345,0.245,0.444,0.426,-0.618,6.289,-0.184,1.553
E01000097,38.009,0.223,0.131,32.926,0.808,0.468,47.096,28.566,0.232,0.351,0.264,0.436,-0.66,6.141,0.132,1.08
E01000098,39.405,0.239,0.159,31.389,0.443,0.911,43.482,28.673,0.26,0.319,0.091,0.443,-1.328,5.903,0.123,1.104
E01000099,29.266,0.174,0.105,25.037,0.214,0.008,47.111,26.795,0.2,0.301,-0.218,0.416,-0.53,6.016,0.268,0.705
E01000100,31.83,0.16,0.117,29.622,0.106,0.634,42.938,38.207,0.167,0.236,0.146,0.421,-1.169,5.801,0.634,1.09
E01000101,40.463,0.254,0.154,28.988,0.464,0.832,43.29,37.223,0.294,0.327,-0.002,0.431,-1.048,5.811,0.313,1.53
E01000102,42.631,0.275,0.175,23.976,0.684,0.762,44.376,33.8,0.322,0.356,-0.181,0.403,-0.759,5.821,0.416,1.105
E01000103,32.894,0.18,0.113,26.208,0.427,0.58,50.872,20.068,0.236,0.275,-0.211,0.425,-0.206,6.178,-0.119,0.622
E01000104,34.672,0.222,0.134,31.664,0.276,0.131,50.107,18.066,0.275,0.291,0.244,0.428,-0.505,6.45,-0.309,0.646
E01000105,44.149,0.246,0.165,36.132,0.932,1.039,47.24,25.589,0.273,0.386,0.488,0.436,-1.693,6.527,-0.064,1.071
E01000106,43.523,0.275,0.167,27.219,0.636,0.786,51.428,26.265,0.316,0.343,0.309,0.377,-0.519,6.68,0.248,0.688
E01000107,28.332,0.151,0.095,29.324,0.579,-0.027,44.429,22.813,0.221,0.159,0.252,0.405,0.075,4.875,0.042,0.673
E01000108,28.166,0.171,0.104,20.596,0.158,0.183,41.045,35.136,0.275,0.14,-0.249,0.376,-1.437,5.574,0.673,0.723
E01000109,25.691,0.12,0.084,22.485,-0.199,0.891,39.755,34.149,0.15,0.146,-0.199,0.39,-0.58,5.047,0.469,1.049
E01000110,17.741,0.112,0.078,12.848,-0.002,-0.312,32.872,20.544,0.149,0.124,-0.707,0.328,-0.49,4.15,-0.133,0.689
E01000111,28.903,0.174,0.111,20.878,0.187,0.313,44.339,26.789,0.196,0.26,-0.166,0.372,-0.499,5.58,0.206,0.807
E01000112,24.743,0.129,0.065,18.969,-0.324,0.602,43.159,40.766,0.168,0.24,0.005,0.332,-0.993,5.773,0.815,0.93
E01000113,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945,0.213,0.187,-0.041,0.315,-0.438,5.23,0.087,1.001
E01000114,23.288,0.119,0.074,19.124,-0.117,0.423,40.755,34.274,0.167,0.144,-0.406,0.374,-0.98,5.421,0.535,0.941
E01000115,6.227,0.055,0.046,3.734,-1.526,-0.545,17.004,18.838,0.073,0.058,-1.576,0.229,-0.658,1.386,-0.444,0.849
E01000116,7.79,0.074,0.049,3.87,-1.412,-0.43,19.173,18.248,0.063,0.142,-0.957,0.208,-0.514,1.662,-0.107,0.403
E01000117,9.642,0.071,0.062,6.077,-1.141,-0.168,21.506,17.66,0.051,0.09,-0.534,0.213,-0.484,2.106,-0.161,0.417
E01000118,9.812,0.077,0.059,8.59,-1.679,-0.206,22.339,16.261,0.094,0.099,-0.43,0.247,-0.425,2.189,-0.306,0.443
E01000119,11.589,0.078,0.054,3.312,-1.884,0.627,23.519,21.949,0.066,0.135,-1.424,0.217,-0.177,1.974,-0.158,0.86
E01000120,5.902,0.061,0.036,4.436,-1.58,-0.568,18.977,14.872,0.048,0.099,-1.301,0.235,-0.571,1.697,-0.584,0.561
E01000121,36.203,0.262,0.194,22.583,0.261,0.336,37.522,13.339,0.294,0.293,0.176,0.348,-0.02,4.176,-0.853,0.571
E01000122,10.152,0.071,0.055,2.257,-1.246,-0.622,30.659,21.817,0.053,0.138,-1.793,0.2,0.315,2.117,0.057,0.543
E01000123,11.048,0.075,0.049,8.519,-1.062,-0.684,34.632,15.659,0.114,0.116,-0.577,0.262,0.381,2.725,-0.298,0.372
E01000124,23.589,0.166,0.128,14.674,-0.593,0.491,30.587,20.768,0.191,0.278,0.17,0.248,-1.194,4.25,-0.365,0.96
E01000125,26.704,0.179,0.088,23.785,-0.615,0.586,45.911,20.582,0.21,0.327,0.149,0.364,-0.412,5.717,-0.538,1.071
E01000126,33.625,0.243,0.152,13.21,-0.077,-0.164,51.181,24.433,0.27,0.467,-0.279,0.298,0.165,5.553,0.15,0.672
E01000127,27.543,0.193,0.129,21.348,-0.495,0.424,37.588,22.92,0.224,0.327,-0.069,0.366,-1.365,5.104,-0.086,0.862
E01000128,27.055,0.171,0.103,22.529,-0.346,0.957,34.708,27.146,0.236,0.209,-0.188,0.389,-0.675,4.558,0.033,1.087
E01000129,31,0.214,0.11,23.973,-0.148,1.004,38.657,25.543,0.176,0.549,-0.151,0.4,-1.385,5.236,-0.263,1.277
E01000130,30.863,0.185,0.118,19.118,-0.331,0.839,43.475,35.288,0.203,0.262,-0.138,0.35,-0.245,5.184,0.665,0.757
E01000131,20.904,0.116,0.067,10.9,-0.802,1.133,39.033,20.979,0.11,0.185,-0.764,0.308,-0.107,4.522,-0.583,1.139
E01000132,25.53,0.187,0.106,22.698,-0.464,0.309,35.397,25.837,0.232,0.329,0.087,0.361,-1.56,4.885,-0.015,1.039
E01000133,30.774,0.188,0.159,24.516,-0.059,0.065,40.079,26.72,0.153,0.31,-0.047,0.395,-0.509,5.03,-0.005,1.101
E01000134,24.669,0.184,0.093,20.26,-0.579,-0.195,42.152,27.225,0.212,0.412,0.181,0.322,-0.817,5.537,0.289,0.71
E01000135,12.523,0.076,0.048,4.357,-1.087,0.385,25.516,33.536,0.089,0.089,-0.579,0.171,-0.465,2.907,0.226,1.363
E01000136,8.96,0.037,0.02,0.946,-1.93,0.188,27.615,36.198,0.023,0.076,-1.272,0.109,0.048,2.272,0.574,1.033
E01000137,28.786,0.235,0.145,8.14,0.077,0.348,33.329,22.835,0.301,0.301,-0.476,0.245,-0.299,4.02,-0.312,1.096
E01000138,27.86,0.178,0.127,8.449,-0.547,1.066,35.73,31.895,0.217,0.199,-0.775,0.276,-0.283,4.318,0.277,1.157
E01000139,12.388,0.082,0.041,4.481,-1.326,0.61,25.608,29.28,0.11,0.136,-0.573,0.175,-0.682,3.186,0.105,1.181
E01000140,16.817,0.118,0.078,9.457,-0.914,-0.026,30.188,30.341,0.175,0.152,0.001,0.177,-1.003,4.13,0.378,0.865
E01000141,28.797,0.149,0.083,11.28,-0.736,1.518,35.668,52.22,0.207,0.284,-0.237,0.266,-1.175,4.859,0.881,1.703
E01000142,16.669,0.126,0.077,8.856,-0.676,-0.373,30.865,28.68,0.162,0.178,-0.256,0.228,-0.679,4.05,0.257,0.904
E01000143,31.342,0.239,0.153,16.558,-0.081,0.763,33.531,19.252,0.318,0.296,-0.026,0.309,-0.296,4.039,-0.784,1.1
E01000144,18.338,0.102,0.082,8.328,-0.906,0.717,31.107,29.17,0.079,0.224,-0.022,0.132,-0.871,4.195,-0.009,1.31
E01000145,14.626,0.088,0.072,4.679,-1.5,0.196,29.116,32.598,0.066,0.085,-0.613,0.189,-0.482,3.593,0.328,1.143
E01000146,18.538,0.103,0.089,4.798,-1.542,0.638,34.561,29.849,0.098,0.172,-0.451,0.155,-1.446,4.782,0.142,1.18
E01000147,12.786,0.078,0.04,9.893,-1.99,0.336,27.447,33.415,0.057,0.171,-0.962,0.305,-0.925,3.719,0.368,1.154
E01000148,27.671,0.186,0.115,15.794,-0.042,0.009,43.166,29.844,0.192,0.346,-0.175,0.318,-1.241,5.846,0.131,1.195
E01000150,15.583,0.106,0.056,9.297,-1.385,-0.033,33.726,33.545,0.134,0.202,-0.522,0.269,-0.373,4.145,0.539,0.861
E01000151,38.897,0.332,0.191,18.815,-0.203,0.085,40.945,19.735,0.393,0.363,0.044,0.325,-0.234,4.89,-0.321,0.826
E01000152,32.418,0.265,0.144,25.229,-0.552,0.049,44.269,16.001,0.303,0.429,0.329,0.354,-0.377,5.45,-0.611,0.702
E01000153,41.649,0.276,0.173,36.066,-0.047,0.872,49.389,18.106,0.324,0.383,0.621,0.417,0.28,5.099,-0.399,0.738
E01000154,32.667,0.201,0.141,22.212,0.007,0.827,43.4,22.744,0.161,0.337,0.203,0.34,-0.399,5.347,-0.05,0.802
E01000155,20.797,0.135,0.062,12.175,-1.303,-0.128,39.038,47.35,0.192,0.295,-0.11,0.261,-0.694,5.037,1.213,0.412
E01000156,8.319,0.075,0.04,1.668,-0.991,-0.158,22.228,19.997,0.087,0.189,-1.238,0.16,-1.052,2.812,-0.435,0.951
E01000157,12.655,0.089,0.054,10.386,-1.084,-0.281,24.93,32.014,0.124,0.177,0.029,0.195,-0.928,3.258,0.359,1.043
E01000158,19.721,0.13,0.087,10.783,-0.598,0.561,28.16,31.142,0.153,0.185,-0.297,0.266,-0.604,3.572,0.434,0.839
E01000159,16.257,0.112,0.077,4.883,-1.287,0.561,32.939,17.393,0.16,0.123,-0.919,0.227,0.207,2.914,-0.525,0.775
E01000160,12.121,0.07,0.047,7.531,-1.028,0.463,26.935,26.093,0.078,0.151,-0.171,0.174,-0.208,2.759,0.023,1.01
E01000161,14.513,0.109,0.055,3.782,-0.524,0.612,27.508,20.014,0.146,0.201,-1.067,0.213,-0.583,3.43,-0.519,1.01
E01000162,18.504,0.117,0.098,9.943,-0.479,0.481,24.285,27.187,0.111,0.181,-0.621,0.286,-0.992,3.173,-0.008,1.147
E01000163,28.541,0.2,0.145,13.328,0.036,0.26,38.055,21.987,0.22,0.349,-0.132,0.281,0.087,4.063,-0.242,0.956
E01000164,25.331,0.172,0.107,11.909,-0.666,0.841,36.044,28.698,0.17,0.311,-0.279,0.281,-0.122,4.138,-0.375,1.612
E01000165,13.258,0.099,0.05,5.196,-1.29,0.198,35.632,16.048,0.123,0.202,-0.569,0.196,0.268,3.25,-1.255,0.977
E01000166,14.861,0.105,0.082,7.16,-0.922,0.276,28.957,13.626,0.093,0.162,-0.535,0.234,0.149,2.262,-0.536,0.384
E01000167,28.35,0.199,0.125,22.649,0.166,0.516,33.883,18.27,0.288,0.26,0.02,0.369,0.106,3.356,-0.244,0.593
E01000168,6.975,0.05,0.035,3.41,-1.486,-0.095,21.872,21.5,0.047,0.102,-1.093,0.206,0.055,1.014,0.124,0.397
E01000169,13.226,0.086,0.063,4.871,-1.209,0.466,25.427,25.647,0.1,0.105,-1.105,0.236,-0.293,2.614,0.272,0.576
E01000170,20.384,0.147,0.114,10.294,-0.625,0.536,22.502,25.376,0.164,0.216,-0.586,0.288,-1.01,2.842,0.219,0.645
E01000171,24.261,0.196,0.105,12.3,-0.164,0.288,26.487,33.967,0.276,0.236,-0.022,0.247,-0.992,3.578,0.642,0.68
E01000172,8.421,0.075,0.039,2.666,-1.613,-0.743,24.854,25.96,0.087,0.094,-1.144,0.189,0.176,1.296,0.31,0.54
E01000173,9.709,0.081,0.05,5.844,-1.13,-0.085,19.649,23.152,0.093,0.128,-1.226,0.257,-0.507,1.748,0.059,0.685
E01000174,16.271,0.128,0.069,8.05,-0.672,-0.248,30.198,29.971,0.132,0.226,-0.622,0.259,-0.599,3.896,0.496,0.598
E01000175,7.614,0.052,0.047,2.159,-1.45,0.185,22.205,15.768,0.042,0.079,-1.368,0.186,-0.146,1.622,-0.442,0.532
E01000176,30.549,0.233,0.136,19.609,-0.459,0.377,44.215,17.867,0.293,0.33,0.34,0.288,0.006,4.944,-1.154,1.111
E01000177,8.263,0.055,0.026,4.627,-1.826,0.031,22.96,29.925,0.075,0.086,-0.404,0.115,-0.471,2.39,0.215,1.073
E01000178,8.055,0.058,0.045,1.098,-1.31,-0.15,22.904,23.749,0.052,0.125,-1.313,0.132,-0.712,2.704,0.004,0.824
E01000179,8.467,0.064,0.036,2.024,-0.712,-0.087,24.92,19.606,0.089,0.133,-0.825,0.087,-0.317,2.539,-0.513,0.974
E01000180,14.555,0.13,0.073,4.839,-1.044,-0.257,29.565,19.421,0.103,0.296,-0.546,0.182,-0.123,3.081,-0.735,1.09
E01000181,8.204,0.058,0.039,0.31,-1.634,0.07,20.819,29.674,0.064,0.116,-1.892,0.101,-1.392,2.66,0.059,1.272
E01000182,8.01,0.04,0.032,0.42,-1.738,-0.177,22.913,37.424,0.033,0.094,-1.599,0.095,-0.989,2.916,0.484,1.298
E01000183,10.613,0.085,0.047,1.885,-0.676,-0.504,30.174,20.769,0.066,0.156,-0.918,0.114,0.242,2.238,-0.168,0.759
E01000184,31.921,0.212,0.141,17.632,-0.186,0.303,43.284,35.661,0.258,0.294,-0.026,0.321,0.37,4.206,0.303,1.417
E01000185,25.824,0.239,0.128,12.502,-0.208,-0.438,32.704,19.475,0.298,0.428,-0.246,0.285,-0.525,4.163,-0.775,1.115
E01000186,5.195,0.044,0.035,3.442,-1.988,-0.699,19.417,18.927,0.03,0.08,-0.827,0.183,-0.299,1.335,-0.584,0.963
E01000187,13.015,0.118,0.063,7.661,-0.599,-0.561,27.997,14.508,0.099,0.256,-0.504,0.24,-0.746,3.689,-0.524,0.468
E01000188,8.028,0.032,0.036,2.684,-2.011,0.509,21.076,27.374,0.035,0.043,-0.936,0.17,-0.189,1.479,-0.286,1.433
E01000189,24.526,0.149,0.091,25.611,-0.871,-0.444,38.504,43.589,0.172,0.249,0.047,0.395,-1.068,5.154,0.949,0.847
E01000190,10.149,0.091,0.056,5.319,-1.301,-0.437,25.601,16.24,0.099,0.109,-0.646,0.211,0.05,1.837,-0.322,0.462
E01000191,6.834,0.055,0.048,1.76,-1.605,-0.547,22.059,18.833,0.041,0.085,-1.224,0.163,-0.129,1.549,-0.548,0.931
E01000192,15.472,0.105,0.066,6.778,-1.035,0.535,27.087,28.127,0.125,0.101,-0.35,0.198,-1.716,3.844,0.296,0.789
E01000193,16.117,0.09,0.071,7.965,-1.393,0.546,28.912,33.122,0.083,0.127,-0.344,0.224,-0.472,3.548,0.571,0.759
E01000194,19.392,0.114,0.078,5.706,-1.007,0.884,33.467,29.783,0.133,0.138,-0.942,0.243,-0.533,4.283,0.267,0.987
E01000195,26.999,0.177,0.109,23.459,-0.58,0.143,47.051,19.966,0.209,0.284,0.154,0.361,-0.108,5.46,-0.255,0.778
E01000196,12.284,0.093,0.068,5.839,-1.183,-0.675,29.058,22.92,0.079,0.16,-0.377,0.175,-1.64,4.107,-0.079,0.854
