LSOA11CD,IMD2019OverallScore,IMD2019IncomeScore,IMD2019EmploymentScore,IMD2019EducationScore,IMD2019HealthScore,IMD2019CrimeScore,IMD2019HousingServicesBarriersScore,IMD2019LivingEnvironmentScore,IMD2019IDACIScore,IMD2019IDAOPIScore,IMD2019ChildrenScore,IMD2019AdultScore,IMD2019GeographicalBarriersScore,IMD2019WiderBarriersScore,IMD2019IndoorsScore,IMD2019OutdoorsScore
E01005341,27.055,0.13,0.098,28.649,0.479,0.86,12.133,47.73,0.187,0.152,0.414,0.377,0.197,-3.143,1.188,0.551
E01005342,49.776,0.261,0.249,51.37,1.355,1.241,12.468,26.988,0.284,0.259,0.607,0.532,-0.622,0.276,0.37,0.537
E01005343,39.165,0.218,0.165,39.789,0.934,1.5,8.201,33.81,0.284,0.184,0.545,0.46,-0.572,-1.014,0.752,0.385
E01005344,44.628,0.248,0.191,47.871,0.83,1.428,8.894,45.883,0.267,0.273,0.971,0.462,-0.775,-0.477,1.194,0.321
E01005345,16.53,0.08,0.084,22.961,0.191,-0.048,8.315,29.655,0.091,0.092,0.176,0.353,-0.177,-2.395,0.463,0.636
E01005346,23.368,0.107,0.093,23.57,0.452,1.001,7.352,35.626,0.147,0.151,0.18,0.358,-0.333,-2.1,0.641,0.845
E01005347,21.506,0.1,0.099,21.251,0.297,0.84,15.884,27.753,0.135,0.089,-0.336,0.389,0.312,-1.784,0.542,0.24
E01005348,50.909,0.351,0.237,40.342,1.337,1.105,15.963,14.708,0.344,0.379,0.091,0.509,-0.879,1.377,-0.155,0.078
E01005349,46.541,0.321,0.166,58.527,0.762,0.997,19.735,37.862,0.253,0.797,0.038,0.754,-1.213,2.371,0.932,0.292
E01005350,75.624,0.532,0.428,66.229,2.449,1.493,16.585,12.376,0.519,0.571,0.67,0.638,-1.012,1.607,-0.278,-0.035
E01005351,41.961,0.304,0.174,59.971,0.315,0.699,18.661,29.515,0.243,0.489,0.171,0.67,-0.478,1.49,0.704,0.027
E01005352,54.646,0.363,0.249,58.956,0.703,1.181,20.508,28.421,0.34,0.425,0.187,0.637,-0.259,1.498,0.43,0.568
E01005353,64.361,0.398,0.288,61.486,1.47,1.682,18.816,15.945,0.355,0.533,0.307,0.654,-0.826,1.939,-0.364,0.474
E01005354,35.423,0.272,0.135,50.74,0.72,0.498,17.63,16.546,0.305,0.442,0.655,0.523,-0.064,0.351,0.104,-0.15
E01005355,26.78,0.118,0.111,29.405,0.834,0.887,7.309,34.704,0.108,0.165,0.627,0.351,-0.63,-1.199,0.839,0.217
E01005356,15.542,0.071,0.083,7.116,0.456,0.744,13.564,12.677,0.095,0.111,-0.848,0.261,0.32,-3.584,-0.168,-0.163
E01005357,10.399,0.064,0.071,6.261,0.357,-0.359,5.211,9.946,0.066,0.074,-0.786,0.242,-0.318,-4.555,-0.276,-0.398
E01005358,31.456,0.222,0.16,24.893,1.215,0.219,5.425,15.115,0.291,0.277,0.468,0.33,-0.709,-1.785,0.039,-0.218
E01005359,12.152,0.06,0.068,8.97,0.361,0.402,1.966,13.038,0.074,0.064,-0.869,0.289,-1.071,-3.181,-0.045,-0.359
