OA21CD,GreenspaceTotal,GreenspacePublic
E00000346,78.5165,78.5165
E00000347,0.1134,0.1134
E00000348,0,0
E00000349,0.0908,0.0908
E00000350,0,0
E00000351,0,0
E00000353,0,0
E00000354,0,0
E00000355,0,0
E00000356,0,0
E00000357,0,0
E00000358,0,0
E00000360,0,0
E00000361,0,0
E00000362,0,0
E00000363,0,0
E00000364,2.025,0
E00000365,9.6,0
E00000366,7.0601,0
E00000367,0,0
E00000368,76.0051,0
E00000369,0,0
E00000370,0,0
E00000371,0,0
E00000372,0,0
E00000373,47.063,0.7909
E00000374,0,0
E00000375,0,0
E00000376,0,0
E00000377,0,0
E00000378,72.6585,72.5114
E00000379,82.5621,82.5621
E00000380,0,0
E00000381,4.1651,0
E00000382,0,0
E00000383,0,0
E00000384,0.6648,0
E00000385,0.9745,0.9745
E00000386,0,0
E00000387,0,0
E00000388,0,0
E00000389,0,0
E00000390,0,0
E00000391,0,0
E00000392,0,0
E00000393,0,0
E00000394,21.8649,0
E00000395,0,0
E00000396,0,0
E00000397,0,0
E00000398,0,0
E00000399,0,0
E00000400,0,0
E00000401,2.7515,0
E00000402,0,0
E00000403,0,0
E00000404,0,0
E00000405,0,0
E00000406,0,0
E00000407,0,0
E00000408,55.5987,55.5987
E00000409,62.0916,61.0037
E00000410,0,0
E00000411,1.9685,1.9685
E00000412,0,0
E00000413,0,0
E00000414,0,0
E00000415,0,0
E00000416,0,0
E00000417,0,0
E00000418,10.2523,0
E00000419,0,0
E00000420,12.6619,0
E00000421,15.8461,15.8461
E00000422,0,0
E00000423,0,0
E00000424,0.2615,0.2615
E00000425,0,0
E00000426,0.7936,0
E00000427,0,0
E00000428,0,0
E00000429,7.8307,3.6031
E00000430,7.0401,7.0401
E00000431,1.1968,0
E00000432,0,0
E00000433,22.3116,22.3116
E00000434,0.0768,0.0768
E00000435,0,0
E00000436,0,0
E00000437,0,0
E00000438,0,0
E00000439,28.26,16.5084
E00000440,0,0
E00000441,0,0
E00000442,10.559,0
E00000443,0,0
E00000444,32.4951,32.4951
E00000445,21.7236,0
E00000446,0,0
E00000447,0,0
E00000448,2.2519,2.2519
E00000449,0,0
E00000450,32.1478,29.4655
E00000451,1.6418,0
E00000453,0.2218,0
E00000454,0,0
E00000455,0,0
E00000456,0,0
E00000457,0,0
E00000461,0,0
E00000462,0,0
E00000463,0.002,0
E00000464,4.173,0
E00000465,5.1595,0
E00000466,0,0
E00000467,0,0
E00000468,0.4613,0
E00000469,0,0
E00000470,0,0
E00000471,0,0
E00000472,0,0
E00000475,0,0
E00000476,27.5495,27.5495
E00000477,0,0
E00000478,0,0
E00000479,0,0
E00000480,0,0
E00000481,0,0
E00000482,0,0
E00000483,0,0
E00000484,0,0
E00000485,2.6447,0
E00000487,0,0
E00000488,0,0
E00000489,0.1731,0
E00000490,0,0
E00000491,0,0
E00000492,0,0
E00000493,0,0
E00000494,0,0
E00000495,0,0
E00000496,0,0
E00000497,0,0
E00000498,0,0
E00000499,0,0
E00000500,42.584,42.584
E00000501,0,0
