MSOA21CD,GreenspaceTotal,GreenspacePublic,TreeCover,OutdoorAddresses
E02000136,33.3319,26.0123,35.5497,94.5127
E02000137,11.0785,0,22.3313,65.4678
E02000138,9.7386,6.3243,25.5549,57.1919
E02000139,19.2327,5.8576,13.1751,86.2589
E02000140,2.0641,0.0011,12.7636,92.0334
E02000141,18.4249,0.5864,12.6246,87.6487
E02000142,3.1745,0,18.3547,83.8906
E02000144,5.926,2.3659,16.5412,69.4342
E02000145,13.8786,3.2021,14.1351,88.9598
E02000146,13.9514,4.5869,11.3148,85.7449
E02000147,2.6683,0,22.8864,83.1464
E02000148,15.2655,14.5518,31.6446,92.1332
E02000149,7.5107,4.3672,13.9959,91.7293
E02000150,13.1713,0.7784,19.5055,92.8239
E02000151,3.0219,0,23.8051,98.4303
E02000152,16.2259,0.0482,16.7283,86.0597
E02000153,13.3055,7.9702,16.7268,98.0399
E02000154,3.8586,0.5253,19.4852,86.1412
E02000155,11.0848,2.6683,12.6014,93.4198
E02000156,21.2265,0,21.2963,89.3402
E02000157,1.5418,1.2521,26.7832,94.1038
E02000158,11.7972,11.3778,13.8096,87.3677
E02000159,4.218,1.9208,34.3901,94.2731
E02000160,5.1834,0.0953,31.8041,89.5589
E02000161,1.6208,0,15.7597,95.5775
E02000162,6.1659,0.0441,27.038,88.3987
E02000163,9.0342,0.4377,19.8424,91.8553
E02000165,0.5675,0,24.0578,95.2194
E02000166,60.6394,54.7597,37.1883,79.877
E02000167,58.2033,57.7644,41.5814,76.5528
E02000168,0.9133,0,15.1618,85.5804
E02000169,1.7932,0,32.6928,89.6928
E02000170,14.7193,2.0752,17.1471,90.284
E02000171,1.2233,0,18.9752,78.7544
E02000172,4.6116,1.5845,16.8375,66.1128
E02000173,1.1819,0.2122,27.3554,71.8349
E02000174,5.0997,4.165,17.0654,70.1996
E02000175,5.3269,0.0083,12.5011,78.5756
E02000176,0.8061,0,23.4063,87.6379
E02000177,1.0186,0,18.6273,56.3374
E02000178,6.5276,5.8683,13.6995,83.2829
E02000179,1.4292,0.1872,22.8517,55.0016
E02000180,2.4679,2.0715,17.0621,70.355
E02000181,0.5419,0,24.7671,90.0525
E02000182,18.6275,16.2233,21.51,51.3956
E02000183,17.6019,16.0455,15.614,73.5198
E02000184,3.4599,2.5812,15.4333,43.8873
E02000185,1.6927,0,18.7864,42.9061
E02000186,29.25,28.7362,17.3402,57.732
E02000187,3.1411,1.6981,12.2192,20.8436
E02000188,4.8392,2.7212,22.4254,26.9825
E02000191,1.7992,1.4275,10.2647,41.7076
E02000192,0.0476,0,5.5125,32.5121
E02000193,7.881,7.3786,13.179,32.8036
E02000194,10.9554,3.0876,25.6146,82.7647
E02000195,7.3041,0.0398,16.7389,91.3488
E02000196,18.8805,8.993,11.8569,86.3304
E02000197,2.2595,0.3765,8.9053,85.8524
E02000198,6.4192,5.1307,10.8159,83.4503
E02000199,12.8186,12.7072,15.049,97.4765
E02000200,14.9354,0,16.134,82.0161
E02000201,7.3888,6.6674,10.6264,79.7946
E02000202,5.8155,0,7.3436,91.9313
E02000203,8.1427,1.1359,5.9482,82.9008
E02000204,21.3307,0.1361,8.8815,85.3056
E02000206,8.5604,2.2648,7.8079,88.3797
E02000207,24.4265,11.697,9.2173,86.9984
E02000208,9.9624,0,9.9385,67.7519
E02000209,8.1348,0.6807,6.4739,89.2365
E02000210,0,0,6.9254,91.6901
E02000211,5.4897,0,13.8244,90.4537
E02000212,1.6846,0,4.1206,83.3285
E02000213,1.3522,0,6.9734,70.3201
E02000214,11.2004,0.0241,10.8795,94.5137
E02000215,1.0496,0,10.3978,74.5119
E02000216,31.1832,25.8101,23.8446,65.5574
E02000217,7.6363,6.8335,8.8216,72.8045
E02000218,1.4259,1.0319,25.5827,78.8139
E02000219,36.777,5.9199,24.7411,93.7361
E02000221,26.5947,6.9929,10.8908,74.5542
E02000222,8.8395,0,19.9231,83.3111
E02000223,12.3349,0,12.3966,92
E02000224,6.4897,0,15.2568,89.9252
E02000225,12.8096,0,19.2392,94.3636
E02000226,16.1676,0,30.7981,96.6701
E02000227,23.7122,0.0258,26.0257,89.7329
E02000228,12.2393,0.3661,28.1095,90.1243
E02000229,6.6685,0,12.3155,87.1563
E02000230,2.6248,0.001,22.3945,79.8652
E02000231,1.2385,0.4103,26.3614,93.2886
E02000232,16.8372,0,40.7522,93.9099
E02000233,1.3144,0,29.9854,90.3341
E02000234,15.5209,0.5092,25.1088,83.523
E02000235,5.2627,0,33.8974,89.9312
E02000236,14.3772,12.1507,17.2608,95.3488
E02000237,6.4428,1.1526,34.0213,90.6696
E02000238,5.2131,0,16.3862,83.9625
E02000239,44.7663,0,19.2478,96.4872
E02000240,6.966,1.8508,12.1961,75.6859
E02000241,14.4946,7.575,12.7773,87.1005
E02000242,1.4711,0,5.9251,86.9094
E02000243,16.7508,0,11.1672,89.0875
E02000244,23.5057,0.0003,15.6094,83.8904
E02000245,44.222,8.9598,10.8074,65.911
E02000246,7.6267,2.9193,12.8819,68.7816
E02000247,8.2508,7.0628,10.6315,77.2149
E02000248,9.8575,7.891,16.9096,81.9189
E02000249,14.0874,1.4037,11.8157,84.8861
E02000250,15.2112,10.1598,16.1502,83.2073
E02000251,15.5137,12.2525,5.3512,95.4096
E02000252,4.1471,0.1112,6.305,65.4556
E02000253,10.7909,0,11.5932,81.5068
E02000254,19.3643,3.76,5.5706,92.876
E02000255,22.0584,11.7014,13.8926,77.9736
E02000256,1.452,0,16.2315,74.0223
E02000258,15.4597,2.117,9.7164,91.1647
E02000259,33.4643,4.2381,16.5204,90.9947
E02000260,10.9837,9.8518,6.5819,84.8263
E02000261,20.862,9.5448,11.3771,76.9215
E02000262,2.7415,0,9.4374,77.1818
E02000263,1.175,0,3.246,91.1683
E02000264,15.9753,5.281,13.128,87.6574
E02000265,19.2334,1.2872,12.1271,82.7223
