LSOA21CD,TotPopChange_2001_17
E01000334,7.1429
E01000335,63.8312
E01000336,24.9847
E01000337,13.3974
E01000338,27.4795
E01000339,5.8
E01000340,-3.3854
E01000341,7.7663
E01000342,3.6919
E01000343,6.5276
E01000344,7.4983
E01000345,-3.7681
E01000346,8.8273
E01000347,1.2245
E01000348,7.4595
E01000349,2.5047
E01000350,2.3432
E01000351,9.5399
E01000352,15.3209
E01000353,4.5288
E01000354,-1.3405
E01000355,11.6424
E01000356,6.2418
E01000357,2.376
E01000358,4.9906
E01000359,-1.9939
E01000360,19.5154
E01000361,9.8563
E01000362,7.3976
E01000363,10.5644
E01000364,12.9032
E01000365,16.9424
E01000366,11.4323
E01000367,40.3248
E01000368,4.2412
E01000369,7.7559
E01000370,5.7015
E01000371,5.4698
E01000372,3.7959
E01000373,-41.7441
E01000374,12.2392
E01000375,39.4395
E01000376,9.492
E01000377,1.5131
E01000379,14.1176
E01000380,19.8061
E01000381,20.7574
E01000382,5.681
E01000383,-1.4379
E01000384,6.0241
E01000385,45.5187
E01000386,9.3571
E01000387,8.597
E01000388,7.3971
E01000389,19.0736
E01000390,-1.3138
E01000391,2.1084
E01000392,38.8889
E01000393,7.7118
E01000394,11.9031
E01000395,2.9965
E01000396,2.5111
E01000398,8.2291
E01000399,13.2505
E01000400,5.4164
E01000401,21.1864
E01000402,18.0424
E01000403,73.8962
E01000404,64.1008
E01000405,16.9386
E01000406,18.853
E01000407,15.516
E01000408,19.7248
E01000409,6.135
E01000410,6.8943
E01000411,-4.5665
E01000412,9.4469
E01000413,1.9174
E01000414,26.2551
E01000415,-1.0818
E01000416,15.3315
E01000417,21.6611
E01000418,11.2957
E01000419,-10.3121
E01000420,0
E01000421,4.2215
E01000422,3.3197
E01000423,9.0613
E01000424,1.0619
E01000425,6.0681
E01000426,3.0303
E01000427,34.0206
E01000428,14.3141
E01000429,5.0426
E01000430,38.5287
E01000431,29.5898
E01000433,31.323
E01000434,13.3333
E01000435,8.9041
E01000436,6.4281
E01000437,-2.6734
E01000438,8.2048
E01000439,4.1424
E01000440,5.6827
E01000441,10.058
E01000442,6.6019
E01000443,7.5041
E01000444,11.8766
E01000445,13.8833
E01000446,0.7833
E01000447,32.7707
E01000448,0
E01000449,3.1142
E01000450,12.7283
E01000451,6.0292
E01000452,2.8139
E01000453,7.8056
E01000454,7.8197
E01000455,6.3932
E01000456,0.2041
E01000457,38.6226
E01000458,-3.5618
E01000459,18.7621
E01000460,-11.5819
E01000461,-1.3897
E01000462,18.3187
E01000463,2.8916
E01000464,13.1523
E01000465,11.7572
E01000466,32.5036
E01000467,25.861
E01000468,82.7765
E01000469,22.1494
E01000470,-13.0759
E01000471,4.1612
E01000472,32.0139
E01000473,49.4711
E01000474,30.8479
E01000475,38.6152
E01000476,6.0109
E01000477,40.787
E01000478,17.506
E01000479,0.4872
E01000480,25.0704
E01000481,4.7035
E01000483,29.6886
E01000484,29.1262
E01000485,12.3377
E01000486,13.2639
E01000487,42.4394
E01000488,12.2843
E01000489,-9.2447
E01000490,20.5595
E01000491,16.1174
E01000492,-12.7057
E01000493,-11.5639
E01000494,28.6117
E01000495,4.3534
E01000497,0.6615
E01000498,18.9732
E01000499,18.378
E01000501,19.8834
E01000502,37.098
E01000503,26.8647
E01000504,7.6364
E01000505,20.5517
E01000506,22.7723
E01000507,7.7814
E01000508,16.1935
E01000509,8.6829
E01000510,17.208
E01000511,11.0734
E01000512,15.5998
E01000513,14.5251
E01000514,16.2509
E01000515,32.6726
E01000516,21.7082
E01000517,9.2619
E01000518,9.9162
E01000519,20.7264
E01000520,27.6923
E01000521,38.6559
E01000522,1.9487
E01000523,34.5592
E01000524,47.5222
E01000525,8.0898
E01000526,32.5581
E01000527,26.3514
E01000528,-4.5249
E01000530,17.9894
E01000531,45.927
E01000532,5.0512
E01000533,19.1291
E01000534,1.6433
E01000535,16.4264
E01000536,20.5993
E01000538,10.0958
E01000539,7.4983
E01000540,4.8905
E01000541,23.9111
E01000543,11.2136
E01000544,1.2781
E01000545,4.9447
E01000546,-5.4398
E01000547,-3.7572
E01000548,35.2553
E01000549,12.2581
E01000550,17.1274
E01000551,57.9727
E01000552,-10.1626
E01000553,27.1845
E01000554,17.0262
E01000555,5.6604
E01000556,31.411
E01000557,12.9032
E01000558,-11.236
E01000559,7.7244
E01000560,8.7041
E01000561,9.4699
E01000562,5.3977
E01000563,2.3488
E01000564,22.9182
E01000565,35.209
E01000566,5.7559
E01000567,14.3223
E01000568,87.452
E01000569,0.955
E01000570,11.2411
E01000571,14.5638
E01000572,22.3077
E01000573,34.3697
E01000574,31.3499
E01000575,49.5824
E01000576,25.9151
E01000577,124.6789
E01000578,42.7904
E01000579,-14.3173
E01000580,13.0316
E01000581,-10.2564
E01000582,-3.5951
E01000583,10.2082
E01000584,-1.7094
E01000585,8.4472
E01000586,48.6923
E01000587,8.2183
E01000589,46.8813
E01000590,11.1517
E01000591,24.6942
E01000592,16.0804
E01000593,48.9892
E01000594,37.0735
E01000595,10.7541
E01000596,20.2128
E01000599,-20.4859
E01000601,0.5583
E01000602,6.2026
E01000603,4.0513
E01000604,12.9338
E01000605,15.7001
E01000606,16.1842
E01000607,41.4368
E01000608,74.2148
E01000609,37.9704
E01000610,34.6032
E01000611,0.1444
E01000612,11.5922
E01000613,40.4239
E01000615,43.125
E01000616,23.7603
E01000617,11.7356
E01000618,-4.6572
E01000619,-3.4777
E01000620,3.0649
E01000621,5.4919
E01000622,26.6041
E01000623,16.129
E01000624,14.202
E01000625,5.8976
E01000626,-1.5428
E01000627,13.7018
E01000628,26.6447
E01000629,20.2622
E01000630,68.8679
E01000631,29.9937
E01000632,32.3414
E01000633,42.4205
E01000634,67.6143
E01000636,29.4464
E01000637,4.249
E01000638,32.3389
E01000639,18.624
E01000640,62.6415
E01000641,23.8623
E01000642,38.0368
E01000643,21.5426
E01000644,27.0883
E01000645,8.209
E01000646,14.6184
E01000647,7.9085
E01000648,13.1387
E01000649,23.8491
E01000650,25.547
E01000651,6.0606
E01000652,0.5016
E01000653,2.7114
E01000654,-8.2902
E01000655,-8.6565
E01000656,6.0258
E01000657,1.4993
E01000658,-10.1952
E01000659,-4.277
E01000661,68.6164
E01000662,5.0445
E01000663,13.307
E01000664,3.2238
E01000665,17.6875
E01000666,13.0275
E01000667,5.9273
E01000668,33.7415
E01000669,9.208
E01000670,37.8272
E01000671,50.6967
E01000672,15.4215
E01000673,11.8056
E01000674,25.5548
E01000676,34.6779
E01000677,32.6806
E01000678,32.2378
E01000679,26.2204
E01000680,-0.6807
E01000681,-0.6745
E01000682,3.5019
E01000683,10.0533
E01000684,32.4091
E01000685,0.7707
E01000686,3.7849
E01000687,1.4475
E01000688,-2.1754
E01000689,9.2937
E01000690,-2.8455
E01000691,11.661
E01000692,5.9278
E01000693,-0.4419
E01000694,41.3239
E01000695,8.2425
E01000696,1.6393
E01000697,12.8949
E01000698,-3.6942
E01000699,6.0729
E01000700,-0.1883
E01000701,-14.0464
E01000702,2.4763
E01000703,25.2137
E01000704,-2.5367
E01000705,-3.6749
E01000706,-2.7182
E01000707,12.8187
E01000708,15.0619
E01000709,3.5826
E01000710,24.3295
E01000711,21.1953
E01000712,11.9723
E01000713,15.6726
E01000714,55.643
E01000715,19.3738
E01000716,4.6408
E01000717,16.092
E01000718,27.3701
E01000719,33.4169
E01000720,20.6166
E01000721,6.1947
E01000722,18.9771
E01000723,-10.5733
E01000724,27.6923
E01000725,14.1017
E01000726,-3.2404
E01000727,17.1116
E01000728,9.183
E01000729,33.0452
E01000730,12.1455
E01000731,6.5359
E01000732,1.0974
E01000733,10.297
E01000734,12.197
E01000735,6.1043
E01000736,12.3732
E01000737,-0.6383
E01000738,-0.1305
E01000739,15.8108
E01000741,25.4557
E01000742,33.8652
E01000743,21.5699
E01000744,5.8556
E01000745,11.3004
E01000746,23.7046
E01000747,30.1252
E01000748,-0.7477
E01000749,11.4029
E01000750,-4.4614
E01000751,23.0817
E01000752,8.0329
E01000753,9.5183
E01000754,6.3541
E01000755,5.918
E01000756,3.8119
E01000757,-2.1086
E01000758,4.4808
E01000759,10.5997
E01000760,2.5811
E01000761,3.534
E01000762,13.3062
E01000763,10.1949
E01000764,12.2382
E01000765,17.3239
E01000766,12.5318
E01000767,6.1265
E01000768,3.7212
E01000769,8.3755
E01000770,6.3264
E01000771,11.5117
E01000772,5.2151
E01000773,5.8163
E01000774,-0.7488
E01000775,56.8771
E01000777,6.9548
E01000778,6.0763
E01000779,2.6616
E01000780,16.8218
E01000781,3.8183
E01000782,8.1306
E01000783,18.5847
E01000784,8.3276
E01000785,6.9368
E01000786,-5.9923
E01000787,1.8737
E01000788,1.4141
E01000789,32.1359
E01000790,52.038
E01000791,1.1252
E01000792,-3.8512
E01000793,-9.3009
E01000794,0.0623
E01000795,1.7082
E01000796,10.4507
E01000797,10.3699
E01000798,10.5556
E01000799,20.438
E01000800,9.6815
E01000801,10.8741
E01000802,1.7624
E01000803,4.5484
E01000804,8.5357
E01000805,20.1333
E01000806,30.5307
E01000807,11.0425
E01000808,1.751
E01000809,5.256
E01000810,0.8575
E01000811,1.4793
E01000812,1.6592
E01000813,2.3486
E01000814,-6.4309
E01000815,0.196
E01000816,-3.3079
E01000818,2.2021
E01000819,26.3464
E01000820,16.1878
E01000822,14.3519
E01000823,14.1816
E01000824,3.4677
E01000825,24.269
E01000826,2.4699
E01000827,30.5142
E01000828,20.3641
E01000829,14.4534
E01000830,2.3318
E01000831,8.5732
E01000832,0
E01000833,3.8849
E01000834,3.4299
E01000835,21.049
E01000836,-0.8328
E01000837,11.5385
E01000838,12.0391
E01000839,0.1395
E01000840,4.4921
E01000841,8.0497
E01000842,13.4063
E01000843,31.3003
E01000844,27.6873
E01000845,27.4011
E01000846,19.6834
E01000847,23.9018
E01000848,32.6653
E01000849,24.7638
E01000850,36.8869
E01000851,34.8477
E01000853,6.5563
E01000855,2.2837
E01000856,23.219
E01000857,2.3422
E01000858,37.1987
E01000859,19.1989
