MSOA21CD,TotPopChange_2001_17
E02000342,12.0385
E02000343,13.5022
E02000344,7.3167
E02000345,20.5534
E02000346,3.3768
E02000347,17.9325
E02000348,17.7976
E02000350,10.74
E02000351,22.1479
E02000352,24.8356
E02000353,16.2128
E02000354,38.297
E02000355,17.0599
E02000356,13.2497
E02000357,12.1278
E02000358,16.9077
E02000359,14.7222
E02000360,33.255
E02000361,43.0165
E02000362,62.3786
E02000363,25.6445
E02000364,33.654
E02000366,28.6886
E02000367,71.796
E02000368,18.9907
E02000369,59.0381
E02000370,62.1685
E02000372,20.5974
E02000373,6.3168
E02000374,4.7193
E02000375,0.6403
E02000376,11.7123
E02000377,7.6963
E02000378,-2.0347
E02000379,30.5985
E02000380,-3.3088
E02000381,0.7848
E02000382,-7.7511
E02000383,-0.2474
E02000384,-3.6512
E02000385,2.232
E02000386,1.2921
E02000387,3.1541
E02000388,15.9901
E02000389,8.9833
E02000390,5.6761
E02000391,8.513
E02000392,7.9787
E02000393,5.1801
E02000394,77.0858
E02000395,5.9478
E02000396,11.4112
E02000397,32.5421
E02000398,21.2172
E02000400,40.0742
E02000401,13.825
E02000402,9.2137
E02000403,38.2928
E02000404,33.0476
E02000405,18.2727
E02000406,17.8687
E02000407,26.3884
E02000408,37.9798
E02000409,6.2979
E02000410,11.1369
E02000411,56.8135
E02000412,32.8159
E02000413,26.2633
E02000414,6.6093
E02000415,21.9203
E02000416,39.3339
E02000417,12.681
E02000418,8.0408
E02000419,23.4092
E02000420,37.7401
E02000421,33.4989
E02000422,34.1613
E02000423,14.9219
E02000424,5.3778
E02000425,23.4794
E02000426,8.5474
E02000427,3.1574
E02000428,32.0915
E02000429,14.3274
E02000430,18.1582
E02000431,11.8262
E02000432,5.467
E02000433,35.9564
E02000434,31.2699
E02000435,24.1439
E02000436,-2.9773
E02000437,13.4679
E02000438,9.698
E02000439,25.5556
E02000440,18.156
E02000441,7.5847
E02000442,20.1726
E02000443,32.8859
E02000444,23.3445
E02000445,38.7853
E02000447,7.2851
E02000448,15.6409
E02000449,12.2956
E02000451,7.3341
E02000452,37.2075
E02000453,26.6646
E02000454,6.7545
E02000455,42.8013
E02000456,11.5016
E02000457,6.3242
E02000459,44.5128
E02000460,8.8479
E02000461,18.8188
E02000462,14.0221
E02000463,5.8273
E02000464,24.3363
E02000465,21.5044
E02000466,13.5886
E02000467,20.9783
E02000468,6.2177
E02000469,21.0482
E02000470,17.129
E02000471,3.3676
E02000472,2.0429
E02000473,14.0604
E02000474,18.8595
E02000475,20.1485
E02000476,69.4881
E02000477,7.6056
E02000478,6.889
E02000479,24.2204
E02000480,39.3599
E02000481,4.4922
E02000482,5.9069
E02000483,8.1932
E02000484,6.7217
E02000485,12.1165
E02000486,5.6247
E02000487,-2.2652
E02000488,-6.2251
E02000489,14.603
E02000490,5.1919
E02000491,21.8168
E02000492,4.4996
E02000493,15.7246
E02000494,0.4472
E02000495,12.198
E02000496,5.1124
E02000497,18.819
E02000498,1.2282
E02000499,2.219
E02000500,15.6764
E02000501,5.9866
E02000502,15.7055
E02000503,14.6248
E02000504,3.8867
E02000506,12.2795
E02000507,8.7186
E02000508,54.6053
E02000509,49.6197
E02000510,19.3557
E02000511,16.978
E02000512,22.3503
E02000513,31.1335
E02000514,19.9753
E02000515,33.2807
E02000516,21.8538
E02000517,31.5687
E02000518,12.1705
E02000519,23.9861
E02000520,47.1153
E02000521,68.8241
E02000522,27.8394
E02000523,50.6926
E02000524,31.6163
E02000525,35.1089
E02000526,6.3569
E02000529,15.7148
E02000530,12.1683
E02000531,33.6364
E02000532,5.2461
E02000533,3.5834
E02000534,34.239
E02000535,14.2787
E02000536,13.7087
E02000537,15.91
E02000538,20.2977
E02000539,31.481
E02000540,42.8553
E02000541,20.9465
E02000542,52.2839
E02000543,71.4231
E02000544,8.9136
E02000545,11.7358
E02000546,17.4952
E02000547,28.0861
E02000548,37.9649
E02000549,19.0848
E02000550,41.9342
E02000551,14.4569
E02000552,32.1116
E02000553,18.5016
E02000554,8.8899
E02000555,13.3516
E02000556,14.3692
E02000557,12.0339
E02000558,28.7877
E02000559,44.2998
E02000560,34.5956
E02000561,26.9416
E02000562,19.32
E02000563,4.9914
E02000564,97.897
E02000565,23.7328
E02000566,26.2561
E02000567,29.4798
E02000568,69.0334
E02000569,22.5664
E02000570,28.689
E02000571,16.4514
E02000572,21.5855
E02000573,33.6846
E02000574,31.8432
E02000575,68.1345
E02000576,57.2595
E02000577,-8.5223
E02000578,-0.5047
E02000579,8.6405
E02000580,1.4279
E02000581,-8.2121
E02000582,-13.3301
E02000583,-7.8795
E02000584,-4.5575
E02000585,-1.0309
E02000586,-7.8938
E02000587,-7.4538
E02000588,-0.8577
E02000589,-0.4461
E02000590,-14.6104
