MSOA21CD,PersonalDebt,HHInc_afterCosts,HHInc_afterCosts_equivalised,HHInc_beforeCosts,HHInc_beforeCosts_equivalised
E02005816,759.6747,45600,28200,34700,32200
E02005817,709.4854,46200,29100,35300,34000
E02005818,781.3038,47100,31100,34800,34200
E02005819,728.2257,34600,24600,29200,26700
E02005820,660.1478,36800,24300,28800,28400
E02005821,735.7041,35000,23600,27300,26000
E02005822,725.371,37100,22700,27900,25400
E02005823,735.9227,28800,19800,23900,22600
E02005824,748.1918,39800,27200,31500,29900
E02005825,658.2879,36600,25500,31000,26600
E02005826,865.2533,30100,22300,24400,22900
E02005827,798.8363,40900,26900,31300,29600
E02005828,712.2119,39700,26100,30300,28000
E02005829,768.1172,36400,26200,29900,27700
E02005830,608.4895,37000,26000,29100,29600
E02005831,733.2077,42500,27100,33700,29300
E02005832,638.0787,35100,23100,26800,26900
E02005833,704.3047,40400,27000,31700,29700
E02005834,682.7861,36300,23700,29100,25500
E02005835,763.0669,36300,26800,28800,27700
E02005836,623.2632,41900,30500,34000,31100
E02005837,605.5438,45200,31200,36000,34700
E02005838,675.6411,35800,26500,28700,27700
E02005839,617.971,36200,26700,29000,28600
E02005840,900.8189,44400,27500,34100,29300
E02005842,525.7584,37600,28500,32600,28900
E02005843,816.5575,42100,28100,33300,29700
E02005844,668.3842,38200,26600,29400,28400
E02005846,563.0727,32000,20100,22500,22400
E02005847,560.3611,42100,27700,33300,31300
E02005848,638.3326,40800,27300,31800,29700
E02005849,679.2613,41300,30600,33500,31300
E02005850,587.1505,37500,28100,30100,28600
E02005851,565.7476,32500,22800,26700,24300
E02005852,632.215,39800,28700,30900,29800
E02005853,637.7662,41100,29300,33000,30700
E02005856,524.5979,54100,37400,39500,35200
E02005857,682.2574,35100,24500,29100,25200
E02005858,346.5013,46400,29400,35200,30700
E02005859,611.2422,39000,25300,29300,27400
E02005860,318.0293,42400,28100,31600,32900
E02005861,416.9825,40400,27900,29300,30600
E02005862,515.2135,39400,26400,30300,27500
E02005863,492.3243,48100,31700,35300,31500
E02005864,638.1718,51400,32000,36700,34200
E02005865,640.0793,49400,35400,39200,35100
E02005866,693.6251,41400,28500,33000,29900
E02005868,590.7097,40900,26600,32300,28400
E02005869,600.2093,37000,23400,29600,25200
E02005870,565.4651,36200,25100,27600,27000
E02005871,544.32,42400,28800,32300,31500
E02005872,543.8249,48200,32200,36700,33700
E02005873,506.283,51900,34100,37700,33400
E02005874,554.0098,46400,30600,34500,32900
E02005875,613.6292,41200,27400,31800,28900
E02005876,604.0474,40800,26800,32600,29000
E02005877,520.3161,39100,26400,30100,28100
E02005878,568.1274,37800,25000,29500,28300
E02005879,509.0886,37400,25500,28100,27800
E02005880,749.358,33300,23900,28000,24400
E02005881,784.0851,33500,23500,27000,25400
E02005882,733.7516,38100,26600,30300,28600
E02005883,777.1856,36200,23000,28100,25300
E02005884,758.9731,37900,26300,29200,29400
E02005885,685.2133,35800,24300,28000,26100
E02005886,850.2845,40400,27500,32800,28600
E02005887,587.5948,35600,22200,26700,26300
E02005888,609.4151,34200,21900,26100,25200
E02005889,670.2475,37300,24100,28800,26000
E02005890,691.4189,42600,27900,31800,31200
E02005891,790.8726,33200,22300,27400,23800
E02005892,702.3428,51700,33400,37300,34100
E02005893,743.7546,34400,24400,28800,26900
E02005894,873.8143,41200,28200,32500,28300
E02005895,687.4019,46200,31100,36100,32400
E02005896,633.4102,44300,31400,35100,32800
E02005897,745.5839,44100,31000,35000,31700
E02005898,827.9952,37100,25100,29600,27200
E02005899,581.8003,37500,24000,27700,27800
E02005900,460.049,45600,32700,36100,34200
