MSOA21CD,PersonalDebt,HHInc_afterCosts,HHInc_afterCosts_equivalised,HHInc_beforeCosts,HHInc_beforeCosts_equivalised
E02000001,247.8034,101800,59300,62700,65000
E02000002,719.0909,43600,22500,32500,28600
E02000003,685.3784,50900,27700,39200,33000
E02000004,735.6636,52000,29300,38900,34300
E02000005,685.264,48100,25800,35200,30000
E02000007,666.5978,39000,22700,28400,27000
E02000008,718.995,42100,22100,30800,27000
E02000009,681.6103,45800,22200,34600,28900
E02000010,730.2708,40900,21700,29300,26900
E02000011,682.3749,46500,25300,33500,30800
E02000012,633.6453,56100,28600,41500,34700
E02000013,685.841,44100,24200,32100,29800
E02000014,732.5785,42900,21600,29300,27000
E02000015,713.3509,41200,20700,30200,27600
E02000016,547.2598,46600,22200,35200,29400
E02000017,597.1733,51300,24900,40200,32300
E02000018,740.9857,41600,21600,31000,27000
E02000019,692.4323,46100,23600,34500,28400
E02000020,693.2369,47800,23100,35200,28800
E02000021,721.1065,43300,23400,30100,28000
E02000022,696.0464,41300,21200,29000,25700
E02000023,856.3438,46100,22300,34700,29800
E02000024,491.871,64300,38600,46600,42500
E02000025,480.0891,60900,36100,44400,40800
E02000026,540.6939,62300,36100,45300,38600
E02000027,518.0534,54700,32300,40800,34900
E02000028,576.5102,61100,37400,45400,42000
E02000029,572.1524,58000,34700,45500,38500
E02000030,555.3021,59400,37900,46700,41400
E02000031,642.1488,62500,39700,45300,40100
E02000032,607.1631,68800,40600,52000,38300
E02000033,554.843,58600,32300,47100,37300
E02000034,581.0143,58900,35000,45000,37800
E02000035,509.114,61700,35200,46000,40700
E02000036,621.4378,56400,32400,46400,36300
E02000037,567.6009,59300,36000,47200,38400
E02000038,539.37,58500,33300,46100,38200
E02000039,640.9474,65200,38700,47800,42800
E02000040,635.9994,59500,37200,43500,40800
E02000041,590.9737,53500,28900,43100,34100
E02000042,472.8281,58000,30800,46500,38100
E02000043,607.9178,76300,44200,51900,44000
E02000044,617.0251,53900,28400,42400,35400
E02000045,614.4062,56300,30000,44700,36400
E02000046,609.6258,68400,35100,51200,44000
E02000047,612.7268,51000,24600,41000,31700
E02000048,634.3344,60800,35100,45600,40300
E02000049,596.51,47500,23900,37500,32200
E02000050,516.0411,57100,32300,43500,37700
E02000051,524.7293,57900,34900,46000,41200
E02000052,517.574,66300,36600,47000,40700
E02000054,493.2825,54400,31900,44700,39000
E02000055,484.2039,51700,27500,44300,37800
E02000056,621.4223,76600,45100,55700,49900
E02000057,509.2509,56000,30300,44900,37400
E02000058,612.3029,60100,37700,45500,40600
E02000059,567.5141,51600,26000,40900,33400
E02000060,485.2762,49200,28400,39200,31500
E02000061,563.1318,63400,35400,45300,46300
E02000062,537.9462,48500,23600,40600,32800
E02000063,524.6869,52000,27600,43900,35700
E02000064,507.1575,52900,30300,41900,37800
E02000065,766.5942,49000,27300,36400,32900
E02000066,637.8919,42400,24300,29600,29700
E02000067,718.8929,48900,28300,35100,32300
E02000068,738.0274,46300,26500,33400,30900
E02000069,659.988,49400,28800,35200,33700
E02000070,653.494,53800,33300,39000,35900
E02000071,681.0612,49500,29000,35200,33700
E02000072,885.3114,44700,25900,33000,30300
E02000073,701.4137,59100,37100,40900,38000
E02000074,708.7103,44900,25900,31700,29600
E02000075,694.8929,57800,38600,39900,38900
E02000077,696.8334,56100,33600,39200,34400
E02000078,649.738,57500,35300,38600,37900
E02000079,617.9755,57100,35000,39400,38800
E02000080,746.0762,56600,35300,39600,36900
E02000081,642.9716,52900,32500,38400,35800
E02000082,706.2129,62800,33700,41300,38700
E02000083,716.6444,51000,30700,35900,32900
E02000084,692.1839,60200,38600,41400,39800
E02000085,710.5686,55100,34400,37500,35600
E02000086,676.427,59200,36300,39700,40600
E02000087,651.8484,61900,40600,41900,40300
E02000088,680.8742,62600,38400,42500,40400
E02000089,631.8634,66000,38400,44200,40300
E02000090,526.5803,53500,34000,36400,37300
E02000091,554.4953,52200,34800,36800,37300
E02000092,638.3683,46500,30900,34300,32300
E02000093,588.6842,57700,29800,47000,36100
E02000094,678.7539,57800,32000,46000,35400
E02000095,546.9439,58400,30100,47500,37000
E02000096,474.8311,61500,37200,45600,38600
E02000097,574.3681,53900,27500,47300,33700
E02000098,519.4016,54100,27200,41800,34500
E02000099,568.22,59000,29200,49100,37500
E02000100,545.6592,66400,34500,47100,39900
E02000101,562.1849,49200,25000,37500,33300
E02000102,448.7437,46200,20300,39200,32000
E02000103,458.6572,49600,25500,41100,35000
E02000104,541.1623,53000,26500,41400,36200
E02000105,615.7537,54500,25600,42100,33900
E02000106,458.0287,45800,22600,36900,31900
E02000107,503.0074,55000,29100,43500,39200
E02000108,571.3726,56200,26400,41900,34300
E02000110,423.3217,56700,29100,45100,36100
E02000111,590.1815,51900,23000,37000,32100
E02000112,549.4078,54200,25000,40200,34300
E02000113,492.5009,42000,18900,33500,29900
E02000114,445.4039,52800,26000,39400,35400
E02000115,402.0417,57100,30000,44300,39800
E02000116,500.243,47100,21300,35400,31700
E02000117,481.6502,41900,20600,31800,30100
E02000118,557.5459,52000,21600,36200,31400
E02000119,460.8132,45200,23100,34700,32200
E02000120,398.4906,57400,29100,43100,39300
E02000121,555.6068,51700,24200,36600,33200
E02000122,414.5767,61500,33900,46300,40300
E02000123,502.866,43100,22100,32800,32300
E02000124,435.9348,62400,33700,47700,44300
E02000125,559.5749,60400,35900,45400,41200
E02000126,382.0298,46500,23000,34000,32000
E02000127,596.6047,47400,29000,34600,31500
E02000128,703.6452,60500,37600,42200,40600
E02000130,486.0763,62700,34800,42700,39400
E02000131,445.6357,60700,33700,38300,38100
E02000132,544.5493,63800,37500,41800,42800
E02000133,642.8266,72400,47800,47500,47800
E02000134,649.5821,60000,34400,43500,37900
E02000135,474.582,47700,25400,34300,31900
E02000136,700.3929,52000,32300,41400,37200
E02000137,593.211,67000,42700,43100,41500
E02000138,556.8839,68600,41700,43600,47000
E02000139,574.6889,67600,41200,43500,43500
E02000140,712.9953,45000,28400,33900,31700
E02000141,497.0009,60000,33700,40600,37900
E02000142,656.7483,68300,40200,46500,44000
E02000144,602.4572,69600,40800,47200,44300
E02000145,698.9249,46600,28300,34500,31900
E02000146,696.0074,66100,39800,42600,41100
E02000147,577.9871,66700,41100,44300,41900
E02000148,598.1185,65100,43200,46000,43600
E02000149,680.9459,51400,32300,37800,34500
E02000150,691.4436,67000,40200,46200,39700
E02000151,594.9594,70600,46000,45300,46200
E02000152,711.348,52500,33200,38700,34800
E02000153,549.3462,69600,41200,46600,44900
E02000154,608.259,60600,39000,40900,40100
E02000155,581.8389,52400,34000,37300,34900
E02000156,564.9212,65200,41300,43500,40600
E02000157,528.4182,71300,40600,44900,44600
E02000158,618.5266,55400,35100,41900,35700
E02000159,584.6125,61600,41600,43300,43100
E02000160,590.9439,65000,39600,43800,40800
E02000161,589.3333,67800,41800,44100,42800
E02000162,604.4431,51000,35300,37100,37400
E02000163,594.9234,60000,39600,41700,39700
E02000165,712.983,58600,35200,39900,38900
E02000166,375.7537,60700,37900,46100,44800
E02000167,502.8086,88400,59100,59200,57400
E02000168,383.8545,70600,40200,48200,47200
E02000169,517.6968,87100,55400,62400,55300
E02000170,515.8585,72300,39500,52700,46100
E02000171,423.3494,73100,40200,55000,46500
E02000172,355.186,52200,29600,42100,36500
E02000173,487.3382,83500,43900,57600,51500
E02000174,362.4684,57100,30800,42600,39800
E02000175,426.06,73300,39200,51500,49600
E02000176,350.2221,88600,47300,55800,54900
E02000177,363.3146,52500,29500,41100,37500
E02000178,410.0977,58500,27900,40900,38500
E02000179,475.7373,64100,35300,49400,46200
E02000180,297.2275,58300,34300,44200,41700
E02000181,325.851,88700,44400,60100,51100
E02000182,378.2752,66700,37800,49300,48000
E02000183,412.9101,65100,36800,50500,48200
E02000184,270.5448,51300,24800,40800,35800
E02000185,369.4005,48100,24200,37900,35100
E02000186,456.931,62700,34700,46100,47800
E02000187,267.5053,46600,26500,37800,33400
E02000188,314.1152,46800,21500,37200,32100
E02000191,254.0952,60000,32000,47800,48200
E02000192,310.2308,54100,30000,43000,40000
E02000193,349.891,55000,34700,44500,46600
E02000194,490.2529,58000,35500,39400,39800
E02000195,585.3917,59500,34800,43600,39500
E02000196,618.195,53800,28300,41800,34200
E02000197,682.4227,54100,30500,41100,36200
E02000198,630.8965,50700,29200,38500,36700
E02000199,637.4966,56800,31700,42200,40200
E02000200,564.6679,55400,32200,38700,38400
E02000201,663.3943,45900,23900,33300,31900
E02000202,609.661,53500,30400,41100,34600
E02000203,669.621,46200,24500,34500,31700
E02000204,634.2619,51500,30700,39400,36000
E02000206,626.8128,46800,25800,34400,32300
E02000207,638.6569,48800,28100,37300,36400
E02000208,696.3276,45100,23100,33900,31000
E02000209,734.1318,51200,27500,39700,34700
E02000210,629.1756,58500,34600,42600,41400
E02000211,630.8425,61700,38000,42800,41200
E02000212,672.129,45900,24200,34400,30000
E02000213,565.437,46000,25500,34600,33300
E02000214,591.7363,64300,38800,46300,40800
E02000215,580.8831,53000,30600,38400,37100
E02000216,650.078,63900,34700,43900,39900
E02000217,689.233,50700,28900,36800,34300
E02000218,640.7065,51300,29500,39300,35200
E02000219,562.3044,62700,38100,42400,41200
E02000221,672.228,49600,29100,37100,34500
E02000222,579.3561,64500,39300,42200,41500
E02000223,784.3384,38600,21400,30600,26600
E02000224,605.8584,59800,35000,41400,40000
E02000225,643.7327,43000,26200,31900,29900
E02000226,597.4627,64600,40800,45000,41600
E02000227,638.9646,53200,39800,39100,38100
E02000228,582.7528,68500,42500,44600,43500
E02000229,644.0162,40200,22600,29600,27800
E02000230,674.5778,62000,39400,41400,41200
E02000231,886.5288,68900,42700,46800,42100
E02000232,594.315,57900,37500,41500,39100
E02000233,733.6201,64200,37100,43900,38400
E02000234,629.4432,59100,37900,41900,38600
E02000235,696.9801,64500,40300,45400,43100
E02000236,722.9734,66900,42600,45600,41700
E02000237,655.4412,56400,38000,40300,37800
E02000238,589.2293,58400,30300,46500,36600
E02000239,596.8788,62600,32000,50300,39700
E02000240,619.0517,50000,24200,38700,30800
E02000241,600.1533,57600,29100,45400,36800
E02000242,621.8591,57800,30600,45500,36600
E02000243,665.8669,54900,29300,43100,35400
E02000244,667.0834,55600,28100,46000,35900
E02000245,607.4833,45400,21700,33800,29400
E02000246,592.5485,49200,26000,37800,32000
E02000247,627.9873,49200,26300,38000,31800
E02000248,592.7425,59400,32900,50800,40600
E02000249,614.247,51300,24600,40100,32200
E02000250,550.346,82700,45200,56500,48000
E02000251,577.7409,57100,28700,44000,35100
E02000252,404.8476,49400,26500,41100,35400
E02000253,448.013,49900,26900,39700,32600
E02000254,521.6073,50600,25600,37000,32800
E02000255,454.2638,61200,39500,47600,43600
E02000256,483.9942,73400,39200,53500,48200
E02000258,438.103,57300,30500,45700,38300
E02000259,473.1145,68100,34400,53100,40300
E02000260,520.4523,46500,21900,35100,30000
E02000261,453.3323,55300,28200,43400,39100
E02000262,417.7819,55900,28400,48900,35800
E02000263,466.3146,45900,21100,32800,29000
E02000264,436.8179,65600,35600,47900,43900
E02000265,473.6915,58500,32400,43900,38400
E02000266,441.183,46500,23700,35800,30500
E02000267,459.4013,61700,35000,49400,39400
E02000268,448.2784,65800,38200,49700,42500
E02000269,478.4378,77400,40600,53700,46800
E02000270,473.3995,54400,28500,41100,36600
E02000271,608.0768,83700,49500,61100,54500
E02000272,474.9102,71200,39100,51900,41100
E02000275,439.271,47100,22600,34300,31000
E02000276,480.6967,72200,36300,52500,43600
E02000277,640.1156,48100,25900,40300,32200
E02000278,613.7414,46000,26500,40000,32100
E02000279,673.5134,47900,25300,39400,33200
E02000280,586.0142,55500,32000,40500,34800
E02000281,561.1466,49400,27100,38400,31500
E02000282,589.5287,41500,21700,33200,28000
E02000283,558.9673,49900,28000,41000,31600
E02000284,584.1092,58800,36500,42800,38400
E02000285,590.3991,66200,38500,48500,40200
E02000286,550.2816,58600,36700,42900,39300
E02000287,662.8088,58100,36100,45700,41800
E02000288,501.2285,44900,21400,38100,28900
E02000289,544.7997,66000,38600,49200,39400
E02000290,558.4106,43100,23200,36000,30600
E02000291,578.6227,53900,32200,42600,35600
E02000292,618.7533,57000,31400,45600,35600
E02000293,597.34,68500,41100,48400,44300
E02000294,522.8664,48000,26200,41000,30200
E02000295,577.0268,61800,36900,50000,40800
E02000296,526.6116,54600,32100,47200,35200
E02000297,553.848,61100,36000,46200,38000
E02000298,612.1564,69500,40700,51500,44500
E02000299,576.3702,43600,23500,38600,29700
E02000300,528.7975,46500,22600,41600,29400
E02000301,502.0124,42300,22800,36700,30300
E02000302,609.0695,59400,33100,52300,36000
E02000303,544.638,41300,21700,37300,29900
E02000304,569.7656,68100,40400,49900,40600
E02000305,582.5021,66200,35500,52900,40500
E02000306,472.4578,39200,19000,31600,27000
E02000307,566.4778,52700,27400,45800,31700
E02000308,520.8561,57000,29500,47000,36100
E02000309,532.6981,42500,21500,35200,28400
E02000311,575.9606,52800,25400,49300,34400
E02000312,538.698,59400,30600,49600,35900
E02000313,799.4981,41400,23800,29200,29800
E02000314,770.9883,53200,27300,39100,36000
E02000315,567.9429,43800,22800,31800,30000
E02000317,556.0668,47700,24700,36400,31800
E02000318,470.6001,46500,24100,33400,31600
E02000319,597.5638,49600,26600,34600,32400
E02000320,689.7909,51600,30100,36300,35500
E02000321,581.3441,42200,21800,29500,29100
E02000323,562.4272,48100,24800,34700,32000
E02000324,544.3452,49700,28200,37700,33100
E02000326,532.5378,61500,35400,43700,39300
E02000327,664.7156,47000,23600,33000,30500
E02000328,529.8967,69300,42300,48900,44800
E02000329,624.9033,51000,27900,36000,32700
E02000331,594.3437,53200,29700,38800,34500
E02000332,626.7973,61900,37100,43600,41000
E02000333,587.5529,72800,44000,51400,48100
E02000334,605.2515,52700,30700,41400,34000
E02000335,643.0054,66800,36200,45000,41700
E02000337,673.9876,51800,27300,37400,31700
E02000339,607.7539,62400,37400,44600,41100
E02000340,592.0905,57200,36400,40200,39000
E02000341,735.8543,46500,25000,34800,29500
E02000342,623.892,47500,27900,37200,33200
E02000343,646.0846,52200,30800,39000,34200
E02000344,678.7297,60400,35400,40900,36900
E02000345,376.5311,44300,24900,34600,30700
E02000346,294.3007,53200,25400,40900,33800
E02000347,348.231,45600,24800,36000,29500
E02000348,360.0731,41500,22100,32700,27000
E02000350,298.3326,60300,29900,43500,37200
E02000351,325.0371,67400,32000,45300,40500
E02000352,347.2704,61800,33200,45400,36800
E02000353,320.3701,66800,34900,48500,41300
E02000354,400.7414,50500,25100,36500,33000
E02000355,350.8559,58300,29500,41800,36900
E02000356,336.4386,70700,38900,47900,45300
E02000357,360.7455,45000,21600,34200,29500
E02000358,327.8082,56200,28800,41700,36500
E02000359,328.3275,56600,27100,42500,34800
E02000360,365.7186,49400,25800,37100,34300
E02000361,339.1242,58700,27800,40800,37900
E02000362,426.9794,51300,26200,37900,34400
E02000363,323.6087,45300,23000,33700,30900
E02000364,348.8995,62600,34400,45300,43300
E02000366,367.586,51700,25300,40200,34900
E02000367,350.9661,66400,31700,45800,43300
E02000368,360.9777,52300,26200,38500,33400
E02000369,369.1967,61100,29100,44000,38500
E02000370,401.0291,56600,28700,43900,39700
E02000372,387.7301,48300,27300,38800,33800
E02000373,430.1426,44600,21900,34400,29900
E02000374,406.3431,58100,29200,46700,37300
E02000375,361.3518,53800,26500,42100,38600
E02000376,394.1495,54900,31100,43000,40700
E02000377,502.2306,55900,32800,43200,41400
E02000378,444.8679,60800,32400,47100,41900
E02000379,521.6523,66500,37100,50200,43500
E02000380,484.8776,71600,43100,55900,49500
E02000381,518.6219,66200,41100,51200,47800
E02000382,413.746,66000,38500,51500,48800
E02000383,457.633,62200,35000,49400,42600
E02000384,358.2095,54100,29000,42500,39000
E02000385,377.3069,73100,39600,51900,52600
E02000386,433.6133,50600,25900,39700,35600
E02000387,400.703,58700,31900,43400,39900
E02000388,462.2674,66500,37500,47700,44800
E02000389,408.4311,79100,44200,57300,48500
E02000390,488.2673,64400,35200,46800,40800
E02000391,612.3044,70000,41800,51400,50600
E02000392,513.5921,65700,38200,50400,45300
E02000393,446.4276,84900,45600,56300,50100
E02000394,529.4719,62800,35100,46100,44200
E02000395,577.9631,85400,47200,57900,53200
E02000396,577.0634,66300,38100,52000,47300
E02000397,431.6799,53000,26000,42300,35200
E02000398,469.6715,39500,19600,32700,29100
E02000400,516.9093,58000,30500,48200,39000
E02000401,483.7298,45900,22700,36700,30400
E02000402,464.2258,43700,21500,35400,29200
E02000403,480.5392,57700,25400,46000,35200
E02000404,478.0095,51800,24100,44000,32600
E02000405,599.6706,78100,43300,55800,47300
E02000406,457.1764,51800,25500,42900,32900
E02000407,490.7702,46400,23500,37600,33700
E02000408,448.9541,45100,21100,35000,30600
E02000409,475.5767,44800,22200,36000,30700
E02000410,631.6052,77300,44000,55900,48300
E02000411,399.9612,49000,23700,36700,31500
E02000412,429.2316,49200,24400,39600,34200
E02000413,529.7075,70400,39600,52400,44600
E02000414,480.0356,52500,25400,44000,34100
E02000415,410.7546,54400,27000,45700,34100
E02000416,446.8989,60100,34100,42800,38200
E02000417,568.4093,78000,45400,56300,49200
E02000418,495.7499,79800,44000,55400,48000
E02000419,424.6125,58700,28000,45600,38300
E02000420,391.9836,48700,23500,38500,32700
E02000421,395.6407,45400,22900,35300,32100
E02000422,429.1635,48400,26100,37300,33900
E02000423,400.8088,59100,28900,46400,38900
E02000424,514.6146,68400,36900,47900,42600
E02000425,447.7256,45900,22600,37900,29300
E02000426,505.7472,74500,40900,54800,51200
E02000427,376.7156,59100,28100,47600,39500
E02000428,347.0994,48400,23500,36600,32700
E02000429,578.1608,79100,41500,50300,49100
E02000430,481.495,78300,43500,47900,51200
E02000431,613.9141,81100,47000,51400,55100
E02000432,319.9493,66400,35000,44300,44300
E02000433,506.6816,57700,32000,42000,36800
E02000434,517.1821,57300,33100,42600,36400
E02000435,504.7245,56200,32000,44000,36400
E02000436,545.722,67600,37400,44500,39300
E02000437,591.4834,55800,31000,45200,35800
E02000438,568.6277,53700,31100,41000,35100
E02000439,617.7989,55600,27400,50200,34900
E02000440,565.731,65300,36100,48400,41700
E02000441,613.834,60300,35700,42900,39100
E02000442,609.9168,63300,30800,53600,37300
E02000443,544.3136,52600,25400,41100,32000
E02000444,618.0065,60400,29700,45700,36000
E02000445,567.9043,51600,27600,41300,33700
E02000447,672.2776,66100,36300,49300,39700
E02000448,555.275,70400,40100,47700,42500
E02000449,540.5899,54800,27000,42900,33400
E02000451,519.7638,73600,41600,49300,41800
E02000452,562.703,58000,30000,44900,37300
E02000453,612.7445,61100,31600,45600,38700
E02000454,580.7766,73500,41800,48800,41800
E02000455,590.3998,61600,33300,45400,40000
E02000456,505.186,59400,32400,46200,39900
E02000457,496.1037,63400,35700,46200,40200
E02000459,627.6023,52300,27900,39600,34800
E02000460,609.4711,55100,30000,42000,36400
E02000461,591.1788,71300,36900,49100,42500
E02000462,633.7544,55000,28900,41100,33900
E02000463,617.9912,56100,29100,43000,33600
E02000464,655.5054,44700,26600,33500,31100
E02000465,652.1684,47300,26500,33800,31800
E02000466,677.6162,48300,29000,36300,31600
E02000467,640.67,40100,21900,28000,27100
E02000468,741.2516,50400,30900,37200,32800
E02000469,664.36,45700,25600,33100,30000
E02000470,623.3356,57100,34000,39100,36800
E02000471,602.3859,59400,37400,42900,39600
E02000472,627.3807,55000,35500,39600,35200
E02000473,685.6811,58200,34900,41400,38700
E02000474,698.6888,50200,29100,35600,32800
E02000475,688.9431,57100,36600,39500,38300
E02000476,596.0545,49000,29000,35500,33600
E02000477,654.5875,63400,37400,42200,38500
E02000478,641.8482,59400,36600,40400,42500
E02000479,658.8778,53200,29700,37600,34200
E02000480,645.5414,52900,30300,38100,34100
E02000481,579.442,54700,33300,37800,35800
E02000482,568.4117,67700,40400,44000,46600
E02000483,618.9962,49100,31800,35900,34600
E02000484,616.1537,56000,35000,38600,37200
E02000485,586.4866,59400,35500,39700,37200
E02000486,601.0272,54200,32700,38700,37300
E02000487,568.6474,67800,44400,44900,47600
E02000488,524.9747,59200,34100,40200,37900
E02000489,644.9143,54200,32600,39200,34400
E02000490,719.238,49400,29500,36000,32800
E02000491,800.0338,46000,27900,34200,31900
E02000492,658.7953,51000,33300,37200,34400
E02000493,755.0992,46700,26700,33800,31700
E02000494,620.8295,60700,37100,41700,39900
E02000495,615.1916,57400,35600,42800,38100
E02000496,632.1451,54300,31700,38600,35800
E02000497,566.7638,59900,35400,42900,38800
E02000498,589.2899,59400,34900,41100,36800
E02000499,571.5267,68400,38800,46400,43700
E02000500,508.8178,62900,39200,43900,41200
E02000501,567.3942,65900,39100,45100,41500
E02000502,631.972,65100,37200,43900,38500
E02000503,620.0964,70400,38000,46700,45100
E02000504,557.0099,69000,44500,46500,44200
E02000506,570.0489,64600,39300,42500,40600
E02000507,683.9072,64800,31100,45000,37400
E02000508,605.2755,54800,33500,42100,37700
E02000509,541.4578,49200,27300,39300,35000
E02000510,648.3958,59000,33500,41800,38900
E02000511,619.6722,55700,31100,39100,34700
E02000512,663.8827,50600,25900,38200,32700
E02000513,645.7708,48100,22600,36200,31800
E02000514,545.4467,53400,27800,40700,33700
E02000515,544.5055,51900,26900,36400,34400
E02000516,586.0005,54200,27500,42500,35700
E02000517,625.8836,52100,26000,39600,31700
E02000518,565.9624,53800,28900,40500,32800
E02000519,594.695,47900,22000,36000,30300
E02000520,596.0827,50500,27500,37400,32700
E02000521,673.2559,55000,28400,42000,34600
E02000522,664.6241,53900,29400,39800,33700
E02000523,561.2167,53700,27100,38700,35600
E02000524,651.2118,57500,27900,41600,35900
E02000525,641.0058,53100,24700,39000,34600
E02000526,690.9411,78500,51000,58400,52900
E02000529,517.1171,48700,26600,36300,31900
E02000530,513.8271,43600,21600,33400,29700
E02000531,570.9939,58800,37200,46000,38700
E02000532,743.5349,67800,43500,52900,47700
E02000533,671.3554,72200,42900,51700,47500
E02000534,645.1335,65400,36300,49200,40800
E02000535,499.827,56100,28400,40400,34300
E02000536,513.7221,54100,26800,41900,37300
E02000537,577.4935,61700,34200,47900,39100
E02000538,546.5588,53700,25700,39100,33200
E02000539,645.1192,61600,35200,46200,37600
E02000540,594.128,55500,27800,42600,33600
E02000541,529.2224,50000,23800,36100,31200
E02000542,554.385,52100,25500,39100,33700
E02000543,579.1023,58100,26500,42500,35700
E02000544,571.7471,62900,33300,47600,38400
E02000545,531.8725,54300,31400,41200,36000
E02000546,568.5123,54000,26300,41500,32600
E02000547,659.0864,50800,28800,36500,33300
E02000548,702.2835,48100,27400,35700,31700
E02000549,646.6638,54100,31600,39800,33300
E02000550,778.9742,51800,26000,36500,32000
E02000551,649.4737,45500,25400,34200,30700
E02000552,742.1301,56300,30100,41200,36600
E02000553,647.387,51900,29400,38100,35100
E02000554,354.7069,51700,25700,40600,33600
E02000555,355.5339,58600,31800,44500,38000
E02000556,298.4497,62000,31200,44000,39100
E02000557,326.5736,60100,31100,46300,40200
E02000558,322.744,47300,25900,35300,34300
E02000559,380.1073,80100,41500,53900,48500
E02000560,296.9501,63200,32500,45200,42500
E02000561,331.7924,72400,40800,53400,45500
E02000562,414.6201,67900,39400,49700,45900
E02000563,301.2014,55600,29000,42600,37200
E02000564,321.8727,68700,35800,47500,40900
E02000565,401.3141,57700,29300,42300,37800
E02000566,356.2869,82000,43000,55400,48100
E02000567,388.004,67200,36800,48700,43000
E02000568,344.1247,52700,30200,39300,36500
E02000569,494.3493,62100,36500,47800,41200
E02000570,453.6393,81400,46000,53600,51300
E02000571,313.0933,62000,34200,46600,40500
E02000572,262.8523,48000,24100,38900,32600
E02000573,261.576,81200,49200,56200,52700
E02000574,309.97,60600,33100,45400,42200
E02000575,322.5405,64100,36000,47100,44400
E02000576,365.5641,56700,33300,43800,42100
E02000577,335.2903,42200,22600,33500,31700
E02000578,409.6369,45100,23700,34400,31300
E02000579,402.315,54900,31400,44500,40600
E02000580,383.9879,52500,33400,43800,41400
E02000581,294.6151,44200,23200,34600,32600
E02000582,370.212,70200,48900,53400,53400
E02000583,408.6444,76500,55300,57100,58900
E02000584,556.3906,91100,56800,59100,54800
E02000585,479.8253,66500,41200,51100,51800
E02000586,478.6217,90300,55800,62000,59500
E02000587,452.8662,80000,52500,58800,56900
E02000588,514.4944,85700,63900,59400,54000
E02000589,412.2102,67000,40500,50600,52100
E02000590,422.7584,58800,40000,49100,49400
E02000591,377.7622,57000,32700,46700,43100
E02000592,398.7482,91100,55400,63700,50300
E02000593,388.1,73800,38700,58800,51100
E02000594,506.2441,70000,54100,52600,56400
E02000595,471.875,73900,47700,52800,51300
E02000596,450.5211,84400,53200,61700,58700
E02000597,508.1163,50200,31400,43000,40800
E02000598,551.2471,72600,43600,52600,43500
E02000599,582.2724,68600,41000,51800,45000
E02000600,445.2984,64100,37300,45900,41700
E02000601,530.8993,74600,42400,51900,46100
E02000602,478.5176,51000,29900,40100,35500
E02000603,526.1471,57600,33100,45400,37300
E02000604,529.0356,64900,39000,45300,41300
E02000605,546.8582,65600,40800,46200,39300
E02000606,394.5058,66900,41400,46500,46300
E02000607,449.3021,68800,38400,46200,44800
E02000608,446.6751,63900,34800,42900,41600
E02000609,588.1729,56600,34600,41800,36700
E02000610,437.674,60700,35500,39500,39600
E02000611,576.6981,69700,42600,48900,42900
E02000612,575.4608,65500,40700,43600,42600
E02000613,599.4756,66500,39600,46700,40400
E02000614,638.0553,57900,33200,45100,37500
E02000615,581.6701,61000,33300,43200,37600
E02000616,653.4693,65600,35600,43100,41800
E02000617,680.7989,57100,33600,40300,35900
E02000619,459.5957,53600,28100,39800,37400
E02000620,407.5467,59100,31100,42300,41900
E02000621,380.4456,62900,33800,44000,43700
E02000622,397.8969,62700,33800,41800,42800
E02000623,419.9164,50600,26300,37000,36000
E02000624,368.8926,59100,31600,40400,41000
E02000625,396.7532,53900,24900,38400,34600
E02000626,449.6442,45300,23100,33500,33500
E02000627,382.0274,59900,29600,41900,40100
E02000628,383.5079,47600,24000,33600,32900
E02000629,396.0965,71400,35900,46500,44500
E02000630,427.8197,73100,41200,47800,49500
E02000631,395.1678,65600,35400,47100,44000
E02000632,311.328,78200,37900,49300,47500
E02000633,354.8148,57300,26700,38500,37600
E02000634,365.709,61900,31400,41200,41600
E02000635,350.3597,64500,32600,43900,41500
E02000636,434.6884,90700,45500,57700,52500
E02000637,391.1947,71300,36100,45100,44900
E02000638,447.4106,57600,29500,39400,38500
E02000639,472.9769,51300,27100,35600,38400
E02000640,435.8256,75300,37000,48100,45200
E02000641,478.0596,49400,24000,36900,32700
E02000642,546.1996,62700,35500,43600,41400
E02000643,500.6808,62600,32900,46500,40900
E02000644,503.3223,64100,33700,44500,39300
E02000645,543.6211,64600,35400,44200,42300
E02000646,469.6127,66700,36300,45300,43400
E02000647,486.8981,62700,36700,44700,40300
E02000648,549.9304,48800,26400,37000,33200
E02000649,505.0087,59600,30200,44300,40100
E02000650,493.5397,55500,30400,39900,36200
E02000651,594.0003,61600,32300,42800,40500
E02000652,629.6475,59800,31500,48800,37400
E02000653,408.3478,57100,27200,39900,36700
E02000654,464.0697,44900,22800,32500,30900
E02000655,387.4147,52000,25700,37300,34600
E02000657,391.8805,51800,26000,38000,33800
E02000658,437.7866,57800,30800,40500,39100
E02000659,519.8259,65200,38200,45900,44600
E02000660,428.4512,61700,31300,41700,37400
E02000661,570.442,67200,39700,46900,48500
E02000662,455.2075,55700,28600,39000,34900
E02000663,505.0875,62200,36500,44900,40800
E02000665,484.7024,60400,34000,42900,38900
E02000666,443.1887,57500,33000,42200,36700
E02000667,440.3105,69500,42000,48000,42100
E02000668,563.3224,66700,37400,45200,39500
E02000669,518.5459,61500,30900,42900,37300
E02000670,542.5938,49000,26500,36000,34400
