OA21CD,SMEDebt
E00000362,975.29
E00000363,1099.56
E00000364,1386.78
E00000365,1698.22
E00000366,1237.06
E00000367,1776.97
E00000368,1559.16
E00000369,1529.74
E00000370,1583.26
E00000371,1696.14
E00000372,1580.88
E00000373,1623.6
E00000374,1509.16
E00000375,1587.87
E00000376,926.47
E00000377,1612.46
E00000378,1292.37
E00000379,1000.48
E00000380,1438.21
E00000381,1673.07
E00000382,1683.39
E00000383,1042.23
E00000384,1572.96
E00000385,1698.01
E00000386,877.34
E00000387,1090.64
E00000388,1061.73
E00000389,1126.98
E00000390,1456.04
E00000391,1168.3
E00000392,1316.75
E00000393,1417.27
E00000394,1152.91
E00000395,1309.65
E00000396,1206.28
E00000397,1433.15
E00000398,1377.73
E00000399,891
E00000400,1250.78
E00000401,1139.59
E00000402,1107.71
E00000403,1238.47
E00000404,986.17
E00000405,932.25
E00000406,1271.28
E00000407,1131.44
E00000408,1237.18
E00000409,1117.34
E00000410,1182.51
E00000411,1122.23
E00000412,1244.31
E00000413,1391.28
E00000414,1367.99
E00000415,1445.94
E00000416,1484.64
E00000417,1508.65
E00000418,1399.37
E00000419,1399.87
E00000420,1319.31
E00000421,1469.63
E00000422,1744.47
E00000423,2015.26
E00000424,1527.26
E00000425,1459.47
E00000426,1318.1
E00000427,1343.55
E00000428,1444.06
E00000429,1568.94
E00000430,1733.36
E00000431,1989
E00000432,1717.8
E00000433,1941.4
E00000434,2170.67
E00000435,1419.93
E00000436,1532.4
E00000437,1663.22
E00000438,1660.32
E00000439,2034.64
E00000440,1841.46
E00000441,1435.26
E00000442,2034.09
E00000443,1717.13
E00000444,2293.01
E00000445,1373.16
E00000446,1985.09
E00000447,1663.67
E00000448,1716.6
E00000449,1892.02
E00000450,1803.48
E00000451,4122.28
E00000453,3983.76
E00000454,3822.2
E00000455,2758.68
E00000456,3533.26
E00000457,2473.71
E00000461,1166.12
E00000462,4024.86
E00000463,3128.18
E00000464,2688.98
E00000465,3653.95
E00000466,3943.41
E00000467,4023.03
E00000468,3947.18
E00000469,2999.72
E00000470,3331.38
E00000471,3374.74
E00000472,3185.38
E00000475,3974.8
E00000476,6049.74
E00000477,5213.04
E00000478,3951.68
E00000479,3724.05
E00000480,3298.54
E00000481,1180.74
E00000482,2837.72
E00000483,2678.67
E00000484,2767.39
E00000485,3110.97
E00000487,2876.58
E00000488,2840.45
E00000489,2772.67
E00000490,1611.74
E00000491,1242.58
E00000492,2314.08
E00000493,1524.8
E00000494,1562.81
E00000495,1157.83
E00000496,1195.93
E00000497,1996.3
E00000498,1107.47
E00000499,1416.68
E00000500,1387.18
E00000501,1010.72
E00000502,1222.04
E00000503,1447.47
E00000504,1261.93
E00000505,930.38
E00000506,954.28
E00000507,972.89
E00000508,1429.36
E00000509,1127.92
E00000510,3161.41
E00000511,2262.88
E00000512,1772.07
E00000513,2569.78
E00000514,2663.48
E00000515,2791.81
E00000516,2758.81
E00000517,2480.54
E00000518,2353.81
E00000519,2405.59
E00000520,2086.37
E00000521,2101.84
E00000522,2217.07
E00000523,2689.01
E00000524,1275.97
E00000525,1567.4
E00000526,1524.36
E00000527,2007.16
E00000528,1544.42
E00000529,1479.13
E00000530,2641.13
E00000531,1951.08
E00000532,1338.73
E00000533,1492.9
E00000534,1544.33
E00000535,1402.48
E00000536,1513.86
E00000537,1482.75
E00000538,2396.84
E00000539,2020.86
E00000540,1995.39
E00000541,2542.15
E00000542,2685.05
E00000543,2586.88
E00000544,2432.93
E00000545,2908.41
E00000547,3229.44
E00000548,3149.9
E00000549,2974.24
E00000550,3419.6
E00000551,3636.95
E00000552,3377.78
E00000553,3533.08
E00000554,3035.83
E00000555,3373.4
E00000556,2527.47
E00000557,3882.22
E00000558,3936.29
E00000559,3275.19
E00000560,2182.03
E00000561,2065.19
E00000562,1700.34
E00000563,1770.35
E00000564,2081.17
E00000565,2023.95
E00000566,2944.58
E00000567,2656.62
E00000568,2472.92
E00000569,2178.69
E00000570,2324.46
E00000571,2016.43
E00000572,1709.63
E00000573,2403.88
E00000574,2047.74
E00000575,2061
E00000576,6208.17
E00000577,6017.47
E00000578,5943
E00000579,3886.58
E00000580,6209.21
E00000581,2398.53
E00000583,4202.02
E00000584,3482.21
E00000585,6544.24
E00000586,3072.43
E00000587,4182.78
E00000588,5662.38
E00000589,2756.94
E00000590,5905.24
E00000591,6364.78
E00000592,4842.28
E00000593,5750.05
E00000594,2717.46
E00000595,6277.58
E00000596,6189.91
E00000597,6159.44
E00000598,5622.49
E00000599,5569.88
E00000600,6164.72
E00000601,5416.91
E00000602,5551.4
E00000603,6677.24
E00000604,4834.72
E00000605,7062.74
E00000606,5517.08
E00000607,5354.07
E00000608,6093.54
E00000609,6395.15
E00000610,4862.41
E00000611,5603.31
E00000612,2977.88
E00000613,5365.28
E00000614,6005.5
E00000615,3337.13
E00000616,6325.64
E00000617,3304.48
E00000618,2903.41
E00000619,5569.49
E00000620,2950.35
E00000622,977.36
E00000624,1420.78
E00000625,1452.97
E00000626,984.22
E00000627,1690.96
E00000628,1358.42
E00000629,1051.9
E00000630,1244.29
E00000631,1490.71
E00000632,2011.75
E00000633,1694.45
E00000634,1711.94
E00000635,1856.58
E00000636,1534.98
E00000637,1624.05
E00000638,1598.09
E00000640,1452.02
E00000641,1783.49
E00000642,1513.28
E00000643,1490.5
E00000644,1699.21
E00000645,1460.28
E00000646,1700.84
E00000647,1656.66
E00000648,1664.75
E00000649,1373.6
E00000650,1524.19
E00000651,962.54
E00000652,1951.68
E00000653,1635.14
E00000654,1416.8
E00000655,956.84
E00000656,1253.58
E00000657,1441.38
E00000658,1700.44
E00000659,1659.23
E00000660,1322.98
E00000661,2379.08
E00000662,1651.35
E00000663,1489.79
E00000664,1181.19
E00000666,2423.3
E00000667,1785.25
E00000668,3816.28
E00000669,4626.57
E00000670,2709.81
E00000671,5259.62
E00000672,5162.27
E00000674,5118.44
E00000675,6210.24
E00000676,3859.46
E00000677,2231.79
E00000678,5700.71
E00000679,2363.24
E00000681,4465.26
E00000682,4370.75
E00000683,5423.75
E00000684,4690.38
E00000685,2829.86
E00000686,3440.71
E00000687,45308.3
E00000688,32283.99
E00000689,9732.51
E00000690,12518.41
E00000691,14367
E00000692,14783.9
E00000693,11701.28
E00000694,10998.66
E00000695,14143.21
E00000697,14684.91
E00000698,7002.14
E00000699,13240.81
E00000700,11592.37
E00000701,15826.53
E00000702,12627.82
E00000703,5877.74
E00000704,9395.87
E00000705,12516.79
E00000706,10295.59
E00000707,9227.95
E00000708,10006.39
E00000709,5271.38
E00000710,7877.68
E00000711,10494.35
E00000712,2335.59
E00000713,4913.47
E00000714,12427.75
E00000715,2927
E00000716,6668.77
E00000717,6153.48
E00000718,4964.83
E00000719,11630.03
E00000720,5220.56
E00000721,6486.38
E00000722,5810.26
E00000723,6669.84
E00000724,1045.06
E00000725,4175.76
E00000726,4163.35
E00000727,3889.87
E00000728,3833.88
E00000730,3969.53
E00000732,4664.22
E00000737,1250.52
E00000738,1074.77
E00000739,1606.36
E00000740,967.84
E00000742,1105.72
E00000743,1085.29
E00000745,1114.95
E00000746,1354.66
E00000747,1347.87
E00000748,1314.12
E00000749,1245.6
E00000750,1597.76
E00000751,1204.11
E00000752,939.37
E00000754,802.38
E00000755,1351.49
E00000756,1083.67
E00000757,1267.75
E00000758,1399.5
E00000761,482.05
E00000763,1087.13
E00000767,4578.85
E00000768,3107.81
E00000769,2225.86
E00000770,1345.66
E00000771,1956.65
E00000772,1705.17
E00000773,1820.21
E00000774,1373.14
E00000775,1534.83
E00000776,1622.88
E00000777,1147.24
E00000778,1732.99
E00000779,1490.61
E00000780,8236.89
E00000781,1550.52
E00000782,5056.19
E00000783,1309.9
E00000785,4965.08
E00000786,1320.38
E00000787,1555.57
E00000788,1726.87
