LSOA21CD,ViolenceSex_1kPersons_15plus,Robbery_1kPersons_15plus,BikeTheft_1kPersons_15plus,Burglary_1kPersons_15plus,Shoplifting_1kPersons_15plus,TheftPerson_1kPersons_15plus,VehicleCrime_1kPersons_15plus,TheftOffences_1kPersons_15plus,CrimDamageArson_1kPersons_15plus,Drugs_1kPersons_15plus,PossessionWeapons_1kPersons_15plus,PublicOrder_1kPersons_15plus,TotExclASB_1kPersons_15plus,ASB_1kPersons_15plus
E01000556,61.1,9.35,1.79,13.93,2.39,7.17,22.29,47.57,11.15,9.35,1,12.74,167.39,42.79
E01000557,12.48,2.04,1.13,6.13,0,0.91,12.03,20.2,1.82,1.13,0.45,2.72,45.17,22.93
E01000558,35.42,2.82,4.39,13.17,1.88,2.51,24.45,46.39,11.29,6.9,0,6.27,125.71,33.54
E01000559,17.22,2.04,1.17,6.13,9.63,0.88,11.67,29.48,2.33,2.63,0.88,2.92,68.87,61.87
E01000560,13.64,0.82,1.09,12.82,1.91,0.82,18.82,35.46,4.36,2.46,0.27,3,69.02,24.82
E01000561,24.67,3.78,2,11.78,0.44,7.56,21.56,43.34,6.45,4.22,0.67,7.78,100.24,68.68
E01000562,6.42,0.28,0,4.19,0.28,0,5.86,10.33,0.56,1.4,0,2.51,24.28,5.02
E01000563,19.63,1.05,0,4.71,0.26,0.26,12.04,17.28,2.09,2.36,0.26,3.4,51.05,16.49
E01000564,35.43,1.98,0.85,4.25,4.53,2.27,11.62,23.52,6.8,5.95,0.57,6.52,93.25,17.01
E01000565,14.53,0.29,0.58,4.07,0,0.58,4.94,10.17,3.49,0.58,0,4.65,40.4,6.98
E01000566,11.41,0.28,0.28,2.78,0,0,5.84,8.9,2.5,0.28,0,0.56,26.15,3.06
E01000567,14,0.95,0.32,4.77,0,0.64,5.09,10.82,2.86,1.59,0,3.82,36.27,15.27
E01000568,108,2.21,2.03,5.16,2.58,4.98,23.59,38.34,18.25,5.16,0.55,21.56,221.9,46.45
E01000569,16.91,0.86,0,2.01,0,0.29,10.03,12.32,1.72,0.86,0,1.72,36.97,14.9
E01000570,19.63,0.54,0.27,1.88,0,0.54,7.8,10.49,4.3,1.61,0.27,4.03,47.34,23.94
E01000571,37.21,4.47,0.24,4,0,2.12,8.01,14.37,5.89,7.77,0.24,4.24,78.9,22.14
E01000572,12.98,0.91,0,2.11,0,0.6,9.96,12.67,3.92,0.91,0,0.6,35.01,6.94
