LSOA21CD,ViolenceSex_1kPersons_15plus,Robbery_1kPersons_15plus,BikeTheft_1kPersons_15plus,Burglary_1kPersons_15plus,Shoplifting_1kPersons_15plus,TheftPerson_1kPersons_15plus,VehicleCrime_1kPersons_15plus,TheftOffences_1kPersons_15plus,CrimDamageArson_1kPersons_15plus,Drugs_1kPersons_15plus,PossessionWeapons_1kPersons_15plus,PublicOrder_1kPersons_15plus,TotExclASB_1kPersons_15plus,ASB_1kPersons_15plus
E01000720,44.99,5.06,0,8.25,1.06,0.53,19.7,29.55,25.02,8.52,1.33,6.92,128.58,29.55
E01000721,52.42,2.42,1.52,8.48,0.3,0.61,14.55,25.45,23.64,10.91,3.03,11.21,137.88,24.85
E01000722,35.95,1.69,0,7.48,41.5,1.21,23.65,73.84,13.75,7,1.69,11.1,154.67,43.92
E01000723,6.33,0.33,0,1.67,0,0,5,6.67,2,0.33,0.33,0.67,18,3.67
E01000724,44.99,1.41,0.28,11.04,0,0,15,26.32,12.45,5.66,1.13,6.51,105.84,24.05
E01000725,37.31,2.04,0.51,11.24,5.88,1.28,12.52,31.43,10.99,3.32,0.26,6.9,99.92,39.35
E01000726,21.95,0.33,0,4.59,0.33,0,19,23.91,4.59,1.64,0,2.62,59.3,20.64
E01000727,34.04,4.9,0.77,13.93,27.08,1.81,14.44,58.03,10.83,5.42,1.03,9.8,128.18,35.07
E01000728,39.44,1.09,0.82,7.62,20.4,1.63,29.92,60.38,15.77,6.8,0.27,11.7,146.05,41.34
E01000729,52.16,1.73,0,5.69,31.64,0.49,14.09,51.91,13.35,5.19,1.24,9.39,147.33,28.43
E01000730,48.97,2.94,1.07,7.49,2.94,1.87,11.77,25.15,14.72,5.89,1.61,7.76,114.26,41.47
E01000731,25.64,0,0,6.33,0,0.33,15.65,22.31,11.32,4,0,4,76.92,6.33
E01000732,8.8,0.88,0,4.4,0,0,11.45,15.85,2.05,1.47,0,1.17,32.28,6.16
E01000733,22.61,1.09,0.27,3,0.27,0,15.53,19.07,6.81,4.09,0.27,7.63,67.55,25.88
E01000734,17.09,0,0,2.01,0,0,7.37,9.38,3.02,1.68,0,1.68,36.2,6.37
E01000735,55.02,1.5,0.3,5.98,0.9,0.6,12.86,20.63,12.56,5.68,1.5,10.17,112.14,19.44
E01000736,38.85,1.4,0.28,3.91,0,0.28,6.71,11.18,8.11,3.63,0,5.87,72.95,30.47
E01000737,49.84,3.61,0.66,7.87,0,0.98,13.44,22.95,21.31,8.53,0.66,10.82,128.54,56.07
E01000738,38.22,1.83,0.26,8.64,7.33,0.79,18.06,35.08,14.4,8.12,0.79,12.3,120.69,23.56
E01000739,55.47,3.4,0.85,11.04,0.85,1.98,14.72,29.43,18.96,6.23,1.41,9.62,135.55,28.02
E01000741,24.24,4.2,0.23,7.46,2.56,1.86,10.96,23.08,4.43,6.99,0.47,4.2,71.1,18.18
E01000742,24.82,1.85,0.41,5.33,0,1.23,23.38,30.35,5.33,3.28,0.21,4.92,79.78,19.69
E01000743,34,4.13,0.23,8.5,48.47,0.69,10.57,68.45,7.81,5.05,0.69,7.81,130.94,22.74
E01000744,39.83,2.29,0.29,3.44,2.01,0.57,14.04,20.35,6.3,6.59,0.57,9.74,91.12,88.26
E01000745,21.58,3.28,0.7,7.04,0,1.17,22.76,31.67,6.57,5.87,0.23,5.4,78.83,22.05
E01000746,25.62,4.74,0.22,6.46,0,2.15,10.55,19.38,6.89,4.74,1.29,4.74,72.99,15.93
E01000747,30.27,0.66,0,5.52,1.1,0.22,12.59,19.44,6.63,1.33,0,5.3,76,32.48
E01000748,17.15,0.49,0,4.9,0.98,0.25,10.54,16.66,7.6,0.49,0,3.43,49.25,16.17
E01000749,13.12,0,0,3.86,0.26,0.51,8.23,12.86,3.34,0,0.51,3.86,37.55,12.34
E01000750,29.3,0.91,0,0.3,0,0.6,6.95,7.85,6.04,2.11,0,3.62,55.57,16.61
E01000751,58.52,1.01,0.2,2.02,4.04,2.22,6.05,14.53,7.87,2.83,0.61,16.95,109.98,18.57
E01000752,14.14,0.74,0.25,2.23,0.74,0,7.94,11.16,4.22,1.49,0,5.46,45.39,17.86
E01000753,7.36,0,0,2.07,0,0.23,5.06,7.36,1.84,0.69,0.23,0.69,19.54,8.73
E01000754,18.73,0.76,0.51,3.54,8.35,0.76,7.34,20.5,6.33,2.53,0,5.82,61.49,17.97
E01000755,4.35,0.27,0,3.26,0,0,6.79,10.06,1.9,0.27,0.27,1.9,19.57,5.16
E01000756,40.92,1.03,0.26,2.57,16.21,1.29,5.66,25.99,4.37,2.83,0,7.21,90.59,15.7
E01000757,8.01,0.28,0,1.93,0.28,0,5.25,7.46,0.83,0.55,0,0.83,19.07,5.53
E01000758,8.32,0.31,0.31,1.54,0.31,0,6.16,8.32,3.08,0.31,0.31,1.23,23.11,8.32
E01000759,20.37,1.61,0.54,2.68,0,0.27,16.08,19.56,4.29,1.88,0.27,1.88,51.45,12.59
E01000760,14.58,1.08,0,4.05,5.13,0.27,16.74,26.19,5.13,0.54,0.54,5.67,60.74,8.64
E01000761,14.83,0.57,0.29,2.28,0,0.29,11.41,14.26,2.57,0.29,0.57,2.28,37.36,9.98
E01000762,11.59,0.77,0,2.83,0.77,0,11.07,14.68,3.61,2.32,0,3.09,40.43,9.01
E01000763,11.55,0.61,0.61,2.74,0.61,0,6.08,10.03,4.56,3.65,0.3,4.86,40.74,11.25
E01000764,19.34,1,0,2.76,0.25,0.25,8.79,12.05,4.77,2.01,0.75,4.02,48.97,13.31
E01000765,26.87,4.52,0.25,9.29,9.54,2.76,15.82,37.67,5.52,2.76,0.25,8.04,94.93,12.31
E01000766,4.54,1.01,0,2.52,0,0,7.57,10.09,1.51,1.01,0,1.01,20.17,2.27
E01000767,5.97,0.81,0.27,2.71,0.81,0,11.67,15.47,2.44,2.44,0.27,2.17,32.56,4.88
E01000768,12.29,0.59,0,3.22,0,0.29,15.8,19.31,1.76,2.05,0.29,1.17,39.49,21.36
E01000769,187.02,0.95,0.63,4.1,0,2.52,6.62,13.88,23.34,1.89,0,23.02,269.34,18.92
E01000770,21.49,1.67,0.28,7.81,2.79,0.56,10.33,21.77,0.84,1.12,0.56,3.91,55.82,22.05
E01000771,13.73,2.69,0.54,3.23,1.61,1.08,13.19,19.65,2.96,1.35,0,4.31,46.56,14
E01000772,9.61,0,0,3.74,0.27,0,8.81,12.82,1.87,0.27,0.27,0.53,29.1,3.74
E01000773,7.47,0.86,0.29,6.61,0,0,17.52,24.41,2.59,0.29,0,2.3,44.23,8.9
E01000774,17.04,2.74,0,7,0.3,0,11.26,18.56,4.56,2.43,0.61,3.96,57.82,27.39
E01000775,39.13,4.35,0.59,8.89,13.44,0.2,11.66,34.78,5.73,3.95,0.79,8.89,106.32,21.74
E01000777,12.14,0.85,0.85,3.11,0.28,0.56,11.01,15.81,1.98,1.69,0.56,1.69,38.96,11.01
E01000778,33.01,3.3,0,6.33,15.13,1.1,13.2,35.76,4.4,2.2,0.83,6.05,88.3,26.96
E01000779,28.09,2.5,0,11.55,17.48,1.25,18.1,48.38,8.74,9.36,0.31,9.36,117.36,20.91
E01000780,42.27,0.84,0.84,5.32,0,0.56,14,20.72,8.96,5.6,0.84,7.84,96.3,33.03
E01000781,33.69,0.9,0,3.01,0,0,5.11,8.12,3.91,2.11,0.3,3.31,58.95,9.62
E01000782,58.94,2.43,0.61,7.9,5.47,1.22,13.97,29.16,19.14,6.08,0.3,12.76,140.35,45.26
E01000783,41.08,0.58,0.29,3.5,0,0.29,9.91,13.99,7.28,2.62,0.58,7.28,78.09,26.22
E01000784,16.85,0,0,3.55,0,0.89,9.16,13.6,4.14,0.89,0,0.3,36.95,4.14
E01000785,41.4,1.19,0.3,7.45,18.17,0.89,14.3,41.1,8.34,3.57,0.3,13.1,113.47,44.97
E01000786,22.5,0.57,0,1.99,19.65,0,5.98,27.62,4.27,1.71,0,3.13,66.06,23.92
E01000787,19.02,1.46,0.29,3.8,0,0,10.53,14.63,5.85,0.88,0,2.93,49.73,23.99
E01000788,27.89,2.23,0.28,8.64,1.95,2.51,10.6,23.98,9.2,7.53,1.12,10.88,90.63,49.08
E01000789,61.51,1.35,0.27,5.4,0,0.27,13.76,19.69,19.42,2.7,0.27,7.01,123.01,35.07
E01000790,75.88,7.79,3.15,16.14,65.49,12.8,18,115.58,24.3,7.79,1.86,28.76,297.59,92.95
E01000791,10.11,1.12,0.28,8.14,0,0,8.42,16.85,5.05,1.12,0,0.56,37.07,8.42
E01000792,49.57,1.23,0,4.31,0.62,1.23,7.08,13.24,13.24,2.77,1.23,6.16,94.53,27.4
E01000793,6.29,0.27,0,3.28,0,0,4.38,7.66,2.46,0.55,0,0.82,19.15,3.56
E01000794,9.01,0.28,0,3.1,0,0,5.07,8.17,1.97,0.85,0,0.56,21.97,3.94
E01000795,21.2,0.66,0,5.3,0,0.33,9.27,14.9,6.95,4.31,0,2.32,55.31,13.58
E01000796,54.58,0.6,0.3,3.62,0,0.3,11.76,15.98,14.17,2.71,0.6,9.95,108.25,41.61
E01000797,35.84,3.86,2.48,15.99,3.03,1.65,35.29,58.45,11.03,2.21,0,10.2,131.5,28.12
E01000798,70.79,6.25,1.99,9.67,11.09,1.14,17.06,40.94,14.22,11.37,0.85,19.05,184.23,34.69
E01000799,63.52,11,1.25,11,31.26,6.25,18.51,68.28,11.75,5,0.75,22.01,200.33,69.53
E01000800,41.72,1.84,0.26,7.61,3.67,1.05,20.73,33.32,9.45,7.08,1.84,9.97,120.43,44.6
E01000801,32.58,2.33,0.58,4.95,11.64,0.58,19.2,36.95,9.02,1.45,0,5.24,98.33,31.42
E01000802,31.24,3.12,1.68,4.57,1.68,1.44,19.71,29.08,10.09,2.64,0.96,6.73,91.57,17.06
E01000803,27.37,1.9,0.27,6.77,0,0.54,18.97,26.55,4.34,1.9,0,5.69,74.24,12.74
E01000804,22.31,0.31,1.22,20.78,1.22,0.31,27.81,51.34,4.89,1.83,0,3.36,89.84,14.97
E01000805,27.97,1.31,0.52,7.84,0.78,1.05,19.87,30.06,5.49,2.09,0.52,4.97,79.47,21.7
E01000806,30.37,3.49,0.81,5.64,2.69,2.15,13.17,24.46,8.6,4.03,0.54,9.41,87.08,32.79
E01000807,29.17,1.11,1.67,8.89,3.61,0.56,12.22,26.95,8.33,4.72,1.11,6.39,86.95,28.06
E01000808,9.15,0.57,0,3.43,0,0,11.15,14.58,2.29,1.14,0,1.14,30.87,6.29
E01000809,5.75,0.29,0,6.04,0,0,6.04,12.07,2.59,1.72,0,0.86,25.3,7.19
E01000810,10.53,0,0,2.34,0.29,0.29,9.07,11.99,0.88,0.59,0,0,26.91,7.02
E01000811,8.43,0.34,0.34,3.04,0,0,8.43,11.81,4.05,1.69,0,2.02,31.71,14.84
E01000812,19.93,0,0.27,7.54,0.81,0.54,11.85,21.01,3.5,2.15,0,4.04,56.84,14.81
E01000813,19.52,2.87,2.58,5.74,14.35,1.72,11.48,35.88,7.46,3.16,0.29,7.18,94.14,14.35
E01000814,8.57,1.71,0,5.43,0,0,7.71,13.14,1.14,0.57,0,0.57,25.42,10
E01000815,7.06,0.29,0,2.65,0,0,7.36,10,2.35,1.77,0,0.59,24.12,5.59
E01000816,17.58,0,0.29,1.44,0,0,11.24,12.97,5.47,1.44,0.29,4.32,45.53,23.34
E01000818,8.49,0,0,6.17,0,0,7.97,14.14,1.54,0.51,0,1.8,28.55,7.2
E01000819,37.88,1.93,0.48,5.31,3.62,1.45,14.96,25.82,2.65,5.55,0.24,7.48,89.76,15.44
E01000820,39.12,1.1,0.83,3.86,4.41,0.55,22.31,31.96,11.85,4.41,0.55,11.02,106.34,29.75
E01000822,22.06,0.57,1.43,2.01,0.29,0.29,13.18,17.19,2.87,1.43,0,2.29,53.87,8.02
E01000823,26.24,0.79,0,3.94,1.84,0.79,13.38,19.94,7.08,2.62,0,6.3,69.53,7.35
E01000824,33.38,5.14,0.32,6.74,78.31,1.28,16.37,103.02,10.91,6.74,0.64,8.99,177.16,26
E01000825,21.66,0.27,0.27,4.28,4.28,0.27,12.3,21.39,4.28,3.74,0.27,3.74,63.64,36.9
E01000826,10.36,0,0,4.09,0.27,0.55,12.27,17.17,3.27,0.82,0,1.36,36.53,3
E01000827,11.39,0.76,0,2.78,2.53,0.25,12.91,18.47,2.78,0.76,0.51,2.53,45.8,12.4
E01000828,25.82,1.04,0,3.39,0.78,1.3,10.7,16.17,2.61,1.57,0.52,4.96,58.17,13.3
E01000829,16.74,1.29,0,2.58,0,0.26,4.89,7.73,2.58,2.06,1.55,1.55,36.83,5.67
E01000830,8.11,0.28,0,3.35,0,0.56,12.58,16.49,1.12,0.84,0,0.56,30.47,4.19
E01000831,5.7,0.26,0,2.59,0,0.26,6.22,9.07,1.04,0,0,1.81,19.96,5.44
E01000832,8.23,1.42,1.99,3.41,1.7,0,7.95,15.05,2.84,0.57,0,2.27,33.78,8.23
E01000833,7.64,0,0,3.36,0.31,0.31,11,14.97,1.53,0,0,0.31,27.81,2.75
E01000834,3.04,0,0,0,0,0,3.38,3.38,0.34,0,0,0.68,13.53,1.35
E01000835,27.45,2.52,1.01,10.83,26.95,5.29,9.07,53.14,4.78,2.01,0,9.82,117.1,27.2
E01000836,3.63,0,0,2.31,0,0.33,6.27,8.91,2.31,0,0,0.33,17.16,1.65
E01000837,15.26,1.15,0,5.18,0,1.15,10.94,17.27,2.3,1.73,0.29,3.74,44.34,6.91
E01000838,14.91,1.22,0.61,2.43,0,0,15.52,18.56,2.13,1.22,0,1.83,41.69,6.09
E01000839,6.79,0,0.31,0.93,0,0,12.65,13.88,1.23,0.31,0,0.93,25.29,2.47
E01000840,13.48,0.28,0,2.75,0,0.28,11,14.03,1.93,2.2,0,1.65,36.86,4.95
E01000841,10.53,0.26,0,6.42,1.54,0.51,10.27,18.75,2.57,0.77,0,3.08,39.8,7.19
E01000842,11.53,1.18,2.37,9.16,0,4.73,16.85,33.11,2.07,1.77,0,2.37,56.76,15.08
E01000843,17.68,2.43,4.51,10.75,0.35,7.63,13.17,36.4,4.51,2.77,0.69,5.55,78.34,58.24
E01000844,13.84,1.9,1.9,4.07,0,2.71,10.85,19.54,1.9,1.09,0,1.9,43.69,11.67
E01000845,28.04,4.38,3.8,7.59,0.29,9.05,15.48,36.22,6.43,1.75,0.58,8.76,93.17,21.32
E01000846,24,4.31,0.62,7.69,0,9.54,15.07,32.92,4.61,1.23,0.62,3.69,77.83,20.92
E01000847,28.34,3.06,1.94,7.5,0.83,3.06,23.89,37.22,5,0.56,0.56,3.06,86.95,21.39
E01000848,18.23,1.74,4.63,9.55,0.29,8.68,32.69,55.83,4.05,9.55,0.29,5.21,103.57,55.83
E01000849,11.36,2.76,2.76,9.21,5.22,13.82,11.36,42.38,3.07,0.92,0,6.14,73.71,20.27
E01000850,103.93,56.4,32.76,33.03,78.15,389.15,28.74,561.84,20.68,20.14,1.34,46.46,1093.06,151.47
E01000851,42.31,15.05,10.38,29.33,3.37,72.93,7.53,123.55,12.72,3.89,0.26,10.9,323.66,90.58
E01000853,32.39,7.59,10.8,12.84,11.09,30.35,4.09,69.17,9.63,4.96,1.46,14.88,239.31,91.64
E01000855,116.86,48.35,33.52,35,33.22,310.84,33.81,446.39,24.02,27.29,4.15,39.15,965.74,183.89
E01000856,57.15,11.43,7.18,11.43,15.95,24.46,9.84,68.85,9.3,28.18,1.06,19.94,206.01,84.8
E01000857,10.99,1.22,2.14,4.27,1.22,3.97,17.1,28.7,2.75,0.92,0,3.36,53.43,21.37
E01000858,79.48,15.9,7.19,10.02,6.53,60.97,16.77,101.47,6.97,27.65,1.74,13.94,281.33,103.21
E01000859,23.68,2.92,6.72,9.94,11.11,9.94,21.63,59.34,6.43,2.92,0.29,7.6,128.33,25.72
E01000860,23.33,4.44,4.44,5.92,0,7.04,11.11,28.51,4.07,2.96,0.74,3.33,76.28,22.96
E01000861,64.36,12.41,6.93,17.03,2.6,47.91,18.47,92.93,13.85,16.16,1.44,18.47,260.61,38.38
E01000862,41.82,7.4,7.91,19.13,5.36,76.76,24.48,133.62,7.91,19.89,1.02,10.46,270.81,61.2
E01000863,315.06,91.99,30.39,34.74,113.16,340.03,31.48,549.8,40.16,99.59,6.51,94.71,1446.4,289.28
E01000866,29.79,3.94,6.13,7.89,0.88,7.01,11.17,33.08,6.57,4.16,0.66,5.48,90.91,17.74
E01000867,25.43,3.33,4.28,9.98,2.61,7.13,8.32,32.32,6.18,5.94,0.24,3.57,82,61.08
E01000868,26.54,1.05,1.58,4.2,0.79,1.31,8.67,16.55,5.25,11.82,1.05,3.42,72.52,38.1
E01000869,22.53,3.83,1.7,7.44,0,5.74,13.6,28.48,5.31,5.1,0.21,2.98,76.09,45.06
E01000870,35.91,2.39,3.72,7.71,1.6,4.26,16.23,33.52,12.24,2.93,0.8,6.65,102.41,31.39
E01000871,15.69,1.86,1.33,9.84,18.89,1.86,19.95,51.87,2.66,0.53,0.27,4.26,92.84,32.72
E01000872,34.47,5.83,3.4,16.02,13.11,5.1,26.7,64.33,9.22,3.88,0.73,9.71,142.01,41.02
E01000873,26.42,0.82,1.09,6.54,0,0.27,18.52,26.42,6.54,1.63,0,5.99,75.72,10.62
E01000874,11.9,1.49,1.49,12.2,2.08,1.49,8.63,25.89,2.38,1.49,0.3,4.17,56.84,52.67
E01000875,22.17,2.11,1.32,4.49,0,1.58,13.99,21.37,5.54,3.69,0.26,4.49,66.24,38
E01000876,25.12,1.79,0.9,5.16,0,1.79,9.65,17.5,7.63,2.47,0,4.94,64.61,39.71
E01000877,20.53,3.27,1.79,9.22,0.3,3.57,19.04,33.92,5.95,2.38,0,9.82,80.94,47.02
E01000878,12.34,0,0.53,6.56,0,0.53,9.71,17.33,2.1,0.26,0.53,0.53,36.76,7.35
E01000879,10.84,3.73,2.03,7.46,7.46,3.73,15.93,36.6,4.07,1.36,0.34,6.1,67.1,32.87
E01000880,15.35,0.64,0.64,11.51,0,1.6,27.5,41.26,5.44,4.48,0,2.56,75.48,8.32
E01000881,34.54,2.88,2.24,16.63,0.96,8.95,23.35,52.13,6.4,0.64,0,6.72,120.89,12.79
E01000882,3.98,1.22,1.53,3.98,0,6.12,16.22,27.85,2.14,0.61,0,1.53,40.1,21.73
E01000883,31.74,8.91,5.85,15.87,17.26,40.37,15.31,94.67,13.36,10.3,0.56,9.75,199.64,44.27
E01000884,7.38,0.31,0,7.68,0,0.61,23.98,32.28,5.53,0.31,0,0.61,50.1,5.23
E01000885,6.78,1.02,0,8.82,0,0.34,22.05,31.21,1.02,1.02,0,1.02,44.44,5.77
E01000886,19.96,4.43,3.48,6.34,0,2.22,16.15,28.19,5.7,3.48,0.95,4.75,75.39,16.79
E01000887,29.21,4.17,6.26,8.35,2.38,11.92,12.22,41.13,6.56,3.58,0.6,15.5,120.42,37.56
E01000888,39.34,6.31,6.01,13.21,0,4.2,20.42,43.84,6.61,5.4,1.5,8.41,119.21,29.13
E01000889,30.51,1.98,2.98,5.71,0,1.24,8.19,18.11,7.19,1.98,0,4.71,71.19,27.04
E01000890,23.39,1.38,2.41,6.19,0.34,1.38,5.16,15.48,5.16,4.47,0,6.19,61.92,30.27
E01000891,45.86,4.12,5.59,13.52,5.29,5,10.88,40.27,8.23,7.06,0.59,11.17,129.05,24.11
E01000892,9.91,2.42,1.45,7.73,0,6.04,11.36,26.58,3.14,0.97,0,1.45,46.39,11.6
E01000893,15.29,4.89,4.89,6.12,0,5.51,14.37,30.89,2.45,2.14,0,4.89,61.17,11.62
E01000894,17.3,5.65,4.59,7.06,19.06,8.83,20.48,60.02,4.94,1.41,0,6.71,102.74,21.54
E01000895,28.83,7.89,4.62,9.25,45.15,13.06,12.51,84.59,6.8,0.27,0.54,11.15,177.6,48.41
E01000896,13.55,3.91,6.02,6.62,2.71,8.73,20.77,44.85,7.22,0.6,0,7.22,90.31,37.33
E01000897,7.39,1.77,2.37,7.69,0.59,4.73,18.92,34.29,3.55,0.59,0.3,3.25,54.1,11.83
E01000898,76.07,9.28,10.87,11.13,31.8,35.78,14.58,104.16,12.46,4.77,1.06,25.44,278.29,41.88
E01000899,26.25,2.79,1.96,10.89,0,3.07,28.21,44.13,6.42,1.68,0.28,6.42,99.15,26.53
E01000900,36.41,2.51,6.28,7.28,0,7.03,9.79,30.39,5.27,7.28,0.25,4.52,94.68,31.64
E01000901,28.25,1.68,3.59,6.7,1.44,8.62,10.77,31.12,5.98,4.79,0.48,9.34,90.25,24.18
E01000902,34.38,1.86,2.17,4.96,0,4.34,8.67,20.13,1.86,3.72,0.93,9.29,78.67,17.66
E01000903,20.64,2.43,5.46,7.28,0,6.68,16.09,35.51,7.89,2.73,0,6.07,80.13,14.87
E01000904,45.05,4.69,4.89,7.54,4.69,18.55,10.6,46.27,8.15,10.19,0.41,11.01,141.26,26.91
E01000905,38.92,3.82,2.87,8.36,0.48,4.06,5.97,21.73,6.92,4.3,0.72,6.69,88.82,44.89
E01000906,28.98,4.93,5.8,11.01,0.29,19.12,23.76,59.98,6.37,3.48,0.29,8.4,121.7,15.94
E01000907,60.35,2.12,0.91,7.89,0,1.82,17.29,27.9,14.86,4.55,0.61,15.16,134.96,65.21
E01000908,10.77,0.83,1.38,3.59,0,0.55,9.66,15.19,4.97,0.83,0.28,3.31,39.21,13.81
E01000909,16.38,3,3.28,8.46,1.91,4.91,16.11,34.67,5.46,1.91,0.27,4.1,68.25,13.1
E01000910,13.17,1.28,3.21,6.42,0,3.53,19.27,32.44,6.42,1.28,0,2.89,64.57,16.7
E01000911,28.95,3.92,0.9,5.13,0.3,1.51,9.35,17.19,5.43,0.9,0.3,5.13,64.53,19.9
E01000912,71.71,12.62,9.4,8.59,1.07,12.09,13.43,44.58,10.21,5.64,0.27,15.85,168.39,60.16
E01000913,17.38,2.59,1.3,12.97,1.3,3.63,30.09,49.28,3.89,2.07,0,7.52,92.34,35.27
E01000914,163.71,33.46,26.82,47.01,32.91,242.79,116.14,465.68,35.12,14.66,2.77,51.16,1124.65,262.15
E01000915,45.63,2,4.28,5.99,0,10.84,6.27,27.38,12.26,14.26,1.43,21.96,149.73,27.09
E01000916,54.33,8.66,9.31,28.14,12.99,38.53,31.39,120.35,10.17,7.58,1.08,13.42,280.09,74.89
E01000917,21.58,2.1,5.79,6.84,2.63,21.84,2.63,39.73,6.05,3.68,0.53,8.42,103.41,23.68
E01000918,97.47,18.58,16.17,27.75,7.21,141.17,95.06,287.37,22.51,9.62,1.53,26.44,674.39,184.66
E01000919,154.87,76.61,29.55,49.52,106.16,617.55,35.84,838.63,35.57,68.4,3.83,51.99,1688.49,245.43
E01000920,36.49,5.21,8.94,13.16,8.94,22.34,9.68,63.05,9.68,5.71,0.5,14.64,169.28,64.78
E01000921,50.59,7.77,6.66,14.42,23.52,10.87,10.65,66.12,8.65,4.44,0.22,12.2,156.41,45.93
E01000922,47.66,4.79,3.92,9.36,6.75,4.79,6.09,30.9,9.79,5.22,1.31,16.32,131,65.5
E01000923,26.08,0.29,3.77,6.08,0.29,2.61,13.62,26.37,3.48,2.03,0.87,6.37,74.76,14.49
E01000924,16.8,2.1,3.15,6.83,1.58,2.63,11.29,25.47,3.15,3.41,0.53,4.73,62.23,16.02
E01000925,17.65,1.52,3.96,3.65,0,1.52,5.78,14.91,3.04,3.96,0.61,4.26,52.03,38.04
E01000926,32.77,3.22,4.1,9.07,1.46,5.56,13.46,33.64,8.19,7.31,0.29,7.9,107.07,32.47
E01000927,46,8.44,13.61,10.89,12.52,12.25,12.25,61.51,8.44,8.71,0.54,15.79,170.11,38.92
E01000928,42.22,6.03,6.79,9.8,55.29,7.29,12.82,91.98,7.54,8.8,0.75,11.81,183.7,20.1
E01000929,23.08,0.71,0.48,8.57,0.48,1.43,10.47,21.42,3.33,3.09,0.71,2.62,59.5,7.38
E01000930,43.48,6.86,3.12,16.23,19.14,21.43,16.02,75.93,11.86,4.58,0.42,21.01,185.35,41.19
E01000931,67.13,9.47,2.37,20.66,90.16,21.09,20.01,154.28,12.05,3.66,1.51,21.3,295.21,104.57
E01000932,7.12,0.92,0.92,2.3,0,1.15,3.68,8.04,0.92,0.92,0,1.38,20.67,6.2
E01000933,42.07,7.61,5.23,14.26,14.02,16.16,26.62,76.29,11.65,3.09,1.19,15.92,189.9,78.43
E01000934,29.88,3.7,1.42,7.4,14.51,4.27,11.95,39.55,5.12,2.28,0,7.11,93.9,28.17
E01000935,44.11,3.96,1.7,17.81,2.54,2.83,17.81,42.7,7.63,3.11,0.85,9.61,120.46,47.79
E01000937,22.9,6.59,13.88,7.29,1.73,22.21,10.06,55.17,9.72,16.31,0.69,10.76,142.26,48.58
E01000938,82.36,13.93,5.75,14.23,6.36,44.21,20.29,90.83,15.74,9.69,3.63,21.5,307.02,80.54
E01000939,126.06,33.77,15.43,18.92,29.7,107.72,27.95,199.72,17.47,34.65,4.08,35.52,573.55,222.43
E01000941,30.67,9.49,6.94,7.67,0.73,22.27,10.22,47.83,6.94,10.95,0.73,7.67,127.05,69
E01000942,34.69,9.53,7.62,9.15,4.57,47.27,8,76.62,9.15,11.44,0,13.72,255.77,131.88
E01000943,25.7,5.42,3.07,9.67,0.24,21.93,6.37,41.27,4.95,7.55,0.71,7.31,136.78,108.71
E01000944,19.37,2.02,0.29,1.73,0,2.31,2.02,6.36,3.76,1.73,1.16,4.34,42.2,13.87
E01000946,55.73,14.07,7.73,12.42,4.41,61.25,16.28,102.08,17.93,8.28,1.1,17.66,253.55,58.49
E01000947,111.5,25.29,11.08,15.89,20.47,125.23,25.77,198.43,17.34,14.45,2.89,37.33,491.51,170.02
E01000948,37.68,4.68,5.5,9.63,1.38,10.18,23.66,50.34,10.45,5.23,0.55,9.35,130.11,100.12
E01000949,10.61,0.27,1.09,4.62,0,0.27,7.62,13.6,1.9,1.63,0,1.9,32.91,9.52
E01000951,17.51,1.19,0.89,8.01,0,3.56,9.2,21.67,2.97,2.37,0.89,5.05,53.43,32.65
E01000952,43.27,3.04,3.54,5.82,0,5.57,9.36,24.29,9.87,8.35,0.76,10.63,108.56,62.76
E01000954,10.06,2.99,0,1.63,0,1.63,3.26,6.53,2.18,2.18,0,1.9,26.65,16.05
E01000955,71.67,6.28,4.95,10.24,0.99,19.16,21.8,57.14,12.88,15.85,0.33,17.17,204.77,156.55
E01000956,72.73,9.31,16.58,12.8,2.62,50.91,12.51,95.42,12.8,17.45,1.16,20.95,331.93,92.8
E01000957,29.17,2.79,6.83,9,0,5.58,18.93,40.34,8.38,4.96,0.62,5.27,102.08,68.57
E01000958,63.81,6.65,4.81,8.91,25.61,9.06,9.34,57.73,10.19,3.54,0.57,14.72,169.08,21.51
E01000959,46.52,2.51,2.26,9.56,0,10.81,11.57,34.2,6.29,6.79,0.5,12.32,118.19,63.37
E01000960,21.47,5.31,5.08,7.62,19.39,19.86,18.93,70.88,4.85,0.23,0.69,9,127.45,40.63
E01000961,19.95,4.24,1.75,7.48,2.24,1,9.73,22.2,6.73,1.5,0.5,3.99,62.6,18.95
E01000962,10.48,1.88,0.81,5.11,0,3.49,10.21,19.62,2.42,0.27,0,4.03,43.27,3.23
E01000963,52.94,14.86,5.57,8.82,10.68,40.4,16.02,81.5,9.06,4.64,0.93,18.58,211.31,33.67
E01000964,15.26,1.48,0.74,10.34,0,4.92,16.25,32.25,2.71,1.72,0,2.46,60.32,17.23
E01000965,20.19,2.78,1.51,13.12,0.25,2.02,24.73,41.64,7.07,0.5,0.25,3.79,84.03,33.31
E01000966,2.17,0.54,0.54,2.17,0,0,5.69,8.4,1.63,0,0,0.54,14.36,5.15
E01000967,10.42,3.18,2.03,2.32,0,1.16,13.32,18.82,3.76,1.45,0,2.9,41.11,21.71
